Web Search interest: os x
Worldwide; 2004 - present

Interest over time
Week,os x
2007-02-04 - 2007-02-10,-28%,-54%
2007-02-11 - 2007-02-17,-30%,-55%
2007-02-18 - 2007-02-24,-32%,-52%
2007-02-25 - 2007-03-03,-32%,-55%
2007-03-04 - 2007-03-10,-30%,-64%
2007-03-11 - 2007-03-17,-28%,-55%
2007-03-18 - 2007-03-24,-30%,-60%
2007-03-25 - 2007-03-31,-31%,-63%
2007-04-01 - 2007-04-07,-32%,-64%
2007-04-08 - 2007-04-14,-33%,-56%
2007-04-15 - 2007-04-21,-31%,-65%
2007-04-22 - 2007-04-28,-32%,-65%
2007-04-29 - 2007-05-05,-36%,-68%
2007-05-06 - 2007-05-12,-32%,-67%
2007-05-13 - 2007-05-19,-31%,-65%
2007-05-20 - 2007-05-26,-31%,-65%
2007-05-27 - 2007-06-02,-30%,-72%
2007-06-03 - 2007-06-09,-30%,-59%
2007-06-10 - 2007-06-16,-33%,-64%
2007-06-17 - 2007-06-23,-33%,-69%
2007-06-24 - 2007-06-30,-32%,-67%
2007-07-01 - 2007-07-07,-33%,-64%
2007-07-08 - 2007-07-14,-33%,-65%
2007-07-15 - 2007-07-21,-34%,-63%
2007-07-22 - 2007-07-28,-35%,-72%
2007-07-29 - 2007-08-04,-36%,-66%
2007-08-05 - 2007-08-11,-35%,-67%
2007-08-12 - 2007-08-18,-39%,-58%
2007-08-19 - 2007-08-25,-36%,-64%
2007-08-26 - 2007-09-01,-36%,-64%
2007-09-02 - 2007-09-08,-36%,-66%
2007-09-09 - 2007-09-15,-36%,-67%
2007-09-16 - 2007-09-22,-35%,-68%
2007-09-23 - 2007-09-29,-35%,-67%
2007-09-30 - 2007-10-06,-36%,-70%
2007-10-07 - 2007-10-13,-34%,-66%
2007-10-14 - 2007-10-20,-34%,-68%
2007-10-21 - 2007-10-27,-34%,-68%
2007-10-28 - 2007-11-03,-34%,-64%
2007-11-04 - 2007-11-10,-35%,-64%
2007-11-11 - 2007-11-17,-34%,-66%
2007-11-18 - 2007-11-24,-31%,-68%
2007-11-25 - 2007-12-01,-26%,-62%
2007-12-02 - 2007-12-08,-30%,-61%
2007-12-09 - 2007-12-15,-37%,-71%
2007-12-16 - 2007-12-22,-40%,-67%
2007-12-23 - 2007-12-29,-50%,-76%
2007-12-30 - 2008-01-05,-51%,-68%
2008-01-06 - 2008-01-12,-40%,-70%
2008-01-13 - 2008-01-19,-41%,-71%
2008-01-20 - 2008-01-26,-40%,-66%
2008-01-27 - 2008-02-02,-41%,-60%
2008-02-03 - 2008-02-09,-41%,-62%
2008-02-10 - 2008-02-16,-41%,-64%
2008-02-17 - 2008-02-23,-37%,-67%
2008-02-24 - 2008-03-01,-37%,-72%
2008-03-02 - 2008-03-08,-40%,-71%
2008-03-09 - 2008-03-15,-39%,-65%
2008-03-16 - 2008-03-22,-41%,-72%
2008-03-23 - 2008-03-29,-42%,-71%
2008-03-30 - 2008-04-05,-40%,-69%
2008-04-06 - 2008-04-12,-39%,-71%
2008-04-13 - 2008-04-19,-39%,-71%
2008-04-20 - 2008-04-26,-37%,-69%
2008-04-27 - 2008-05-03,-44%,-66%
2008-05-04 - 2008-05-10,-42%,-75%
2008-05-11 - 2008-05-17,-41%,-71%
2008-05-18 - 2008-05-24,-41%,-76%
2008-05-25 - 2008-05-31,-41%,-75%
2008-06-01 - 2008-06-07,-43%,-74%
2008-06-08 - 2008-06-14,-42%,-75%
2008-06-15 - 2008-06-21,-41%,-73%
2008-06-22 - 2008-06-28,-43%,-73%
2008-06-29 - 2008-07-05,-42%,-77%
2008-07-06 - 2008-07-12,-42%,-70%
2008-07-13 - 2008-07-19,-42%,-76%
2008-07-20 - 2008-07-26,-44%,-70%
2008-07-27 - 2008-08-02,-44%,-74%
2008-08-03 - 2008-08-09,-45%,-71%
2008-08-10 - 2008-08-16,-47%,-72%
2008-08-17 - 2008-08-23,-45%,-78%
2008-08-24 - 2008-08-30,-44%,-78%
2008-08-31 - 2008-09-06,-45%,-73%
2008-09-07 - 2008-09-13,-43%,-75%
2008-09-14 - 2008-09-20,-44%,-72%
2008-09-21 - 2008-09-27,-42%,-73%
2008-09-28 - 2008-10-04,-47%,-69%
2008-10-05 - 2008-10-11,-44%,-71%
2008-10-12 - 2008-10-18,-43%,-74%
2008-10-19 - 2008-10-25,-43%,-71%
2008-10-26 - 2008-11-01,-43%,-76%
2008-11-02 - 2008-11-08,-43%,-73%
2008-11-09 - 2008-11-15,-43%,-73%
2008-11-16 - 2008-11-22,-43%,-76%
2008-11-23 - 2008-11-29,-47%,-76%
2008-11-30 - 2008-12-06,-43%,-73%
2008-12-07 - 2008-12-13,-45%,-73%
2008-12-14 - 2008-12-20,-48%,-68%
2008-12-21 - 2008-12-27,-53%,-77%
2008-12-28 - 2009-01-03,-58%,-72%
2009-01-04 - 2009-01-10,-43%,-76%
2009-01-11 - 2009-01-17,-41%,-72%
2009-01-18 - 2009-01-24,-44%,-73%
2009-01-25 - 2009-01-31,-47%,-70%
2009-02-01 - 2009-02-07,-44%,-70%
2009-02-08 - 2009-02-14,-44%,-69%
2009-02-15 - 2009-02-21,-42%,-69%
2009-02-22 - 2009-02-28,-43%,-70%
2009-03-01 - 2009-03-07,-43%,-71%
2009-03-08 - 2009-03-14,-43%,-71%
2009-03-15 - 2009-03-21,-43%,-71%
2009-03-22 - 2009-03-28,-43%,-73%
2009-03-29 - 2009-04-04,-43%,-70%
2009-04-05 - 2009-04-11,-45%,-71%
2009-04-12 - 2009-04-18,-44%,-70%
2009-04-19 - 2009-04-25,-44%,-75%
2009-04-26 - 2009-05-02,-47%,-72%
2009-05-03 - 2009-05-09,-45%,-76%
2009-05-10 - 2009-05-16,-43%,-73%
2009-05-17 - 2009-05-23,-44%,-71%
2009-05-24 - 2009-05-30,-48%,-77%
2009-05-31 - 2009-06-06,-45%,-72%
2009-06-07 - 2009-06-13,-45%,-78%
2009-06-14 - 2009-06-20,-45%,-69%
2009-06-21 - 2009-06-27,-48%,-72%
2009-06-28 - 2009-07-04,-50%,-77%
2009-07-05 - 2009-07-11,-48%,-72%
2009-07-12 - 2009-07-18,-47%,-75%
2009-07-19 - 2009-07-25,-49%,-74%
2009-07-26 - 2009-08-01,-48%,-71%
2009-08-02 - 2009-08-08,-48%,-70%
2009-08-09 - 2009-08-15,-49%,-70%
2009-08-16 - 2009-08-22,-47%,-70%
2009-08-23 - 2009-08-29,-48%,-72%
2009-08-30 - 2009-09-05,-47%,-71%
2009-09-06 - 2009-09-12,-48%,-70%
2009-09-13 - 2009-09-19,-48%,-72%
2009-09-20 - 2009-09-26,-49%,-70%
2009-09-27 - 2009-10-03,-50%,-74%
2009-10-04 - 2009-10-10,-47%,-73%
2009-10-11 - 2009-10-17,-48%,-73%
2009-10-18 - 2009-10-24,-40%,-72%
2009-10-25 - 2009-10-31,-40%,-74%
2009-11-01 - 2009-11-07,-43%,-76%
2009-11-08 - 2009-11-14,-44%,-75%
2009-11-15 - 2009-11-21,-44%,-76%
2009-11-22 - 2009-11-28,-47%,-79%
2009-11-29 - 2009-12-05,-48%,-78%
2009-12-06 - 2009-12-12,-47%,-77%
2009-12-13 - 2009-12-19,-49%,-77%
2009-12-20 - 2009-12-26,-53%,-81%
2009-12-27 - 2010-01-02,-58%,-79%
2010-01-03 - 2010-01-09,-52%,-73%
2010-01-10 - 2010-01-16,-49%,-76%
2010-01-17 - 2010-01-23,-48%,-77%
2010-01-24 - 2010-01-30,-48%,-76%
2010-01-31 - 2010-02-06,-48%,-74%
2010-02-07 - 2010-02-13,-49%,-79%
2010-02-14 - 2010-02-20,-49%,-76%
2010-02-21 - 2010-02-27,-47%,-77%
2010-02-28 - 2010-03-06,-47%,-75%
2010-03-07 - 2010-03-13,-48%,-76%
2010-03-14 - 2010-03-20,-49%,-79%
2010-03-21 - 2010-03-27,-48%,-79%
2010-03-28 - 2010-04-03,-50%,-77%
2010-04-04 - 2010-04-10,-49%,-80%
2010-04-11 - 2010-04-17,-47%,-78%
2010-04-18 - 2010-04-24,-48%,-78%
2010-04-25 - 2010-05-01,-49%,-76%
2010-05-02 - 2010-05-08,-50%,-82%
2010-05-09 - 2010-05-15,-48%,-77%
2010-05-16 - 2010-05-22,-48%,-81%
2010-05-23 - 2010-05-29,-51%,-79%
2010-05-30 - 2010-06-05,-49%,-80%
2010-06-06 - 2010-06-12,-49%,-76%
2010-06-13 - 2010-06-19,-50%,-81%
2010-06-20 - 2010-06-26,-50%,-79%
2010-06-27 - 2010-07-03,-53%,-78%
2010-07-04 - 2010-07-10,-55%,-82%
2010-07-11 - 2010-07-17,-55%,-79%
2010-07-18 - 2010-07-24,-52%,-81%
2010-07-25 - 2010-07-31,-53%,-83%
2010-08-01 - 2010-08-07,-53%,-83%
2010-08-08 - 2010-08-14,-53%,-83%
2010-08-15 - 2010-08-21,-53%,-82%
2010-08-22 - 2010-08-28,-53%,-83%
2010-08-29 - 2010-09-04,-53%,-82%
2010-09-05 - 2010-09-11,-53%,-82%
2010-09-12 - 2010-09-18,-53%,-80%
2010-09-19 - 2010-09-25,-53%,-81%
2010-09-26 - 2010-10-02,-51%,-82%
2010-10-03 - 2010-10-09,-51%,-83%
2010-10-10 - 2010-10-16,-51%,-83%
2010-10-17 - 2010-10-23,-51%,-80%
2010-10-24 - 2010-10-30,-51%,-78%
2010-10-31 - 2010-11-06,-53%,-81%
2010-11-07 - 2010-11-13,-52%,-83%
2010-11-14 - 2010-11-20,-52%,-81%
2010-11-21 - 2010-11-27,-53%,-83%
2010-11-28 - 2010-12-04,-55%,-82%
2010-12-05 - 2010-12-11,-53%,-83%
2010-12-12 - 2010-12-18,-53%,-85%
2010-12-19 - 2010-12-25,-58%,-85%
2010-12-26 - 2011-01-01,-61%,-86%
2011-01-02 - 2011-01-08,-57%,-84%
2011-01-09 - 2011-01-15,-55%,-82%
2011-01-16 - 2011-01-22,-52%,-83%
2011-01-23 - 2011-01-29,-53%,-82%
2011-01-30 - 2011-02-05,-56%,-83%
2011-02-06 - 2011-02-12,-52%,-83%
2011-02-13 - 2011-02-19,-53%,-83%
2011-02-20 - 2011-02-26,-55%,-84%
2011-02-27 - 2011-03-05,-53%,-81%
2011-03-06 - 2011-03-12,-55%,-81%
2011-03-13 - 2011-03-19,-55%,-83%
2011-03-20 - 2011-03-26,-55%,-84%
2011-03-27 - 2011-04-02,-53%,-82%
2011-04-03 - 2011-04-09,-53%,-83%
2011-04-10 - 2011-04-16,-51%,-82%
2011-04-17 - 2011-04-23,-55%,-82%
2011-04-24 - 2011-04-30,-56%,-85%
2011-05-01 - 2011-05-07,-57%,-84%
2011-05-08 - 2011-05-14,-55%,-84%
2011-05-15 - 2011-05-21,-55%,-82%
2011-05-22 - 2011-05-28,-53%,-83%
2011-05-29 - 2011-06-04,-56%,-87%
2011-06-05 - 2011-06-11,-56%,-81%
2011-06-12 - 2011-06-18,-55%,-84%
2011-06-19 - 2011-06-25,-55%,-84%
2011-06-26 - 2011-07-02,-57%,-81%
2011-07-03 - 2011-07-09,-58%,-84%
2011-07-10 - 2011-07-16,-56%,-82%
2011-07-17 - 2011-07-23,-57%,-72%
2011-07-24 - 2011-07-30,-56%,-72%
2011-07-31 - 2011-08-06,-58%,-76%
2011-08-07 - 2011-08-13,-57%,-78%
2011-08-14 - 2011-08-20,-58%,-80%
2011-08-21 - 2011-08-27,-57%,-82%
2011-08-28 - 2011-09-03,-58%,-81%
2011-09-04 - 2011-09-10,-59%,-80%
2011-09-11 - 2011-09-17,-55%,-80%
2011-09-18 - 2011-09-24,-56%,-82%
2011-09-25 - 2011-10-01,-56%,-83%
2011-10-02 - 2011-10-08,-58%,-79%
2011-10-09 - 2011-10-15,-56%,-79%
2011-10-16 - 2011-10-22,-55%,-81%
2011-10-23 - 2011-10-29,-56%,-84%
2011-10-30 - 2011-11-05,-57%,-83%
2011-11-06 - 2011-11-12,-56%,-82%
2011-11-13 - 2011-11-19,-57%,-82%
2011-11-20 - 2011-11-26,-57%,-81%
2011-11-27 - 2011-12-03,-57%,-83%
2011-12-04 - 2011-12-10,-57%,-84%
2011-12-11 - 2011-12-17,-56%,-83%
2011-12-18 - 2011-12-24,-60%,-84%
2011-12-25 - 2011-12-31,-65%,-86%
2012-01-01 - 2012-01-07,-61%,-83%
2012-01-08 - 2012-01-14,-59%,-83%
2012-01-15 - 2012-01-21,-59%,-84%
2012-01-22 - 2012-01-28,-59%,-83%
2012-01-29 - 2012-02-04,-58%,-83%
2012-02-05 - 2012-02-11,-58%,-82%
2012-02-12 - 2012-02-18,-57%,-79%
2012-02-19 - 2012-02-25,-57%,-81%
2012-02-26 - 2012-03-03,-58%,-84%
2012-03-04 - 2012-03-10,-57%,-81%
2012-03-11 - 2012-03-17,-57%,-81%
2012-03-18 - 2012-03-24,-58%,-84%
2012-03-25 - 2012-03-31,-57%,-84%
2012-04-01 - 2012-04-07,-59%,-81%
2012-04-08 - 2012-04-14,-58%,-83%
2012-04-15 - 2012-04-21,-57%,-82%
2012-04-22 - 2012-04-28,-58%,-83%
2012-04-29 - 2012-05-05,-60%,-85%
2012-05-06 - 2012-05-12,-58%,-82%
2012-05-13 - 2012-05-19,-58%,-84%
2012-05-20 - 2012-05-26,-56%,-83%
2012-05-27 - 2012-06-02,-59%,-85%
2012-06-03 - 2012-06-09,-58%,-86%
2012-06-10 - 2012-06-16,-59%,-83%
2012-06-17 - 2012-06-23,-59%,-82%
2012-06-24 - 2012-06-30,-59%,-83%
2012-07-01 - 2012-07-07,-61%,-84%
2012-07-08 - 2012-07-14,-60%,-83%
2012-07-15 - 2012-07-21,-61%,-85%
2012-07-22 - 2012-07-28,-60%,-76%
2012-07-29 - 2012-08-04,-61%,-80%
2012-08-05 - 2012-08-11,-60%,-80%
2012-08-12 - 2012-08-18,-62%,-82%
2012-08-19 - 2012-08-25,-60%,-79%
2012-08-26 - 2012-09-01,-60%,-79%
2012-09-02 - 2012-09-08,-59%,-82%
2012-09-09 - 2012-09-15,-58%,-82%
2012-09-16 - 2012-09-22,-58%,-80%
2012-09-23 - 2012-09-29,-59%,-82%
2012-09-30 - 2012-10-06,-59%,-81%
2012-10-07 - 2012-10-13,-59%,-82%
2012-10-14 - 2012-10-20,-60%,-80%
2012-10-21 - 2012-10-27,-59%,-80%
2012-10-28 - 2012-11-03,-60%,-82%
2012-11-04 - 2012-11-10,-59%,-84%
2012-11-11 - 2012-11-17,-60%,-81%
2012-11-18 - 2012-11-24,-61%,-83%
2012-11-25 - 2012-12-01,-60%,-83%
2012-12-02 - 2012-12-08,-60%,-84%
2012-12-09 - 2012-12-15,-60%,-85%
2012-12-16 - 2012-12-22,-62%,-84%
2012-12-23 - 2012-12-29,-69%,-87%
2012-12-30 - 2013-01-05,-68%,-86%
2013-01-06 - 2013-01-12,-61%,-83%
2013-01-13 - 2013-01-19,-59%,-81%
2013-01-20 - 2013-01-26,-59%,-83%
2013-01-27 - 2013-02-02,-60%,-82%
2013-02-03 - 2013-02-09,-60%,-82%
2013-02-10 - 2013-02-16,-61%,-83%
2013-02-17 - 2013-02-23,-60%,-83%
2013-02-24 - 2013-03-02,-60%,-84%
2013-03-03 - 2013-03-09,-59%,-81%
2013-03-10 - 2013-03-16,-60%,-83%
2013-03-17 - 2013-03-23,-59%,-83%
2013-03-24 - 2013-03-30,-62%,-84%
2013-03-31 - 2013-04-06,-61%,-85%
2013-04-07 - 2013-04-13,-60%,-84%
2013-04-14 - 2013-04-20,-60%,-85%
2013-04-21 - 2013-04-27,-60%,-85%
2013-04-28 - 2013-05-04,-64%,-87%
2013-05-05 - 2013-05-11,-62%,-85%
2013-05-12 - 2013-05-18,-60%,-85%
2013-05-19 - 2013-05-25,-61%,-86%
2013-05-26 - 2013-06-01,-62%,-86%
2013-06-02 - 2013-06-08,-60%,-85%
2013-06-09 - 2013-06-15,-61%,-82%
2013-06-16 - 2013-06-22,-61%,-86%
2013-06-23 - 2013-06-29,-61%,-84%
2013-06-30 - 2013-07-06,-62%,-87%
2013-07-07 - 2013-07-13,-62%,-84%
2013-07-14 - 2013-07-20,-64%,-87%
2013-07-21 - 2013-07-27,-64%,-86%
2013-07-28 - 2013-08-03,-64%,-87%
2013-08-04 - 2013-08-10,-65%,-85%
2013-08-11 - 2013-08-17,-64%,-86%
2013-08-18 - 2013-08-24,-64%,-85%
2013-08-25 - 2013-08-31,-62%,-84%
2013-09-01 - 2013-09-07,-62%,-85%
2013-09-08 - 2013-09-14,-61%,-84%
2013-09-15 - 2013-09-21,-62%,-85%
2013-09-22 - 2013-09-28,-61%,-85%
2013-09-29 - 2013-10-05,-61%,-83%
2013-10-06 - 2013-10-12,-60%,-80%
2013-10-13 - 2013-10-19,-60%,-83%
2013-10-20 - 2013-10-26,-61%,-72%
2013-10-27 - 2013-11-02,-62%,-76%
2013-11-03 - 2013-11-09,-61%,-78%
2013-11-10 - 2013-11-16,-60%,-81%
2013-11-17 - 2013-11-23,-60%,-83%
2013-11-24 - 2013-11-30,-62%,-84%
2013-12-01 - 2013-12-07,-62%,-85%
2013-12-08 - 2013-12-14,-61%,-85%
2013-12-15 - 2013-12-21,-64%,-84%
2013-12-22 - 2013-12-28,-69%,-88%
2013-12-29 - 2014-01-04,-70%,-87%
2014-01-05 - 2014-01-11,-64%,-85%
2014-01-12 - 2014-01-18,-61%,-83%
2014-01-19 - 2014-01-25,-61%,-83%
2014-01-26 - 2014-02-01,-62%,-84%
2014-02-02 - 2014-02-08,-64%,-83%
2014-02-09 - 2014-02-15,-61%,-85%
2014-02-16 - 2014-02-22,-61%,-83%
2014-02-23 - 2014-03-01,-61%,-83%
2014-03-02 - 2014-03-08,-61%,-84%
2014-03-09 - 2014-03-15,-60%,-85%
2014-03-16 - 2014-03-22,-62%,-85%
2014-03-23 - 2014-03-29,-61%,-86%
2014-03-30 - 2014-04-05,-61%,-86%
2014-04-06 - 2014-04-12,-61%,-85%
2014-04-13 - 2014-04-19,-62%,-86%
2014-04-20 - 2014-04-26,-61%,-85%
2014-04-27 - 2014-05-03,-64%,-86%
2014-05-04 - 2014-05-10,-61%,-85%
2014-05-11 - 2014-05-17,-61%,-87%
2014-05-18 - 2014-05-24,-62%,-87%
2014-05-25 - 2014-05-31,-65%,-87%
2014-06-01 - 2014-06-07,-62%,-82%
2014-06-08 - 2014-06-14,-64%,-85%
2014-06-15 - 2014-06-21,-64%,-88%
2014-06-22 - 2014-06-28,-64%,-86%
2014-06-29 - 2014-07-05,-66%,-89%
2014-07-06 - 2014-07-12,-65%,-87%
2014-07-13 - 2014-07-19,-64%,-86%
2014-07-20 - 2014-07-26,-64%,-87%
2014-07-27 - 2014-08-02,-66%,-87%
2014-08-03 - 2014-08-09,-62%,-86%
2014-08-10 - 2014-08-16, , 
2014-08-17 - 2014-08-23, , 
2014-08-24 - 2014-08-30, , 
2014-08-31 - 2014-09-06, , 


Top regions for os x
Region,os x
Switzerland,100
Sweden,72
Germany,61
Norway,61
United States,60
Austria,58
Finland,56
New Zealand,51
Canada,47
Denmark,44
Australia,43
Czech Republic,42
Hong Kong,41
Belgium,38
Singapore,38
Russia,36
Netherlands,36
South Korea,34
United Kingdom,33
Japan,30
Portugal,30
France,29
Ireland,28
Ukraine,27
Spain,22
Italy,22
Hungary,22
Taiwan,21
China,19
India,19
Poland,14
Mexico,14
Brazil,10
Turkey,5


Top cities for os x
City,os x
San Francisco (United States),100
San Jose (United States),74
Austin (United States),64
Seattle (United States),64
Zurich (Switzerland),62
Stockholm (Sweden),54
Berlin (Germany),49
Munich (Germany),46
Oslo (Norway),45
San Diego (United States),43
Hamburg (Germany),42
Montreal (Canada),37
Vienna (Austria),35
New York (United States),35
Moscow (Russia),34



Top searches for os x
mac os x,100
mac os,100
os x java,25
java mac,20
os x lion,10
xcode,10
os x svn,5
php os x,5
os x cocoa,5
java for mac,5
git os x,5
svn mac,5
os x gcc,5
os x subversion,5
os x jdk,5
java 1.6,5
os x mavericks,5
java 1.6 mac,5
subversion mac,0
netbeans os x,0
textmate os x,0
textmate,0
svn client,0
perl os x,0
xcode download,0
qt os x,0
applescript,0
apple xcode,0
java runtime mac,0
postfix os x,0



Rising searches for os x
git os x,Breakout
os x lion,Breakout
os x svn,Breakout
xcode,+450%
java for mac,+400%
java mac,+120%
os x java,+120%
mac os,+90%
mac os x,+90%



