Web Search interest: qt
Worldwide; 2004 - present

Interest over time
Week,qt
2007-02-04 - 2007-02-10,-30%,-26%
2007-02-11 - 2007-02-17,-31%,-32%
2007-02-18 - 2007-02-24,-31%,-29%
2007-02-25 - 2007-03-03,-30%,-34%
2007-03-04 - 2007-03-10,-31%,-25%
2007-03-11 - 2007-03-17,-28%,-21%
2007-03-18 - 2007-03-24,-30%,-24%
2007-03-25 - 2007-03-31,-28%,-20%
2007-04-01 - 2007-04-07,-32%,-21%
2007-04-08 - 2007-04-14,-32%,-29%
2007-04-15 - 2007-04-21,-30%,-22%
2007-04-22 - 2007-04-28,-31%,-34%
2007-04-29 - 2007-05-05,-36%,-32%
2007-05-06 - 2007-05-12,-31%,-36%
2007-05-13 - 2007-05-19,-32%,-31%
2007-05-20 - 2007-05-26,-31%,-36%
2007-05-27 - 2007-06-02,-30%,-28%
2007-06-03 - 2007-06-09,-30%,-26%
2007-06-10 - 2007-06-16,-33%,-28%
2007-06-17 - 2007-06-23,-31%,-35%
2007-06-24 - 2007-06-30,-32%,-29%
2007-07-01 - 2007-07-07,-33%,-30%
2007-07-08 - 2007-07-14,-33%,-35%
2007-07-15 - 2007-07-21,-33%,-28%
2007-07-22 - 2007-07-28,-35%,-28%
2007-07-29 - 2007-08-04,-37%,-30%
2007-08-05 - 2007-08-11,-36%,-29%
2007-08-12 - 2007-08-18,-37%,-32%
2007-08-19 - 2007-08-25,-35%,-34%
2007-08-26 - 2007-09-01,-36%,-41%
2007-09-02 - 2007-09-08,-36%,-37%
2007-09-09 - 2007-09-15,-36%,-39%
2007-09-16 - 2007-09-22,-35%,-31%
2007-09-23 - 2007-09-29,-35%,-31%
2007-09-30 - 2007-10-06,-37%,-35%
2007-10-07 - 2007-10-13,-34%,-29%
2007-10-14 - 2007-10-20,-35%,-39%
2007-10-21 - 2007-10-27,-35%,-35%
2007-10-28 - 2007-11-03,-34%,-36%
2007-11-04 - 2007-11-10,-35%,-31%
2007-11-11 - 2007-11-17,-33%,-30%
2007-11-18 - 2007-11-24,-31%,-28%
2007-11-25 - 2007-12-01,-27%,-21%
2007-12-02 - 2007-12-08,-28%,-29%
2007-12-09 - 2007-12-15,-37%,-34%
2007-12-16 - 2007-12-22,-39%,-28%
2007-12-23 - 2007-12-29,-50%,-49%
2007-12-30 - 2008-01-05,-51%,-49%
2008-01-06 - 2008-01-12,-40%,-37%
2008-01-13 - 2008-01-19,-41%,-43%
2008-01-20 - 2008-01-26,-40%,-29%
2008-01-27 - 2008-02-02,-41%,-31%
2008-02-03 - 2008-02-09,-40%,-41%
2008-02-10 - 2008-02-16,-41%,-34%
2008-02-17 - 2008-02-23,-39%,-36%
2008-02-24 - 2008-03-01,-39%,-35%
2008-03-02 - 2008-03-08,-40%,-40%
2008-03-09 - 2008-03-15,-39%,-35%
2008-03-16 - 2008-03-22,-41%,-36%
2008-03-23 - 2008-03-29,-42%,-39%
2008-03-30 - 2008-04-05,-39%,-31%
2008-04-06 - 2008-04-12,-37%,-30%
2008-04-13 - 2008-04-19,-39%,-35%
2008-04-20 - 2008-04-26,-37%,-32%
2008-04-27 - 2008-05-03,-44%,-40%
2008-05-04 - 2008-05-10,-41%,-25%
2008-05-11 - 2008-05-17,-41%,-39%
2008-05-18 - 2008-05-24,-41%,-35%
2008-05-25 - 2008-05-31,-41%,-30%
2008-06-01 - 2008-06-07,-42%,-32%
2008-06-08 - 2008-06-14,-41%,-35%
2008-06-15 - 2008-06-21,-41%,-35%
2008-06-22 - 2008-06-28,-43%,-36%
2008-06-29 - 2008-07-05,-41%,-36%
2008-07-06 - 2008-07-12,-43%,-37%
2008-07-13 - 2008-07-19,-42%,-40%
2008-07-20 - 2008-07-26,-43%,-39%
2008-07-27 - 2008-08-02,-43%,-40%
2008-08-03 - 2008-08-09,-44%,-36%
2008-08-10 - 2008-08-16,-45%,-36%
2008-08-17 - 2008-08-23,-44%,-36%
2008-08-24 - 2008-08-30,-43%,-43%
2008-08-31 - 2008-09-06,-45%,-37%
2008-09-07 - 2008-09-13,-43%,-40%
2008-09-14 - 2008-09-20,-44%,-40%
2008-09-21 - 2008-09-27,-44%,-34%
2008-09-28 - 2008-10-04,-47%,-36%
2008-10-05 - 2008-10-11,-44%,-32%
2008-10-12 - 2008-10-18,-43%,-32%
2008-10-19 - 2008-10-25,-42%,-30%
2008-10-26 - 2008-11-01,-43%,-32%
2008-11-02 - 2008-11-08,-43%,-29%
2008-11-09 - 2008-11-15,-42%,-31%
2008-11-16 - 2008-11-22,-43%,-28%
2008-11-23 - 2008-11-29,-47%,-37%
2008-11-30 - 2008-12-06,-44%,-36%
2008-12-07 - 2008-12-13,-45%,-32%
2008-12-14 - 2008-12-20,-47%,-31%
2008-12-21 - 2008-12-27,-55%,-36%
2008-12-28 - 2009-01-03,-58%,-43%
2009-01-04 - 2009-01-10,-43%,-36%
2009-01-11 - 2009-01-17,-43%,-11%
2009-01-18 - 2009-01-24,-44%,-19%
2009-01-25 - 2009-01-31,-45%,-22%
2009-02-01 - 2009-02-07,-43%,-22%
2009-02-08 - 2009-02-14,-43%,-21%
2009-02-15 - 2009-02-21,-42%,-21%
2009-02-22 - 2009-02-28,-43%,-21%
2009-03-01 - 2009-03-07,-44%,+5%
2009-03-08 - 2009-03-14,-43%,-15%
2009-03-15 - 2009-03-21,-43%,-12%
2009-03-22 - 2009-03-28,-43%,-20%
2009-03-29 - 2009-04-04,-43%,-14%
2009-04-05 - 2009-04-11,-45%,-20%
2009-04-12 - 2009-04-18,-45%,-20%
2009-04-19 - 2009-04-25,-44%,-15%
2009-04-26 - 2009-05-02,-48%,-21%
2009-05-03 - 2009-05-09,-44%,-18%
2009-05-10 - 2009-05-16,-43%,-12%
2009-05-17 - 2009-05-23,-45%,-21%
2009-05-24 - 2009-05-30,-48%,-21%
2009-05-31 - 2009-06-06,-47%,-21%
2009-06-07 - 2009-06-13,-45%,-19%
2009-06-14 - 2009-06-20,-47%,-25%
2009-06-21 - 2009-06-27,-49%,-26%
2009-06-28 - 2009-07-04,-50%,-18%
2009-07-05 - 2009-07-11,-47%,-7%
2009-07-12 - 2009-07-18,-47%,-20%
2009-07-19 - 2009-07-25,-49%,-26%
2009-07-26 - 2009-08-01,-49%,-20%
2009-08-02 - 2009-08-08,-48%,-26%
2009-08-09 - 2009-08-15,-49%,-18%
2009-08-16 - 2009-08-22,-47%,-18%
2009-08-23 - 2009-08-29,-47%,-16%
2009-08-30 - 2009-09-05,-47%,-19%
2009-09-06 - 2009-09-12,-48%,-20%
2009-09-13 - 2009-09-19,-48%,-19%
2009-09-20 - 2009-09-26,-48%,-19%
2009-09-27 - 2009-10-03,-50%,-19%
2009-10-04 - 2009-10-10,-47%,-16%
2009-10-11 - 2009-10-17,-48%,-11%
2009-10-18 - 2009-10-24,-39%,-21%
2009-10-25 - 2009-10-31,-40%,-21%
2009-11-01 - 2009-11-07,-43%,-21%
2009-11-08 - 2009-11-14,-44%,-15%
2009-11-15 - 2009-11-21,-44%,-15%
2009-11-22 - 2009-11-28,-47%,-14%
2009-11-29 - 2009-12-05,-47%,-4%
2009-12-06 - 2009-12-12,-47%,-6%
2009-12-13 - 2009-12-19,-49%,-15%
2009-12-20 - 2009-12-26,-55%,-21%
2009-12-27 - 2010-01-02,-58%,-30%
2010-01-03 - 2010-01-09,-51%,-25%
2010-01-10 - 2010-01-16,-49%,-15%
2010-01-17 - 2010-01-23,-49%,-11%
2010-01-24 - 2010-01-30,-48%,-15%
2010-01-31 - 2010-02-06,-47%,-14%
2010-02-07 - 2010-02-13,-49%,-15%
2010-02-14 - 2010-02-20,-49%,-11%
2010-02-21 - 2010-02-27,-47%,-10%
2010-02-28 - 2010-03-06,-48%,-10%
2010-03-07 - 2010-03-13,-45%,-9%
2010-03-14 - 2010-03-20,-48%,-9%
2010-03-21 - 2010-03-27,-48%,-10%
2010-03-28 - 2010-04-03,-49%,-12%
2010-04-04 - 2010-04-10,-49%,-6%
2010-04-11 - 2010-04-17,-45%,-6%
2010-04-18 - 2010-04-24,-48%,-5%
2010-04-25 - 2010-05-01,-49%,-4%
2010-05-02 - 2010-05-08,-50%,-5%
2010-05-09 - 2010-05-15,-48%,-7%
2010-05-16 - 2010-05-22,-48%,-7%
2010-05-23 - 2010-05-29,-51%,-9%
2010-05-30 - 2010-06-05,-49%,-5%
2010-06-06 - 2010-06-12,-50%,-6%
2010-06-13 - 2010-06-19,-51%,-4%
2010-06-20 - 2010-06-26,-50%,-10%
2010-06-27 - 2010-07-03,-52%,-5%
2010-07-04 - 2010-07-10,-55%,-9%
2010-07-11 - 2010-07-17,-55%,-9%
2010-07-18 - 2010-07-24,-52%,-11%
2010-07-25 - 2010-07-31,-53%,-18%
2010-08-01 - 2010-08-07,-53%,-16%
2010-08-08 - 2010-08-14,-55%,-20%
2010-08-15 - 2010-08-21,-53%,-14%
2010-08-22 - 2010-08-28,-52%,-15%
2010-08-29 - 2010-09-04,-53%,-16%
2010-09-05 - 2010-09-11,-55%,-14%
2010-09-12 - 2010-09-18,-52%,-11%
2010-09-19 - 2010-09-25,-53%,-6%
2010-09-26 - 2010-10-02,-51%,-12%
2010-10-03 - 2010-10-09,-51%,-5%
2010-10-10 - 2010-10-16,-52%,-4%
2010-10-17 - 2010-10-23,-52%,-5%
2010-10-24 - 2010-10-30,-51%,-5%
2010-10-31 - 2010-11-06,-53%,-10%
2010-11-07 - 2010-11-13,-52%,-4%
2010-11-14 - 2010-11-20,-52%,-1%
2010-11-21 - 2010-11-27,-55%,-5%
2010-11-28 - 2010-12-04,-55%,-9%
2010-12-05 - 2010-12-11,-55%,-14%
2010-12-12 - 2010-12-18,-55%,-10%
2010-12-19 - 2010-12-25,-58%,-16%
2010-12-26 - 2011-01-01,-62%,-31%
2011-01-02 - 2011-01-08,-56%,-20%
2011-01-09 - 2011-01-15,-55%,-9%
2011-01-16 - 2011-01-22,-52%,-6%
2011-01-23 - 2011-01-29,-55%,-11%
2011-01-30 - 2011-02-05,-56%,-19%
2011-02-06 - 2011-02-12,-53%,-5%
2011-02-13 - 2011-02-19,-53%,-1%
2011-02-20 - 2011-02-26,-55%,-10%
2011-02-27 - 2011-03-05,-55%,-7%
2011-03-06 - 2011-03-12,-55%,-9%
2011-03-13 - 2011-03-19,-55%,-10%
2011-03-20 - 2011-03-26,-53%,-14%
2011-03-27 - 2011-04-02,-53%,-11%
2011-04-03 - 2011-04-09,-53%,-12%
2011-04-10 - 2011-04-16,-51%,-10%
2011-04-17 - 2011-04-23,-55%,-10%
2011-04-24 - 2011-04-30,-56%,-19%
2011-05-01 - 2011-05-07,-57%,-14%
2011-05-08 - 2011-05-14,-55%,-9%
2011-05-15 - 2011-05-21,-55%,-11%
2011-05-22 - 2011-05-28,-52%,-14%
2011-05-29 - 2011-06-04,-57%,-16%
2011-06-05 - 2011-06-11,-55%,-18%
2011-06-12 - 2011-06-18,-55%,-14%
2011-06-19 - 2011-06-25,-56%,-14%
2011-06-26 - 2011-07-02,-57%,-20%
2011-07-03 - 2011-07-09,-57%,-20%
2011-07-10 - 2011-07-16,-57%,-19%
2011-07-17 - 2011-07-23,-57%,-20%
2011-07-24 - 2011-07-30,-57%,-18%
2011-07-31 - 2011-08-06,-57%,-18%
2011-08-07 - 2011-08-13,-57%,-20%
2011-08-14 - 2011-08-20,-58%,-22%
2011-08-21 - 2011-08-27,-57%,-24%
2011-08-28 - 2011-09-03,-57%,-24%
2011-09-04 - 2011-09-10,-58%,-22%
2011-09-11 - 2011-09-17,-55%,-18%
2011-09-18 - 2011-09-24,-57%,-20%
2011-09-25 - 2011-10-01,-56%,-19%
2011-10-02 - 2011-10-08,-58%,-25%
2011-10-09 - 2011-10-15,-56%,-21%
2011-10-16 - 2011-10-22,-55%,-11%
2011-10-23 - 2011-10-29,-56%,-21%
2011-10-30 - 2011-11-05,-58%,-24%
2011-11-06 - 2011-11-12,-56%,-19%
2011-11-13 - 2011-11-19,-56%,-19%
2011-11-20 - 2011-11-26,-57%,-24%
2011-11-27 - 2011-12-03,-57%,-21%
2011-12-04 - 2011-12-10,-57%,-26%
2011-12-11 - 2011-12-17,-56%,-22%
2011-12-18 - 2011-12-24,-60%,-28%
2011-12-25 - 2011-12-31,-65%,-37%
2012-01-01 - 2012-01-07,-61%,-35%
2012-01-08 - 2012-01-14,-58%,-26%
2012-01-15 - 2012-01-21,-59%,-26%
2012-01-22 - 2012-01-28,-59%,-31%
2012-01-29 - 2012-02-04,-58%,-24%
2012-02-05 - 2012-02-11,-58%,-22%
2012-02-12 - 2012-02-18,-56%,-28%
2012-02-19 - 2012-02-25,-57%,-19%
2012-02-26 - 2012-03-03,-57%,-26%
2012-03-04 - 2012-03-10,-57%,-22%
2012-03-11 - 2012-03-17,-57%,-19%
2012-03-18 - 2012-03-24,-58%,-16%
2012-03-25 - 2012-03-31,-57%,-21%
2012-04-01 - 2012-04-07,-59%,-22%
2012-04-08 - 2012-04-14,-59%,-25%
2012-04-15 - 2012-04-21,-58%,-25%
2012-04-22 - 2012-04-28,-58%,-24%
2012-04-29 - 2012-05-05,-59%,-26%
2012-05-06 - 2012-05-12,-59%,-20%
2012-05-13 - 2012-05-19,-58%,-21%
2012-05-20 - 2012-05-26,-56%,-19%
2012-05-27 - 2012-06-02,-58%,-21%
2012-06-03 - 2012-06-09,-59%,-24%
2012-06-10 - 2012-06-16,-59%,-24%
2012-06-17 - 2012-06-23,-59%,-24%
2012-06-24 - 2012-06-30,-59%,-19%
2012-07-01 - 2012-07-07,-61%,-22%
2012-07-08 - 2012-07-14,-60%,-20%
2012-07-15 - 2012-07-21,-60%,-24%
2012-07-22 - 2012-07-28,-60%,-22%
2012-07-29 - 2012-08-04,-62%,-29%
2012-08-05 - 2012-08-11,-61%,-18%
2012-08-12 - 2012-08-18,-61%,-25%
2012-08-19 - 2012-08-25,-59%,-26%
2012-08-26 - 2012-09-01,-59%,-28%
2012-09-02 - 2012-09-08,-59%,-28%
2012-09-09 - 2012-09-15,-58%,-29%
2012-09-16 - 2012-09-22,-58%,-29%
2012-09-23 - 2012-09-29,-59%,-29%
2012-09-30 - 2012-10-06,-59%,-30%
2012-10-07 - 2012-10-13,-59%,-28%
2012-10-14 - 2012-10-20,-59%,-29%
2012-10-21 - 2012-10-27,-58%,-29%
2012-10-28 - 2012-11-03,-60%,-31%
2012-11-04 - 2012-11-10,-59%,-31%
2012-11-11 - 2012-11-17,-60%,-29%
2012-11-18 - 2012-11-24,-60%,-32%
2012-11-25 - 2012-12-01,-59%,-32%
2012-12-02 - 2012-12-08,-60%,-32%
2012-12-09 - 2012-12-15,-60%,-31%
2012-12-16 - 2012-12-22,-62%,-28%
2012-12-23 - 2012-12-29,-69%,-39%
2012-12-30 - 2013-01-05,-67%,-39%
2013-01-06 - 2013-01-12,-60%,-34%
2013-01-13 - 2013-01-19,-59%,-29%
2013-01-20 - 2013-01-26,-60%,-28%
2013-01-27 - 2013-02-02,-60%,-31%
2013-02-03 - 2013-02-09,-59%,-32%
2013-02-10 - 2013-02-16,-61%,-32%
2013-02-17 - 2013-02-23,-60%,-29%
2013-02-24 - 2013-03-02,-60%,-28%
2013-03-03 - 2013-03-09,-59%,-28%
2013-03-10 - 2013-03-16,-60%,-30%
2013-03-17 - 2013-03-23,-60%,-32%
2013-03-24 - 2013-03-30,-61%,-30%
2013-03-31 - 2013-04-06,-61%,-36%
2013-04-07 - 2013-04-13,-59%,-26%
2013-04-14 - 2013-04-20,-60%,-28%
2013-04-21 - 2013-04-27,-59%,-31%
2013-04-28 - 2013-05-04,-62%,-34%
2013-05-05 - 2013-05-11,-62%,-34%
2013-05-12 - 2013-05-18,-61%,-31%
2013-05-19 - 2013-05-25,-62%,-30%
2013-05-26 - 2013-06-01,-61%,-30%
2013-06-02 - 2013-06-08,-60%,-30%
2013-06-09 - 2013-06-15,-61%,-31%
2013-06-16 - 2013-06-22,-61%,-35%
2013-06-23 - 2013-06-29,-61%,-34%
2013-06-30 - 2013-07-06,-62%,-29%
2013-07-07 - 2013-07-13,-62%,-31%
2013-07-14 - 2013-07-20,-64%,-31%
2013-07-21 - 2013-07-27,-62%,-31%
2013-07-28 - 2013-08-03,-64%,-36%
2013-08-04 - 2013-08-10,-65%,-37%
2013-08-11 - 2013-08-17,-64%,-36%
2013-08-18 - 2013-08-24,-62%,-34%
2013-08-25 - 2013-08-31,-62%,-35%
2013-09-01 - 2013-09-07,-62%,-32%
2013-09-08 - 2013-09-14,-61%,-34%
2013-09-15 - 2013-09-21,-62%,-36%
2013-09-22 - 2013-09-28,-61%,-36%
2013-09-29 - 2013-10-05,-61%,-34%
2013-10-06 - 2013-10-12,-60%,-34%
2013-10-13 - 2013-10-19,-60%,-34%
2013-10-20 - 2013-10-26,-61%,-34%
2013-10-27 - 2013-11-02,-62%,-34%
2013-11-03 - 2013-11-09,-62%,-32%
2013-11-10 - 2013-11-16,-61%,-29%
2013-11-17 - 2013-11-23,-60%,-32%
2013-11-24 - 2013-11-30,-62%,-32%
2013-12-01 - 2013-12-07,-62%,-35%
2013-12-08 - 2013-12-14,-62%,-28%
2013-12-15 - 2013-12-21,-64%,-29%
2013-12-22 - 2013-12-28,-69%,-46%
2013-12-29 - 2014-01-04,-70%,-49%
2014-01-05 - 2014-01-11,-64%,-39%
2014-01-12 - 2014-01-18,-61%,-32%
2014-01-19 - 2014-01-25,-61%,-32%
2014-01-26 - 2014-02-01,-62%,-39%
2014-02-02 - 2014-02-08,-64%,-37%
2014-02-09 - 2014-02-15,-62%,-34%
2014-02-16 - 2014-02-22,-61%,-31%
2014-02-23 - 2014-03-01,-61%,-32%
2014-03-02 - 2014-03-08,-61%,-32%
2014-03-09 - 2014-03-15,-60%,-32%
2014-03-16 - 2014-03-22,-61%,-32%
2014-03-23 - 2014-03-29,-61%,-32%
2014-03-30 - 2014-04-05,-61%,-31%
2014-04-06 - 2014-04-12,-62%,-34%
2014-04-13 - 2014-04-19,-61%,-31%
2014-04-20 - 2014-04-26,-61%,-37%
2014-04-27 - 2014-05-03,-64%,-37%
2014-05-04 - 2014-05-10,-62%,-35%
2014-05-11 - 2014-05-17,-61%,-34%
2014-05-18 - 2014-05-24,-62%,-31%
2014-05-25 - 2014-05-31,-64%,-36%
2014-06-01 - 2014-06-07,-61%,-37%
2014-06-08 - 2014-06-14,-65%,-40%
2014-06-15 - 2014-06-21,-64%,-41%
2014-06-22 - 2014-06-28,-64%,-41%
2014-06-29 - 2014-07-05,-65%,-45%
2014-07-06 - 2014-07-12,-65%,-40%
2014-07-13 - 2014-07-19,-64%,-40%
2014-07-20 - 2014-07-26,-64%,-41%
2014-07-27 - 2014-08-02,-65%,-41%
2014-08-03 - 2014-08-09,-65%,-41%
2014-08-10 - 2014-08-16, , 
2014-08-17 - 2014-08-23, , 
2014-08-24 - 2014-08-30, , 
2014-08-31 - 2014-09-06, , 


Top regions for qt
Region,qt
Cuba,100
China,38
Russia,31
Finland,31
Belarus,27
Armenia,24
South Korea,23
Germany,20
Czech Republic,20
Taiwan,20
Ukraine,17
Switzerland,16
Norway,16
Austria,14
France,14
India,14
Tunisia,14
Australia,13
Singapore,12
Iran,12
Estonia,12
Poland,11
Slovenia,11
Hong Kong,11
Sweden,11
Belgium,10
Hungary,10
United States,10
South Africa,10
Slovakia,9
Canada,9
Latvia,9
New Zealand,9
Kazakhstan,8
Japan,8
Italy,8
Israel,8
Netherlands,8
Bulgaria,8
Romania,7
Denmark,7
Lithuania,7
Algeria,7
Greece,7
Morocco,7
Costa Rica,6
Serbia,6
Spain,6
Portugal,6
United Kingdom,6
Croatia,5
Pakistan,5
Vietnam,5
Indonesia,5
Ireland,5
Philippines,4
Egypt,4
Argentina,4
Brazil,4
Malaysia,4
Venezuela,3
Mexico,3
Colombia,3
Chile,3
Turkey,3
Thailand,3
Peru,2
Saudi Arabia,1


Top cities for qt
City,qt
Shenzhen (China),100
Beijing (China),77
Saint Petersburg (Russia),64
Moscow (Russia),54
Shanghai (China),54
Guangzhou (China),42
Munich (Germany),38
Seoul (South Korea),38
Bangalore (India),37
Kiev (Ukraine),24
Berlin (Germany),23
Paris (France),20
Montreal (Canada),19
Frankfurt (Germany),18
Singapore (Singapore),17



Top searches for qt
c++ qt,100
qt creator,80
qt download,70
qt windows,70
tutorial qt,55
qt python,45
qt gui,45
qt designer,45
qt widget,35
qt visual studio,35
qt4,25
nokia qt,25
qt signal,25
qt programming,25
qt sdk,25
qstring,20
qt qstring,20
eclipse qt,20
pyqt,20
qt application,20
qt 4,20
opengl qt,20
qt code,20
mingw,20
qt mac,20
qt java,15
qt project,15
qt qmake,15
gtk,15
trolltech qt,15
trolltech,15
qt connect,15
qt framework,15
qt reference,15
hotel qt,15
qml,15
qwidget,15
qt 5,15
qt qml,15
qt layout,10
qt webkit,10
qt for windows,10
qt ide,10
qt xml,10
qt examples,10
1 qt,10
qtcreator,10
qt 4.8,10
qt quick,10
qt development,10



Rising searches for qt
nokia qt,Breakout
qt creator,Breakout
qt sdk,Breakout
qt4,Breakout
qt visual studio,+250%
mingw,+190%
qt 4,+170%
qstring,+130%
qt qstring,+130%
eclipse qt,+110%



