Web Search interest: php
Worldwide; 2004 - present

Interest over time
Week,php
2007-02-11 - 2007-02-17,-30%,-30%
2007-02-18 - 2007-02-24,-32%,-29%
2007-02-25 - 2007-03-03,-32%,-32%
2007-03-04 - 2007-03-10,-30%,-28%
2007-03-11 - 2007-03-17,-28%,-30%
2007-03-18 - 2007-03-24,-30%,-32%
2007-03-25 - 2007-03-31,-31%,-30%
2007-04-01 - 2007-04-07,-32%,-30%
2007-04-08 - 2007-04-14,-33%,-34%
2007-04-15 - 2007-04-21,-31%,-33%
2007-04-22 - 2007-04-28,-32%,-34%
2007-04-29 - 2007-05-05,-36%,-37%
2007-05-06 - 2007-05-12,-32%,-34%
2007-05-13 - 2007-05-19,-31%,-34%
2007-05-20 - 2007-05-26,-31%,-32%
2007-05-27 - 2007-06-02,-30%,-34%
2007-06-03 - 2007-06-09,-30%,-30%
2007-06-10 - 2007-06-16,-33%,-35%
2007-06-17 - 2007-06-23,-33%,-36%
2007-06-24 - 2007-06-30,-32%,-36%
2007-07-01 - 2007-07-07,-33%,-37%
2007-07-08 - 2007-07-14,-33%,-35%
2007-07-15 - 2007-07-21,-34%,-35%
2007-07-22 - 2007-07-28,-35%,-37%
2007-07-29 - 2007-08-04,-36%,-38%
2007-08-05 - 2007-08-11,-35%,-40%
2007-08-12 - 2007-08-18,-39%,-38%
2007-08-19 - 2007-08-25,-36%,-39%
2007-08-26 - 2007-09-01,-36%,-37%
2007-09-02 - 2007-09-08,-36%,-41%
2007-09-09 - 2007-09-15,-36%,-39%
2007-09-16 - 2007-09-22,-35%,-38%
2007-09-23 - 2007-09-29,-35%,-40%
2007-09-30 - 2007-10-06,-36%,-40%
2007-10-07 - 2007-10-13,-34%,-39%
2007-10-14 - 2007-10-20,-34%,-42%
2007-10-21 - 2007-10-27,-34%,-39%
2007-10-28 - 2007-11-03,-34%,-40%
2007-11-04 - 2007-11-10,-35%,-41%
2007-11-11 - 2007-11-17,-34%,-39%
2007-11-18 - 2007-11-24,-31%,-34%
2007-11-25 - 2007-12-01,-26%,-34%
2007-12-02 - 2007-12-08,-30%,-35%
2007-12-09 - 2007-12-15,-37%,-42%
2007-12-16 - 2007-12-22,-40%,-43%
2007-12-23 - 2007-12-29,-50%,-57%
2007-12-30 - 2008-01-05,-51%,-52%
2008-01-06 - 2008-01-12,-40%,-47%
2008-01-13 - 2008-01-19,-41%,-48%
2008-01-20 - 2008-01-26,-40%,-45%
2008-01-27 - 2008-02-02,-41%,-45%
2008-02-03 - 2008-02-09,-41%,-43%
2008-02-10 - 2008-02-16,-41%,-45%
2008-02-17 - 2008-02-23,-37%,-43%
2008-02-24 - 2008-03-01,-37%,-43%
2008-03-02 - 2008-03-08,-40%,-43%
2008-03-09 - 2008-03-15,-39%,-46%
2008-03-16 - 2008-03-22,-41%,-45%
2008-03-23 - 2008-03-29,-42%,-47%
2008-03-30 - 2008-04-05,-40%,-45%
2008-04-06 - 2008-04-12,-39%,-45%
2008-04-13 - 2008-04-19,-39%,-46%
2008-04-20 - 2008-04-26,-37%,-45%
2008-04-27 - 2008-05-03,-44%,-50%
2008-05-04 - 2008-05-10,-42%,-47%
2008-05-11 - 2008-05-17,-41%,-47%
2008-05-18 - 2008-05-24,-41%,-48%
2008-05-25 - 2008-05-31,-41%,-48%
2008-06-01 - 2008-06-07,-43%,-49%
2008-06-08 - 2008-06-14,-42%,-48%
2008-06-15 - 2008-06-21,-41%,-47%
2008-06-22 - 2008-06-28,-43%,-48%
2008-06-29 - 2008-07-05,-42%,-48%
2008-07-06 - 2008-07-12,-42%,-47%
2008-07-13 - 2008-07-19,-42%,-48%
2008-07-20 - 2008-07-26,-44%,-48%
2008-07-27 - 2008-08-02,-44%,-48%
2008-08-03 - 2008-08-09,-45%,-48%
2008-08-10 - 2008-08-16,-47%,-51%
2008-08-17 - 2008-08-23,-45%,-52%
2008-08-24 - 2008-08-30,-44%,-51%
2008-08-31 - 2008-09-06,-45%,-52%
2008-09-07 - 2008-09-13,-43%,-52%
2008-09-14 - 2008-09-20,-44%,-51%
2008-09-21 - 2008-09-27,-42%,-50%
2008-09-28 - 2008-10-04,-47%,-53%
2008-10-05 - 2008-10-11,-44%,-52%
2008-10-12 - 2008-10-18,-43%,-52%
2008-10-19 - 2008-10-25,-43%,-51%
2008-10-26 - 2008-11-01,-43%,-52%
2008-11-02 - 2008-11-08,-43%,-54%
2008-11-09 - 2008-11-15,-43%,-53%
2008-11-16 - 2008-11-22,-43%,-53%
2008-11-23 - 2008-11-29,-47%,-52%
2008-11-30 - 2008-12-06,-43%,-52%
2008-12-07 - 2008-12-13,-45%,-54%
2008-12-14 - 2008-12-20,-48%,-53%
2008-12-21 - 2008-12-27,-53%,-60%
2008-12-28 - 2009-01-03,-58%,-63%
2009-01-04 - 2009-01-10,-43%,-55%
2009-01-11 - 2009-01-17,-41%,-55%
2009-01-18 - 2009-01-24,-44%,-52%
2009-01-25 - 2009-01-31,-47%,-53%
2009-02-01 - 2009-02-07,-44%,-52%
2009-02-08 - 2009-02-14,-44%,-53%
2009-02-15 - 2009-02-21,-42%,-49%
2009-02-22 - 2009-02-28,-43%,-51%
2009-03-01 - 2009-03-07,-43%,-52%
2009-03-08 - 2009-03-14,-43%,-52%
2009-03-15 - 2009-03-21,-43%,-51%
2009-03-22 - 2009-03-28,-43%,-52%
2009-03-29 - 2009-04-04,-43%,-51%
2009-04-05 - 2009-04-11,-45%,-51%
2009-04-12 - 2009-04-18,-44%,-51%
2009-04-19 - 2009-04-25,-44%,-52%
2009-04-26 - 2009-05-02,-47%,-53%
2009-05-03 - 2009-05-09,-45%,-53%
2009-05-10 - 2009-05-16,-43%,-52%
2009-05-17 - 2009-05-23,-44%,-52%
2009-05-24 - 2009-05-30,-48%,-54%
2009-05-31 - 2009-06-06,-45%,-54%
2009-06-07 - 2009-06-13,-45%,-54%
2009-06-14 - 2009-06-20,-45%,-53%
2009-06-21 - 2009-06-27,-48%,-55%
2009-06-28 - 2009-07-04,-50%,-57%
2009-07-05 - 2009-07-11,-48%,-54%
2009-07-12 - 2009-07-18,-47%,-53%
2009-07-19 - 2009-07-25,-49%,-54%
2009-07-26 - 2009-08-01,-48%,-54%
2009-08-02 - 2009-08-08,-48%,-55%
2009-08-09 - 2009-08-15,-49%,-55%
2009-08-16 - 2009-08-22,-47%,-53%
2009-08-23 - 2009-08-29,-48%,-54%
2009-08-30 - 2009-09-05,-47%,-57%
2009-09-06 - 2009-09-12,-48%,-55%
2009-09-13 - 2009-09-19,-48%,-57%
2009-09-20 - 2009-09-26,-49%,-58%
2009-09-27 - 2009-10-03,-50%,-58%
2009-10-04 - 2009-10-10,-47%,-58%
2009-10-11 - 2009-10-17,-48%,-59%
2009-10-18 - 2009-10-24,-40%,-58%
2009-10-25 - 2009-10-31,-40%,-58%
2009-11-01 - 2009-11-07,-43%,-58%
2009-11-08 - 2009-11-14,-44%,-58%
2009-11-15 - 2009-11-21,-44%,-57%
2009-11-22 - 2009-11-28,-47%,-58%
2009-11-29 - 2009-12-05,-48%,-60%
2009-12-06 - 2009-12-12,-47%,-60%
2009-12-13 - 2009-12-19,-49%,-61%
2009-12-20 - 2009-12-26,-53%,-65%
2009-12-27 - 2010-01-02,-58%,-68%
2010-01-03 - 2010-01-09,-52%,-62%
2010-01-10 - 2010-01-16,-49%,-60%
2010-01-17 - 2010-01-23,-48%,-59%
2010-01-24 - 2010-01-30,-48%,-60%
2010-01-31 - 2010-02-06,-48%,-58%
2010-02-07 - 2010-02-13,-49%,-59%
2010-02-14 - 2010-02-20,-49%,-60%
2010-02-21 - 2010-02-27,-47%,-60%
2010-02-28 - 2010-03-06,-47%,-58%
2010-03-07 - 2010-03-13,-48%,-59%
2010-03-14 - 2010-03-20,-49%,-58%
2010-03-21 - 2010-03-27,-48%,-58%
2010-03-28 - 2010-04-03,-50%,-59%
2010-04-04 - 2010-04-10,-49%,-60%
2010-04-11 - 2010-04-17,-47%,-60%
2010-04-18 - 2010-04-24,-48%,-59%
2010-04-25 - 2010-05-01,-49%,-61%
2010-05-02 - 2010-05-08,-50%,-60%
2010-05-09 - 2010-05-15,-48%,-61%
2010-05-16 - 2010-05-22,-48%,-60%
2010-05-23 - 2010-05-29,-51%,-60%
2010-05-30 - 2010-06-05,-49%,-61%
2010-06-06 - 2010-06-12,-49%,-60%
2010-06-13 - 2010-06-19,-50%,-61%
2010-06-20 - 2010-06-26,-50%,-61%
2010-06-27 - 2010-07-03,-53%,-62%
2010-07-04 - 2010-07-10,-55%,-63%
2010-07-11 - 2010-07-17,-55%,-64%
2010-07-18 - 2010-07-24,-52%,-63%
2010-07-25 - 2010-07-31,-53%,-63%
2010-08-01 - 2010-08-07,-53%,-64%
2010-08-08 - 2010-08-14,-53%,-62%
2010-08-15 - 2010-08-21,-53%,-63%
2010-08-22 - 2010-08-28,-53%,-64%
2010-08-29 - 2010-09-04,-53%,-65%
2010-09-05 - 2010-09-11,-53%,-65%
2010-09-12 - 2010-09-18,-53%,-65%
2010-09-19 - 2010-09-25,-53%,-64%
2010-09-26 - 2010-10-02,-51%,-65%
2010-10-03 - 2010-10-09,-51%,-64%
2010-10-10 - 2010-10-16,-51%,-64%
2010-10-17 - 2010-10-23,-51%,-63%
2010-10-24 - 2010-10-30,-51%,-63%
2010-10-31 - 2010-11-06,-53%,-65%
2010-11-07 - 2010-11-13,-52%,-64%
2010-11-14 - 2010-11-20,-52%,-64%
2010-11-21 - 2010-11-27,-53%,-65%
2010-11-28 - 2010-12-04,-55%,-65%
2010-12-05 - 2010-12-11,-53%,-64%
2010-12-12 - 2010-12-18,-53%,-65%
2010-12-19 - 2010-12-25,-58%,-67%
2010-12-26 - 2011-01-01,-61%,-71%
2011-01-02 - 2011-01-08,-57%,-66%
2011-01-09 - 2011-01-15,-55%,-65%
2011-01-16 - 2011-01-22,-52%,-64%
2011-01-23 - 2011-01-29,-53%,-65%
2011-01-30 - 2011-02-05,-56%,-65%
2011-02-06 - 2011-02-12,-52%,-64%
2011-02-13 - 2011-02-19,-53%,-64%
2011-02-20 - 2011-02-26,-55%,-64%
2011-02-27 - 2011-03-05,-53%,-64%
2011-03-06 - 2011-03-12,-55%,-65%
2011-03-13 - 2011-03-19,-55%,-65%
2011-03-20 - 2011-03-26,-55%,-65%
2011-03-27 - 2011-04-02,-53%,-64%
2011-04-03 - 2011-04-09,-53%,-64%
2011-04-10 - 2011-04-16,-51%,-64%
2011-04-17 - 2011-04-23,-55%,-65%
2011-04-24 - 2011-04-30,-56%,-66%
2011-05-01 - 2011-05-07,-57%,-66%
2011-05-08 - 2011-05-14,-55%,-65%
2011-05-15 - 2011-05-21,-55%,-65%
2011-05-22 - 2011-05-28,-53%,-64%
2011-05-29 - 2011-06-04,-56%,-66%
2011-06-05 - 2011-06-11,-56%,-66%
2011-06-12 - 2011-06-18,-55%,-66%
2011-06-19 - 2011-06-25,-55%,-66%
2011-06-26 - 2011-07-02,-57%,-65%
2011-07-03 - 2011-07-09,-58%,-65%
2011-07-10 - 2011-07-16,-56%,-65%
2011-07-17 - 2011-07-23,-57%,-67%
2011-07-24 - 2011-07-30,-56%,-65%
2011-07-31 - 2011-08-06,-58%,-66%
2011-08-07 - 2011-08-13,-57%,-67%
2011-08-14 - 2011-08-20,-58%,-68%
2011-08-21 - 2011-08-27,-57%,-67%
2011-08-28 - 2011-09-03,-58%,-68%
2011-09-04 - 2011-09-10,-59%,-68%
2011-09-11 - 2011-09-17,-55%,-68%
2011-09-18 - 2011-09-24,-56%,-68%
2011-09-25 - 2011-10-01,-56%,-67%
2011-10-02 - 2011-10-08,-58%,-68%
2011-10-09 - 2011-10-15,-56%,-68%
2011-10-16 - 2011-10-22,-55%,-67%
2011-10-23 - 2011-10-29,-56%,-70%
2011-10-30 - 2011-11-05,-57%,-70%
2011-11-06 - 2011-11-12,-56%,-67%
2011-11-13 - 2011-11-19,-57%,-67%
2011-11-20 - 2011-11-26,-57%,-68%
2011-11-27 - 2011-12-03,-57%,-68%
2011-12-04 - 2011-12-10,-57%,-70%
2011-12-11 - 2011-12-17,-56%,-70%
2011-12-18 - 2011-12-24,-60%,-72%
2011-12-25 - 2011-12-31,-65%,-76%
2012-01-01 - 2012-01-07,-61%,-72%
2012-01-08 - 2012-01-14,-59%,-71%
2012-01-15 - 2012-01-21,-59%,-70%
2012-01-22 - 2012-01-28,-59%,-71%
2012-01-29 - 2012-02-04,-58%,-68%
2012-02-05 - 2012-02-11,-58%,-70%
2012-02-12 - 2012-02-18,-57%,-68%
2012-02-19 - 2012-02-25,-57%,-68%
2012-02-26 - 2012-03-03,-58%,-68%
2012-03-04 - 2012-03-10,-57%,-67%
2012-03-11 - 2012-03-17,-57%,-67%
2012-03-18 - 2012-03-24,-58%,-70%
2012-03-25 - 2012-03-31,-57%,-68%
2012-04-01 - 2012-04-07,-59%,-71%
2012-04-08 - 2012-04-14,-58%,-71%
2012-04-15 - 2012-04-21,-57%,-68%
2012-04-22 - 2012-04-28,-58%,-70%
2012-04-29 - 2012-05-05,-60%,-73%
2012-05-06 - 2012-05-12,-58%,-71%
2012-05-13 - 2012-05-19,-58%,-71%
2012-05-20 - 2012-05-26,-56%,-71%
2012-05-27 - 2012-06-02,-59%,-71%
2012-06-03 - 2012-06-09,-58%,-71%
2012-06-10 - 2012-06-16,-59%,-71%
2012-06-17 - 2012-06-23,-59%,-71%
2012-06-24 - 2012-06-30,-59%,-71%
2012-07-01 - 2012-07-07,-61%,-71%
2012-07-08 - 2012-07-14,-60%,-71%
2012-07-15 - 2012-07-21,-61%,-71%
2012-07-22 - 2012-07-28,-60%,-71%
2012-07-29 - 2012-08-04,-61%,-72%
2012-08-05 - 2012-08-11,-60%,-72%
2012-08-12 - 2012-08-18,-62%,-73%
2012-08-19 - 2012-08-25,-60%,-72%
2012-08-26 - 2012-09-01,-60%,-72%
2012-09-02 - 2012-09-08,-59%,-72%
2012-09-09 - 2012-09-15,-58%,-72%
2012-09-16 - 2012-09-22,-58%,-71%
2012-09-23 - 2012-09-29,-59%,-72%
2012-09-30 - 2012-10-06,-59%,-73%
2012-10-07 - 2012-10-13,-59%,-73%
2012-10-14 - 2012-10-20,-60%,-72%
2012-10-21 - 2012-10-27,-59%,-73%
2012-10-28 - 2012-11-03,-60%,-74%
2012-11-04 - 2012-11-10,-59%,-73%
2012-11-11 - 2012-11-17,-60%,-74%
2012-11-18 - 2012-11-24,-61%,-74%
2012-11-25 - 2012-12-01,-60%,-73%
2012-12-02 - 2012-12-08,-60%,-75%
2012-12-09 - 2012-12-15,-60%,-74%
2012-12-16 - 2012-12-22,-62%,-75%
2012-12-23 - 2012-12-29,-69%,-80%
2012-12-30 - 2013-01-05,-68%,-79%
2013-01-06 - 2013-01-12,-61%,-75%
2013-01-13 - 2013-01-19,-59%,-74%
2013-01-20 - 2013-01-26,-59%,-73%
2013-01-27 - 2013-02-02,-60%,-74%
2013-02-03 - 2013-02-09,-60%,-75%
2013-02-10 - 2013-02-16,-61%,-75%
2013-02-17 - 2013-02-23,-60%,-74%
2013-02-24 - 2013-03-02,-60%,-74%
2013-03-03 - 2013-03-09,-59%,-74%
2013-03-10 - 2013-03-16,-60%,-73%
2013-03-17 - 2013-03-23,-59%,-74%
2013-03-24 - 2013-03-30,-62%,-75%
2013-03-31 - 2013-04-06,-61%,-74%
2013-04-07 - 2013-04-13,-60%,-73%
2013-04-14 - 2013-04-20,-60%,-73%
2013-04-21 - 2013-04-27,-60%,-74%
2013-04-28 - 2013-05-04,-64%,-75%
2013-05-05 - 2013-05-11,-62%,-75%
2013-05-12 - 2013-05-18,-60%,-74%
2013-05-19 - 2013-05-25,-61%,-74%
2013-05-26 - 2013-06-01,-62%,-74%
2013-06-02 - 2013-06-08,-60%,-74%
2013-06-09 - 2013-06-15,-61%,-74%
2013-06-16 - 2013-06-22,-61%,-74%
2013-06-23 - 2013-06-29,-61%,-74%
2013-06-30 - 2013-07-06,-62%,-75%
2013-07-07 - 2013-07-13,-62%,-75%
2013-07-14 - 2013-07-20,-64%,-74%
2013-07-21 - 2013-07-27,-64%,-75%
2013-07-28 - 2013-08-03,-64%,-75%
2013-08-04 - 2013-08-10,-65%,-76%
2013-08-11 - 2013-08-17,-64%,-76%
2013-08-18 - 2013-08-24,-64%,-75%
2013-08-25 - 2013-08-31,-62%,-75%
2013-09-01 - 2013-09-07,-62%,-76%
2013-09-08 - 2013-09-14,-61%,-76%
2013-09-15 - 2013-09-21,-62%,-76%
2013-09-22 - 2013-09-28,-61%,-75%
2013-09-29 - 2013-10-05,-61%,-75%
2013-10-06 - 2013-10-12,-60%,-75%
2013-10-13 - 2013-10-19,-60%,-76%
2013-10-20 - 2013-10-26,-61%,-75%
2013-10-27 - 2013-11-02,-62%,-76%
2013-11-03 - 2013-11-09,-61%,-76%
2013-11-10 - 2013-11-16,-60%,-74%
2013-11-17 - 2013-11-23,-60%,-75%
2013-11-24 - 2013-11-30,-62%,-76%
2013-12-01 - 2013-12-07,-62%,-75%
2013-12-08 - 2013-12-14,-61%,-75%
2013-12-15 - 2013-12-21,-64%,-76%
2013-12-22 - 2013-12-28,-69%,-82%
2013-12-29 - 2014-01-04,-70%,-83%
2014-01-05 - 2014-01-11,-64%,-76%
2014-01-12 - 2014-01-18,-61%,-76%
2014-01-19 - 2014-01-25,-61%,-76%
2014-01-26 - 2014-02-01,-62%,-76%
2014-02-02 - 2014-02-08,-64%,-76%
2014-02-09 - 2014-02-15,-61%,-75%
2014-02-16 - 2014-02-22,-61%,-75%
2014-02-23 - 2014-03-01,-61%,-75%
2014-03-02 - 2014-03-08,-61%,-75%
2014-03-09 - 2014-03-15,-60%,-75%
2014-03-16 - 2014-03-22,-62%,-75%
2014-03-23 - 2014-03-29,-61%,-75%
2014-03-30 - 2014-04-05,-61%,-75%
2014-04-06 - 2014-04-12,-61%,-76%
2014-04-13 - 2014-04-19,-62%,-76%
2014-04-20 - 2014-04-26,-61%,-76%
2014-04-27 - 2014-05-03,-64%,-78%
2014-05-04 - 2014-05-10,-61%,-76%
2014-05-11 - 2014-05-17,-61%,-76%
2014-05-18 - 2014-05-24,-62%,-75%
2014-05-25 - 2014-05-31,-65%,-77%
2014-06-01 - 2014-06-07,-62%,-76%
2014-06-08 - 2014-06-14,-64%,-77%
2014-06-15 - 2014-06-21,-64%,-77%
2014-06-22 - 2014-06-28,-64%,-77%
2014-06-29 - 2014-07-05,-66%,-77%
2014-07-06 - 2014-07-12,-65%,-77%
2014-07-13 - 2014-07-19,-64%,-77%
2014-07-20 - 2014-07-26,-64%,-77%
2014-07-27 - 2014-08-02,-66%,-78%
2014-08-03 - 2014-08-09,-62%,-76%
2014-08-10 - 2014-08-16, , 
2014-08-17 - 2014-08-23, , 
2014-08-24 - 2014-08-30, , 
2014-08-31 - 2014-09-06, , 


Top regions for php
Region,php
Cuba,100
Madagascar,52
Nepal,47
Philippines,46
Bangladesh,42
Czech Republic,42
India,40
Sri Lanka,37
Cambodia,32
Estonia,31
Cameroon,29
Latvia,28
Benin,27
Uganda,27
Hong Kong,26
Pakistan,26
Tunisia,26
Rwanda,26
Maldives,26
Mauritius,26
Kenya,26
Côte d’Ivoire,26
Mongolia,24
Netherlands,24
Hungary,23
Ukraine,22
Senegal,22
Bolivia,22
Russia,21
Botswana,21
Japan,21
Ethiopia,21
Romania,20
Moldova,20
Armenia,20
France,20
Luxembourg,20
Germany,20
Taiwan,19
Lithuania,19
China,19
Belarus,19
Switzerland,19
Uzbekistan,19
Slovakia,18
Bulgaria,18
Singapore,18
Kyrgyzstan,18
Indonesia,18
Tanzania,17
Laos,17
Poland,17
El Salvador,17
Austria,17
Belgium,17
Myanmar (Burma),16
Malaysia,16
Nigeria,16
Sweden,16
Iceland,16
Morocco,16
Slovenia,16
South Africa,16
Portugal,16
Ghana,15
Lebanon,15
Finland,15
Spain,15
Malta,15
Georgia,14
Norway,14
South Korea,14
Denmark,14
Macau,14
Jamaica,14
Brazil,14
Canada,14
New Zealand,14
United Kingdom,14
Haiti,13
Chile,13
United States,13
Australia,13
Mexico,13
Iran,13
Israel,13
Thailand,12
Macedonia (FYROM),12
Uruguay,12
Costa Rica,12
Paraguay,12
Serbia,12
Colombia,12
Cyprus,12
Guatemala,12
Peru,12
Zimbabwe,11
Zambia,11
Argentina,11
Greece,11
Italy,11
Venezuela,11
Nicaragua,11
Ecuador,11
Panama,10
Martinique,10
Syria,10
Mozambique,10
Ireland,10
Croatia,10
Réunion,9
Palestine,9
Vietnam,9
Bosnia and Herzegovina,9
Guadeloupe,9
Jordan,9
Honduras,8
Albania,8
Brunei,8
Dominican Republic,8
Azerbaijan,8
Trinidad and Tobago,8
Sudan,8
Bahrain,8
Algeria,8
Kazakhstan,8
United Arab Emirates,7
Egypt,6
Montenegro,6
Qatar,6
Puerto Rico,6
Yemen,5
Kuwait,5
Oman,5
Turkey,4
Saudi Arabia,4
Iraq,2


Top cities for php
City,php
Chennai (India),100
Prague (Czech Republic),99
New Delhi (India),83
Hyderabad (India),79
Bangalore (India),75
Amsterdam (Netherlands),72
Beijing (China),71
Budapest (Hungary),61
Mumbai (India),59
Paris (France),57
Moscow (Russia),55
Brussels (Belgium),46
Frankfurt (Germany),46
San Francisco (United States),45
Pune (India),44



Top searches for php
script php,100
array php,95
html,95
javascript,85
php string,85
php tutorial,75
for php,75
php download,65
jquery,65
php file,65
php function,55
php get,55
php code,50
php class,40
ajax php,40
ajax,40
php date,40
mail php,35
php framework,30
php editor,30
php time,30
php json,30
php server,30
php xml,30
php post,25
php scripts,25
include php,25
php pdf,25
echo php,20
php manual,20
php in array,15
php functions,15
php list,15
what is php,15
php pdo,15
php 5,15
substr php,15
php curl,15
php case,15
explode php,15
php redirect,15
php 配列,15
isset php,15
php soap,15
php forum,15
php foreach,10
php global,10
php or,10
cake php,10
cakephp,10



Rising searches for php
ajax,Breakout
ajax php,Breakout
jquery,Breakout
php json,Breakout
php framework,+450%
array php,+190%
php get,+170%
php date,+130%
php string,+100%
php class,+80%



