Web Search interest: visual c++
Worldwide; 2004 - present

Interest over time
Week,visual c++
2007-02-04 - 2007-02-10,-28%,-51%
2007-02-11 - 2007-02-17,-30%,-54%
2007-02-18 - 2007-02-24,-32%,-50%
2007-02-25 - 2007-03-03,-32%,-52%
2007-03-04 - 2007-03-10,-30%,-50%
2007-03-11 - 2007-03-17,-28%,-49%
2007-03-18 - 2007-03-24,-30%,-52%
2007-03-25 - 2007-03-31,-31%,-57%
2007-04-01 - 2007-04-07,-32%,-53%
2007-04-08 - 2007-04-14,-33%,-56%
2007-04-15 - 2007-04-21,-31%,-50%
2007-04-22 - 2007-04-28,-32%,-59%
2007-04-29 - 2007-05-05,-36%,-60%
2007-05-06 - 2007-05-12,-32%,-57%
2007-05-13 - 2007-05-19,-31%,-57%
2007-05-20 - 2007-05-26,-31%,-58%
2007-05-27 - 2007-06-02,-30%,-58%
2007-06-03 - 2007-06-09,-30%,-56%
2007-06-10 - 2007-06-16,-33%,-60%
2007-06-17 - 2007-06-23,-33%,-54%
2007-06-24 - 2007-06-30,-32%,-58%
2007-07-01 - 2007-07-07,-33%,-53%
2007-07-08 - 2007-07-14,-33%,-58%
2007-07-15 - 2007-07-21,-34%,-58%
2007-07-22 - 2007-07-28,-35%,-60%
2007-07-29 - 2007-08-04,-36%,-61%
2007-08-05 - 2007-08-11,-35%,-61%
2007-08-12 - 2007-08-18,-39%,-61%
2007-08-19 - 2007-08-25,-36%,-58%
2007-08-26 - 2007-09-01,-36%,-60%
2007-09-02 - 2007-09-08,-36%,-61%
2007-09-09 - 2007-09-15,-36%,-51%
2007-09-16 - 2007-09-22,-35%,-56%
2007-09-23 - 2007-09-29,-35%,-54%
2007-09-30 - 2007-10-06,-36%,-54%
2007-10-07 - 2007-10-13,-34%,-56%
2007-10-14 - 2007-10-20,-34%,-53%
2007-10-21 - 2007-10-27,-34%,-54%
2007-10-28 - 2007-11-03,-34%,-58%
2007-11-04 - 2007-11-10,-35%,-53%
2007-11-11 - 2007-11-17,-34%,-52%
2007-11-18 - 2007-11-24,-31%,-51%
2007-11-25 - 2007-12-01,-26%,-48%
2007-12-02 - 2007-12-08,-30%,-49%
2007-12-09 - 2007-12-15,-37%,-58%
2007-12-16 - 2007-12-22,-40%,-57%
2007-12-23 - 2007-12-29,-50%,-61%
2007-12-30 - 2008-01-05,-51%,-67%
2008-01-06 - 2008-01-12,-40%,-56%
2008-01-13 - 2008-01-19,-41%,-58%
2008-01-20 - 2008-01-26,-40%,-56%
2008-01-27 - 2008-02-02,-41%,-59%
2008-02-03 - 2008-02-09,-41%,-61%
2008-02-10 - 2008-02-16,-41%,-59%
2008-02-17 - 2008-02-23,-37%,-59%
2008-02-24 - 2008-03-01,-37%,-54%
2008-03-02 - 2008-03-08,-40%,-54%
2008-03-09 - 2008-03-15,-39%,-54%
2008-03-16 - 2008-03-22,-41%,-56%
2008-03-23 - 2008-03-29,-42%,-59%
2008-03-30 - 2008-04-05,-40%,-60%
2008-04-06 - 2008-04-12,-39%,-59%
2008-04-13 - 2008-04-19,-39%,-57%
2008-04-20 - 2008-04-26,-37%,-60%
2008-04-27 - 2008-05-03,-44%,-59%
2008-05-04 - 2008-05-10,-42%,-62%
2008-05-11 - 2008-05-17,-41%,-58%
2008-05-18 - 2008-05-24,-41%,-61%
2008-05-25 - 2008-05-31,-41%,-63%
2008-06-01 - 2008-06-07,-43%,-63%
2008-06-08 - 2008-06-14,-42%,-60%
2008-06-15 - 2008-06-21,-41%,-60%
2008-06-22 - 2008-06-28,-43%,-63%
2008-06-29 - 2008-07-05,-42%,-63%
2008-07-06 - 2008-07-12,-42%,-61%
2008-07-13 - 2008-07-19,-42%,-60%
2008-07-20 - 2008-07-26,-44%,-61%
2008-07-27 - 2008-08-02,-44%,-66%
2008-08-03 - 2008-08-09,-45%,-64%
2008-08-10 - 2008-08-16,-47%,-62%
2008-08-17 - 2008-08-23,-45%,-62%
2008-08-24 - 2008-08-30,-44%,-64%
2008-08-31 - 2008-09-06,-45%,-61%
2008-09-07 - 2008-09-13,-43%,-58%
2008-09-14 - 2008-09-20,-44%,-61%
2008-09-21 - 2008-09-27,-42%,-62%
2008-09-28 - 2008-10-04,-47%,-62%
2008-10-05 - 2008-10-11,-44%,-59%
2008-10-12 - 2008-10-18,-43%,-60%
2008-10-19 - 2008-10-25,-43%,-60%
2008-10-26 - 2008-11-01,-43%,-58%
2008-11-02 - 2008-11-08,-43%,-63%
2008-11-09 - 2008-11-15,-43%,-60%
2008-11-16 - 2008-11-22,-43%,-61%
2008-11-23 - 2008-11-29,-47%,-61%
2008-11-30 - 2008-12-06,-43%,-62%
2008-12-07 - 2008-12-13,-45%,-61%
2008-12-14 - 2008-12-20,-48%,-62%
2008-12-21 - 2008-12-27,-53%,-61%
2008-12-28 - 2009-01-03,-58%,-64%
2009-01-04 - 2009-01-10,-43%,-60%
2009-01-11 - 2009-01-17,-41%,-60%
2009-01-18 - 2009-01-24,-44%,-58%
2009-01-25 - 2009-01-31,-47%,-60%
2009-02-01 - 2009-02-07,-44%,-59%
2009-02-08 - 2009-02-14,-44%,-59%
2009-02-15 - 2009-02-21,-42%,-57%
2009-02-22 - 2009-02-28,-43%,-58%
2009-03-01 - 2009-03-07,-43%,-59%
2009-03-08 - 2009-03-14,-43%,-59%
2009-03-15 - 2009-03-21,-43%,-59%
2009-03-22 - 2009-03-28,-43%,-61%
2009-03-29 - 2009-04-04,-43%,-60%
2009-04-05 - 2009-04-11,-45%,-58%
2009-04-12 - 2009-04-18,-44%,-59%
2009-04-19 - 2009-04-25,-44%,-63%
2009-04-26 - 2009-05-02,-47%,-64%
2009-05-03 - 2009-05-09,-45%,-64%
2009-05-10 - 2009-05-16,-43%,-62%
2009-05-17 - 2009-05-23,-44%,-63%
2009-05-24 - 2009-05-30,-48%,-62%
2009-05-31 - 2009-06-06,-45%,-62%
2009-06-07 - 2009-06-13,-45%,-62%
2009-06-14 - 2009-06-20,-45%,-64%
2009-06-21 - 2009-06-27,-48%,-63%
2009-06-28 - 2009-07-04,-50%,-64%
2009-07-05 - 2009-07-11,-48%,-64%
2009-07-12 - 2009-07-18,-47%,-63%
2009-07-19 - 2009-07-25,-49%,-66%
2009-07-26 - 2009-08-01,-48%,-63%
2009-08-02 - 2009-08-08,-48%,-66%
2009-08-09 - 2009-08-15,-49%,-62%
2009-08-16 - 2009-08-22,-47%,-60%
2009-08-23 - 2009-08-29,-48%,-62%
2009-08-30 - 2009-09-05,-47%,-62%
2009-09-06 - 2009-09-12,-48%,-61%
2009-09-13 - 2009-09-19,-48%,-61%
2009-09-20 - 2009-09-26,-49%,-61%
2009-09-27 - 2009-10-03,-50%,-63%
2009-10-04 - 2009-10-10,-47%,-60%
2009-10-11 - 2009-10-17,-48%,-61%
2009-10-18 - 2009-10-24,-40%,-60%
2009-10-25 - 2009-10-31,-40%,-59%
2009-11-01 - 2009-11-07,-43%,-61%
2009-11-08 - 2009-11-14,-44%,-62%
2009-11-15 - 2009-11-21,-44%,-60%
2009-11-22 - 2009-11-28,-47%,-61%
2009-11-29 - 2009-12-05,-48%,-62%
2009-12-06 - 2009-12-12,-47%,-63%
2009-12-13 - 2009-12-19,-49%,-66%
2009-12-20 - 2009-12-26,-53%,-64%
2009-12-27 - 2010-01-02,-58%,-67%
2010-01-03 - 2010-01-09,-52%,-64%
2010-01-10 - 2010-01-16,-49%,-66%
2010-01-17 - 2010-01-23,-48%,-62%
2010-01-24 - 2010-01-30,-48%,-60%
2010-01-31 - 2010-02-06,-48%,-60%
2010-02-07 - 2010-02-13,-49%,-64%
2010-02-14 - 2010-02-20,-49%,-63%
2010-02-21 - 2010-02-27,-47%,-61%
2010-02-28 - 2010-03-06,-47%,-60%
2010-03-07 - 2010-03-13,-48%,-62%
2010-03-14 - 2010-03-20,-49%,-64%
2010-03-21 - 2010-03-27,-48%,-62%
2010-03-28 - 2010-04-03,-50%,-64%
2010-04-04 - 2010-04-10,-49%,-63%
2010-04-11 - 2010-04-17,-47%,-63%
2010-04-18 - 2010-04-24,-48%,-63%
2010-04-25 - 2010-05-01,-49%,-64%
2010-05-02 - 2010-05-08,-50%,-64%
2010-05-09 - 2010-05-15,-48%,-66%
2010-05-16 - 2010-05-22,-48%,-67%
2010-05-23 - 2010-05-29,-51%,-68%
2010-05-30 - 2010-06-05,-49%,-66%
2010-06-06 - 2010-06-12,-49%,-66%
2010-06-13 - 2010-06-19,-50%,-67%
2010-06-20 - 2010-06-26,-50%,-67%
2010-06-27 - 2010-07-03,-53%,-68%
2010-07-04 - 2010-07-10,-55%,-69%
2010-07-11 - 2010-07-17,-55%,-69%
2010-07-18 - 2010-07-24,-52%,-69%
2010-07-25 - 2010-07-31,-53%,-68%
2010-08-01 - 2010-08-07,-53%,-67%
2010-08-08 - 2010-08-14,-53%,-69%
2010-08-15 - 2010-08-21,-53%,-68%
2010-08-22 - 2010-08-28,-53%,-68%
2010-08-29 - 2010-09-04,-53%,-68%
2010-09-05 - 2010-09-11,-53%,-67%
2010-09-12 - 2010-09-18,-53%,-68%
2010-09-19 - 2010-09-25,-53%,-67%
2010-09-26 - 2010-10-02,-51%,-63%
2010-10-03 - 2010-10-09,-51%,-64%
2010-10-10 - 2010-10-16,-51%,-64%
2010-10-17 - 2010-10-23,-51%,-64%
2010-10-24 - 2010-10-30,-51%,-66%
2010-10-31 - 2010-11-06,-53%,-67%
2010-11-07 - 2010-11-13,-52%,-66%
2010-11-14 - 2010-11-20,-52%,-66%
2010-11-21 - 2010-11-27,-53%,-69%
2010-11-28 - 2010-12-04,-55%,-70%
2010-12-05 - 2010-12-11,-53%,-70%
2010-12-12 - 2010-12-18,-53%,-70%
2010-12-19 - 2010-12-25,-58%,-71%
2010-12-26 - 2011-01-01,-61%,-73%
2011-01-02 - 2011-01-08,-57%,-71%
2011-01-09 - 2011-01-15,-55%,-69%
2011-01-16 - 2011-01-22,-52%,-70%
2011-01-23 - 2011-01-29,-53%,-68%
2011-01-30 - 2011-02-05,-56%,-71%
2011-02-06 - 2011-02-12,-52%,-69%
2011-02-13 - 2011-02-19,-53%,-70%
2011-02-20 - 2011-02-26,-55%,-69%
2011-02-27 - 2011-03-05,-53%,-68%
2011-03-06 - 2011-03-12,-55%,-69%
2011-03-13 - 2011-03-19,-55%,-70%
2011-03-20 - 2011-03-26,-55%,-70%
2011-03-27 - 2011-04-02,-53%,-69%
2011-04-03 - 2011-04-09,-53%,-69%
2011-04-10 - 2011-04-16,-51%,-69%
2011-04-17 - 2011-04-23,-55%,-67%
2011-04-24 - 2011-04-30,-56%,-69%
2011-05-01 - 2011-05-07,-57%,-70%
2011-05-08 - 2011-05-14,-55%,-70%
2011-05-15 - 2011-05-21,-55%,-69%
2011-05-22 - 2011-05-28,-53%,-70%
2011-05-29 - 2011-06-04,-56%,-71%
2011-06-05 - 2011-06-11,-56%,-70%
2011-06-12 - 2011-06-18,-55%,-69%
2011-06-19 - 2011-06-25,-55%,-69%
2011-06-26 - 2011-07-02,-57%,-69%
2011-07-03 - 2011-07-09,-58%,-68%
2011-07-10 - 2011-07-16,-56%,-70%
2011-07-17 - 2011-07-23,-57%,-68%
2011-07-24 - 2011-07-30,-56%,-70%
2011-07-31 - 2011-08-06,-58%,-70%
2011-08-07 - 2011-08-13,-57%,-71%
2011-08-14 - 2011-08-20,-58%,-71%
2011-08-21 - 2011-08-27,-57%,-69%
2011-08-28 - 2011-09-03,-58%,-70%
2011-09-04 - 2011-09-10,-59%,-70%
2011-09-11 - 2011-09-17,-55%,-70%
2011-09-18 - 2011-09-24,-56%,-68%
2011-09-25 - 2011-10-01,-56%,-69%
2011-10-02 - 2011-10-08,-58%,-67%
2011-10-09 - 2011-10-15,-56%,-67%
2011-10-16 - 2011-10-22,-55%,-66%
2011-10-23 - 2011-10-29,-56%,-67%
2011-10-30 - 2011-11-05,-57%,-68%
2011-11-06 - 2011-11-12,-56%,-68%
2011-11-13 - 2011-11-19,-57%,-69%
2011-11-20 - 2011-11-26,-57%,-72%
2011-11-27 - 2011-12-03,-57%,-68%
2011-12-04 - 2011-12-10,-57%,-70%
2011-12-11 - 2011-12-17,-56%,-71%
2011-12-18 - 2011-12-24,-60%,-72%
2011-12-25 - 2011-12-31,-65%,-74%
2012-01-01 - 2012-01-07,-61%,-72%
2012-01-08 - 2012-01-14,-59%,-71%
2012-01-15 - 2012-01-21,-59%,-70%
2012-01-22 - 2012-01-28,-59%,-71%
2012-01-29 - 2012-02-04,-58%,-71%
2012-02-05 - 2012-02-11,-58%,-71%
2012-02-12 - 2012-02-18,-57%,-71%
2012-02-19 - 2012-02-25,-57%,-71%
2012-02-26 - 2012-03-03,-58%,-71%
2012-03-04 - 2012-03-10,-57%,-70%
2012-03-11 - 2012-03-17,-57%,-72%
2012-03-18 - 2012-03-24,-58%,-72%
2012-03-25 - 2012-03-31,-57%,-72%
2012-04-01 - 2012-04-07,-59%,-74%
2012-04-08 - 2012-04-14,-58%,-72%
2012-04-15 - 2012-04-21,-57%,-72%
2012-04-22 - 2012-04-28,-58%,-74%
2012-04-29 - 2012-05-05,-60%,-76%
2012-05-06 - 2012-05-12,-58%,-73%
2012-05-13 - 2012-05-19,-58%,-73%
2012-05-20 - 2012-05-26,-56%,-74%
2012-05-27 - 2012-06-02,-59%,-74%
2012-06-03 - 2012-06-09,-58%,-76%
2012-06-10 - 2012-06-16,-59%,-73%
2012-06-17 - 2012-06-23,-59%,-72%
2012-06-24 - 2012-06-30,-59%,-71%
2012-07-01 - 2012-07-07,-61%,-73%
2012-07-08 - 2012-07-14,-60%,-73%
2012-07-15 - 2012-07-21,-61%,-74%
2012-07-22 - 2012-07-28,-60%,-74%
2012-07-29 - 2012-08-04,-61%,-74%
2012-08-05 - 2012-08-11,-60%,-74%
2012-08-12 - 2012-08-18,-62%,-72%
2012-08-19 - 2012-08-25,-60%,-73%
2012-08-26 - 2012-09-01,-60%,-73%
2012-09-02 - 2012-09-08,-59%,-74%
2012-09-09 - 2012-09-15,-58%,-71%
2012-09-16 - 2012-09-22,-58%,-71%
2012-09-23 - 2012-09-29,-59%,-73%
2012-09-30 - 2012-10-06,-59%,-73%
2012-10-07 - 2012-10-13,-59%,-72%
2012-10-14 - 2012-10-20,-60%,-73%
2012-10-21 - 2012-10-27,-59%,-73%
2012-10-28 - 2012-11-03,-60%,-76%
2012-11-04 - 2012-11-10,-59%,-74%
2012-11-11 - 2012-11-17,-60%,-73%
2012-11-18 - 2012-11-24,-61%,-76%
2012-11-25 - 2012-12-01,-60%,-74%
2012-12-02 - 2012-12-08,-60%,-77%
2012-12-09 - 2012-12-15,-60%,-73%
2012-12-16 - 2012-12-22,-62%,-77%
2012-12-23 - 2012-12-29,-69%,-77%
2012-12-30 - 2013-01-05,-68%,-79%
2013-01-06 - 2013-01-12,-61%,-76%
2013-01-13 - 2013-01-19,-59%,-74%
2013-01-20 - 2013-01-26,-59%,-74%
2013-01-27 - 2013-02-02,-60%,-74%
2013-02-03 - 2013-02-09,-60%,-76%
2013-02-10 - 2013-02-16,-61%,-76%
2013-02-17 - 2013-02-23,-60%,-74%
2013-02-24 - 2013-03-02,-60%,-74%
2013-03-03 - 2013-03-09,-59%,-76%
2013-03-10 - 2013-03-16,-60%,-74%
2013-03-17 - 2013-03-23,-59%,-74%
2013-03-24 - 2013-03-30,-62%,-77%
2013-03-31 - 2013-04-06,-61%,-77%
2013-04-07 - 2013-04-13,-60%,-76%
2013-04-14 - 2013-04-20,-60%,-78%
2013-04-21 - 2013-04-27,-60%,-76%
2013-04-28 - 2013-05-04,-64%,-80%
2013-05-05 - 2013-05-11,-62%,-78%
2013-05-12 - 2013-05-18,-60%,-78%
2013-05-19 - 2013-05-25,-61%,-78%
2013-05-26 - 2013-06-01,-62%,-79%
2013-06-02 - 2013-06-08,-60%,-78%
2013-06-09 - 2013-06-15,-61%,-79%
2013-06-16 - 2013-06-22,-61%,-79%
2013-06-23 - 2013-06-29,-61%,-78%
2013-06-30 - 2013-07-06,-62%,-79%
2013-07-07 - 2013-07-13,-62%,-79%
2013-07-14 - 2013-07-20,-64%,-77%
2013-07-21 - 2013-07-27,-64%,-79%
2013-07-28 - 2013-08-03,-64%,-79%
2013-08-04 - 2013-08-10,-65%,-80%
2013-08-11 - 2013-08-17,-64%,-79%
2013-08-18 - 2013-08-24,-64%,-78%
2013-08-25 - 2013-08-31,-62%,-78%
2013-09-01 - 2013-09-07,-62%,-78%
2013-09-08 - 2013-09-14,-61%,-77%
2013-09-15 - 2013-09-21,-62%,-78%
2013-09-22 - 2013-09-28,-61%,-77%
2013-09-29 - 2013-10-05,-61%,-76%
2013-10-06 - 2013-10-12,-60%,-76%
2013-10-13 - 2013-10-19,-60%,-76%
2013-10-20 - 2013-10-26,-61%,-78%
2013-10-27 - 2013-11-02,-62%,-78%
2013-11-03 - 2013-11-09,-61%,-76%
2013-11-10 - 2013-11-16,-60%,-77%
2013-11-17 - 2013-11-23,-60%,-77%
2013-11-24 - 2013-11-30,-62%,-77%
2013-12-01 - 2013-12-07,-62%,-79%
2013-12-08 - 2013-12-14,-61%,-78%
2013-12-15 - 2013-12-21,-64%,-79%
2013-12-22 - 2013-12-28,-69%,-79%
2013-12-29 - 2014-01-04,-70%,-81%
2014-01-05 - 2014-01-11,-64%,-78%
2014-01-12 - 2014-01-18,-61%,-78%
2014-01-19 - 2014-01-25,-61%,-76%
2014-01-26 - 2014-02-01,-62%,-72%
2014-02-02 - 2014-02-08,-64%,-72%
2014-02-09 - 2014-02-15,-61%,-76%
2014-02-16 - 2014-02-22,-61%,-77%
2014-02-23 - 2014-03-01,-61%,-77%
2014-03-02 - 2014-03-08,-61%,-78%
2014-03-09 - 2014-03-15,-60%,-79%
2014-03-16 - 2014-03-22,-62%,-79%
2014-03-23 - 2014-03-29,-61%,-79%
2014-03-30 - 2014-04-05,-61%,-79%
2014-04-06 - 2014-04-12,-61%,-80%
2014-04-13 - 2014-04-19,-62%,-79%
2014-04-20 - 2014-04-26,-61%,-80%
2014-04-27 - 2014-05-03,-64%,-80%
2014-05-04 - 2014-05-10,-61%,-81%
2014-05-11 - 2014-05-17,-61%,-80%
2014-05-18 - 2014-05-24,-62%,-80%
2014-05-25 - 2014-05-31,-65%,-81%
2014-06-01 - 2014-06-07,-62%,-80%
2014-06-08 - 2014-06-14,-64%,-81%
2014-06-15 - 2014-06-21,-64%,-80%
2014-06-22 - 2014-06-28,-64%,-81%
2014-06-29 - 2014-07-05,-66%,-80%
2014-07-06 - 2014-07-12,-65%,-81%
2014-07-13 - 2014-07-19,-64%,-82%
2014-07-20 - 2014-07-26,-64%,-82%
2014-07-27 - 2014-08-02,-66%,-82%
2014-08-03 - 2014-08-09,-62%,-81%
2014-08-10 - 2014-08-16, , 
2014-08-17 - 2014-08-23, , 
2014-08-24 - 2014-08-30, , 
2014-08-31 - 2014-09-06, , 


Top regions for visual c++
Region,visual c++
Philippines,100
China,99
South Korea,89
Taiwan,88
Romania,84
Pakistan,83
Czech Republic,83
Singapore,81
Russia,80
Sri Lanka,76
Belarus,74
Hong Kong,73
Tunisia,72
Bangladesh,70
Ukraine,69
Poland,69
Germany,68
India,68
Latvia,67
Estonia,67
Moldova,66
Japan,65
Israel,63
Hungary,61
Iran,58
Lithuania,58
Bulgaria,57
Kenya,57
Malaysia,57
Lebanon,54
Austria,52
Sweden,51
Slovakia,50
Portugal,50
Egypt,49
Vietnam,49
Jordan,46
South Africa,45
Slovenia,45
Serbia,45
Canada,45
Switzerland,45
Norway,44
Algeria,44
Guatemala,43
Thailand,43
Finland,43
United States,42
Greece,42
Indonesia,41
Morocco,41
France,41
Ecuador,41
Costa Rica,41
Mexico,40
Bosnia and Herzegovina,40
Kazakhstan,39
Croatia,38
Netherlands,38
Belgium,38
New Zealand,37
Italy,36
Bolivia,36
Peru,36
Australia,35
Denmark,35
Spain,35
Dominican Republic,33
United Kingdom,32
Colombia,32
Uruguay,30
Ireland,30
Brazil,30
Venezuela,29
Argentina,28
Chile,27
United Arab Emirates,26
Nigeria,26
Turkey,24
Saudi Arabia,17


Top cities for visual c++
City,visual c++
Beijing (China),100
Guangzhou (China),94
Bangalore (India),91
Shanghai (China),90
Singapore (Singapore),77
Moscow (Russia),76
Munich (Germany),66
Bucharest (Romania),64
Frankfurt (Germany),57
Warsaw (Poland),53
New Delhi (India),53
Mumbai (India),47
Ho Chi Minh City (Vietnam),46
Bangkok (Thailand),40
Mexico City (Mexico),40



Top searches for visual c++
microsoft c++ visual,100
microsoft c++,100
microsoft visual,100
c++ visual studio,55
visual studio,55
download visual c++,40
download c++,40
visual c++ 2010,35
visual c++ 2008,35
runtime,35
c++ runtime,35
runtime visual c++,35
visual c++ redistributable,35
c++ redistributable,35
visual c++ 2005,30
visual c++ express,30
c++ express,30
microsoft c++ redistributable,25
windows visual c++,20
visual c++ error,20
runtime library,20
visual c,15
runtime error c++,15
runtime error,15
visual basic c++,15
visual basic,15
visual c++ 6.0,10
visual studio 2010,10
microsoft visual studio,10
free visual c++,10
visual c++ tutorial,10
c++ tutorial,10
visual studio 2008,10
visual studio express,10
visual c++ .net,10
visual studio download,10
visual c++ 2012,10
visual c++ compiler,5
c++ compiler,5
visual c#,5
visual studio 2005,5
visual c++ programming,5
visual c++ 6,5
c++ programming,5
microsoft visual c,5
visual studio 2012,5
visual c++ 2013,5
visual studio tutorial,5
ms visual c++,5
visual c++ 下载,5



Rising searches for visual c++
visual c++ 2008,Breakout
visual c++ 2010,Breakout
visual c++ redistributable,Breakout
microsoft c++,+140%
microsoft visual,+140%
microsoft c++ visual,+130%
c++ visual studio,+120%
runtime,+100%
visual studio,+100%
c++ runtime,+80%



