Web Search interest: maven
Worldwide; 2004 - present

Interest over time
Week,maven
2007-02-04 - 2007-02-10,-28%,+77%
2007-02-11 - 2007-02-17,-30%,+94%
2007-02-18 - 2007-02-24,-32%,+100%
2007-02-25 - 2007-03-03,-32%,+90%
2007-03-04 - 2007-03-10,-30%,+97%
2007-03-11 - 2007-03-17,-28%,+90%
2007-03-18 - 2007-03-24,-30%,+103%
2007-03-25 - 2007-03-31,-31%,+87%
2007-04-01 - 2007-04-07,-32%,+110%
2007-04-08 - 2007-04-14,-33%,+84%
2007-04-15 - 2007-04-21,-31%,+110%
2007-04-22 - 2007-04-28,-32%,+90%
2007-04-29 - 2007-05-05,-36%,+65%
2007-05-06 - 2007-05-12,-32%,+81%
2007-05-13 - 2007-05-19,-31%,+94%
2007-05-20 - 2007-05-26,-31%,+126%
2007-05-27 - 2007-06-02,-30%,+81%
2007-06-03 - 2007-06-09,-30%,+106%
2007-06-10 - 2007-06-16,-33%,+90%
2007-06-17 - 2007-06-23,-33%,+103%
2007-06-24 - 2007-06-30,-32%,+110%
2007-07-01 - 2007-07-07,-33%,+94%
2007-07-08 - 2007-07-14,-33%,+103%
2007-07-15 - 2007-07-21,-34%,+103%
2007-07-22 - 2007-07-28,-35%,+97%
2007-07-29 - 2007-08-04,-36%,+103%
2007-08-05 - 2007-08-11,-35%,+84%
2007-08-12 - 2007-08-18,-39%,+97%
2007-08-19 - 2007-08-25,-36%,+90%
2007-08-26 - 2007-09-01,-36%,+90%
2007-09-02 - 2007-09-08,-36%,+68%
2007-09-09 - 2007-09-15,-36%,+84%
2007-09-16 - 2007-09-22,-35%,+100%
2007-09-23 - 2007-09-29,-35%,+90%
2007-09-30 - 2007-10-06,-36%,+116%
2007-10-07 - 2007-10-13,-34%,+106%
2007-10-14 - 2007-10-20,-34%,+110%
2007-10-21 - 2007-10-27,-34%,+119%
2007-10-28 - 2007-11-03,-34%,+106%
2007-11-04 - 2007-11-10,-35%,+103%
2007-11-11 - 2007-11-17,-34%,+126%
2007-11-18 - 2007-11-24,-31%,+139%
2007-11-25 - 2007-12-01,-26%,+135%
2007-12-02 - 2007-12-08,-30%,+139%
2007-12-09 - 2007-12-15,-37%,+106%
2007-12-16 - 2007-12-22,-40%,+106%
2007-12-23 - 2007-12-29,-50%,+6%
2007-12-30 - 2008-01-05,-51%,+45%
2008-01-06 - 2008-01-12,-40%,+74%
2008-01-13 - 2008-01-19,-41%,+74%
2008-01-20 - 2008-01-26,-40%,+94%
2008-01-27 - 2008-02-02,-41%,+94%
2008-02-03 - 2008-02-09,-41%,+100%
2008-02-10 - 2008-02-16,-41%,+113%
2008-02-17 - 2008-02-23,-37%,+81%
2008-02-24 - 2008-03-01,-37%,+97%
2008-03-02 - 2008-03-08,-40%,+87%
2008-03-09 - 2008-03-15,-39%,+90%
2008-03-16 - 2008-03-22,-41%,+74%
2008-03-23 - 2008-03-29,-42%,+94%
2008-03-30 - 2008-04-05,-40%,+97%
2008-04-06 - 2008-04-12,-39%,+94%
2008-04-13 - 2008-04-19,-39%,+103%
2008-04-20 - 2008-04-26,-37%,+100%
2008-04-27 - 2008-05-03,-44%,+81%
2008-05-04 - 2008-05-10,-42%,+110%
2008-05-11 - 2008-05-17,-41%,+90%
2008-05-18 - 2008-05-24,-41%,+90%
2008-05-25 - 2008-05-31,-41%,+87%
2008-06-01 - 2008-06-07,-43%,+100%
2008-06-08 - 2008-06-14,-42%,+94%
2008-06-15 - 2008-06-21,-41%,+106%
2008-06-22 - 2008-06-28,-43%,+103%
2008-06-29 - 2008-07-05,-42%,+110%
2008-07-06 - 2008-07-12,-42%,+110%
2008-07-13 - 2008-07-19,-42%,+116%
2008-07-20 - 2008-07-26,-44%,+97%
2008-07-27 - 2008-08-02,-44%,+103%
2008-08-03 - 2008-08-09,-45%,+97%
2008-08-10 - 2008-08-16,-47%,+87%
2008-08-17 - 2008-08-23,-45%,+97%
2008-08-24 - 2008-08-30,-44%,+94%
2008-08-31 - 2008-09-06,-45%,+94%
2008-09-07 - 2008-09-13,-43%,+94%
2008-09-14 - 2008-09-20,-44%,+106%
2008-09-21 - 2008-09-27,-42%,+100%
2008-09-28 - 2008-10-04,-47%,+100%
2008-10-05 - 2008-10-11,-44%,+103%
2008-10-12 - 2008-10-18,-43%,+94%
2008-10-19 - 2008-10-25,-43%,+110%
2008-10-26 - 2008-11-01,-43%,+106%
2008-11-02 - 2008-11-08,-43%,+97%
2008-11-09 - 2008-11-15,-43%,+116%
2008-11-16 - 2008-11-22,-43%,+106%
2008-11-23 - 2008-11-29,-47%,+97%
2008-11-30 - 2008-12-06,-43%,+94%
2008-12-07 - 2008-12-13,-45%,+103%
2008-12-14 - 2008-12-20,-48%,+103%
2008-12-21 - 2008-12-27,-53%,+39%
2008-12-28 - 2009-01-03,-58%,+13%
2009-01-04 - 2009-01-10,-43%,+77%
2009-01-11 - 2009-01-17,-41%,+97%
2009-01-18 - 2009-01-24,-44%,+94%
2009-01-25 - 2009-01-31,-47%,+106%
2009-02-01 - 2009-02-07,-44%,+126%
2009-02-08 - 2009-02-14,-44%,+100%
2009-02-15 - 2009-02-21,-42%,+106%
2009-02-22 - 2009-02-28,-43%,+106%
2009-03-01 - 2009-03-07,-43%,+119%
2009-03-08 - 2009-03-14,-43%,+110%
2009-03-15 - 2009-03-21,-43%,+116%
2009-03-22 - 2009-03-28,-43%,+113%
2009-03-29 - 2009-04-04,-43%,+119%
2009-04-05 - 2009-04-11,-45%,+110%
2009-04-12 - 2009-04-18,-44%,+97%
2009-04-19 - 2009-04-25,-44%,+126%
2009-04-26 - 2009-05-02,-47%,+84%
2009-05-03 - 2009-05-09,-45%,+110%
2009-05-10 - 2009-05-16,-43%,+126%
2009-05-17 - 2009-05-23,-44%,+103%
2009-05-24 - 2009-05-30,-48%,+100%
2009-05-31 - 2009-06-06,-45%,+97%
2009-06-07 - 2009-06-13,-45%,+113%
2009-06-14 - 2009-06-20,-45%,+106%
2009-06-21 - 2009-06-27,-48%,+103%
2009-06-28 - 2009-07-04,-50%,+113%
2009-07-05 - 2009-07-11,-48%,+119%
2009-07-12 - 2009-07-18,-47%,+132%
2009-07-19 - 2009-07-25,-49%,+119%
2009-07-26 - 2009-08-01,-48%,+129%
2009-08-02 - 2009-08-08,-48%,+126%
2009-08-09 - 2009-08-15,-49%,+123%
2009-08-16 - 2009-08-22,-47%,+116%
2009-08-23 - 2009-08-29,-48%,+119%
2009-08-30 - 2009-09-05,-47%,+110%
2009-09-06 - 2009-09-12,-48%,+103%
2009-09-13 - 2009-09-19,-48%,+119%
2009-09-20 - 2009-09-26,-49%,+110%
2009-09-27 - 2009-10-03,-50%,+87%
2009-10-04 - 2009-10-10,-47%,+87%
2009-10-11 - 2009-10-17,-48%,+106%
2009-10-18 - 2009-10-24,-40%,+97%
2009-10-25 - 2009-10-31,-40%,+123%
2009-11-01 - 2009-11-07,-43%,+110%
2009-11-08 - 2009-11-14,-44%,+97%
2009-11-15 - 2009-11-21,-44%,+100%
2009-11-22 - 2009-11-28,-47%,+81%
2009-11-29 - 2009-12-05,-48%,+97%
2009-12-06 - 2009-12-12,-47%,+100%
2009-12-13 - 2009-12-19,-49%,+116%
2009-12-20 - 2009-12-26,-53%,+52%
2009-12-27 - 2010-01-02,-58%,+19%
2010-01-03 - 2010-01-09,-52%,+87%
2010-01-10 - 2010-01-16,-49%,+94%
2010-01-17 - 2010-01-23,-48%,+103%
2010-01-24 - 2010-01-30,-48%,+97%
2010-01-31 - 2010-02-06,-48%,+97%
2010-02-07 - 2010-02-13,-49%,+103%
2010-02-14 - 2010-02-20,-49%,+116%
2010-02-21 - 2010-02-27,-47%,+110%
2010-02-28 - 2010-03-06,-47%,+106%
2010-03-07 - 2010-03-13,-48%,+103%
2010-03-14 - 2010-03-20,-49%,+106%
2010-03-21 - 2010-03-27,-48%,+100%
2010-03-28 - 2010-04-03,-50%,+103%
2010-04-04 - 2010-04-10,-49%,+110%
2010-04-11 - 2010-04-17,-47%,+113%
2010-04-18 - 2010-04-24,-48%,+123%
2010-04-25 - 2010-05-01,-49%,+113%
2010-05-02 - 2010-05-08,-50%,+123%
2010-05-09 - 2010-05-15,-48%,+103%
2010-05-16 - 2010-05-22,-48%,+110%
2010-05-23 - 2010-05-29,-51%,+97%
2010-05-30 - 2010-06-05,-49%,+100%
2010-06-06 - 2010-06-12,-49%,+113%
2010-06-13 - 2010-06-19,-50%,+113%
2010-06-20 - 2010-06-26,-50%,+103%
2010-06-27 - 2010-07-03,-53%,+81%
2010-07-04 - 2010-07-10,-55%,+94%
2010-07-11 - 2010-07-17,-55%,+100%
2010-07-18 - 2010-07-24,-52%,+110%
2010-07-25 - 2010-07-31,-53%,+100%
2010-08-01 - 2010-08-07,-53%,+103%
2010-08-08 - 2010-08-14,-53%,+116%
2010-08-15 - 2010-08-21,-53%,+106%
2010-08-22 - 2010-08-28,-53%,+106%
2010-08-29 - 2010-09-04,-53%,+97%
2010-09-05 - 2010-09-11,-53%,+113%
2010-09-12 - 2010-09-18,-53%,+106%
2010-09-19 - 2010-09-25,-53%,+97%
2010-09-26 - 2010-10-02,-51%,+100%
2010-10-03 - 2010-10-09,-51%,+116%
2010-10-10 - 2010-10-16,-51%,+126%
2010-10-17 - 2010-10-23,-51%,+110%
2010-10-24 - 2010-10-30,-51%,+106%
2010-10-31 - 2010-11-06,-53%,+106%
2010-11-07 - 2010-11-13,-52%,+116%
2010-11-14 - 2010-11-20,-52%,+123%
2010-11-21 - 2010-11-27,-53%,+90%
2010-11-28 - 2010-12-04,-55%,+97%
2010-12-05 - 2010-12-11,-53%,+103%
2010-12-12 - 2010-12-18,-53%,+106%
2010-12-19 - 2010-12-25,-58%,+84%
2010-12-26 - 2011-01-01,-61%,+32%
2011-01-02 - 2011-01-08,-57%,+84%
2011-01-09 - 2011-01-15,-55%,+103%
2011-01-16 - 2011-01-22,-52%,+113%
2011-01-23 - 2011-01-29,-53%,+106%
2011-01-30 - 2011-02-05,-56%,+106%
2011-02-06 - 2011-02-12,-52%,+123%
2011-02-13 - 2011-02-19,-53%,+103%
2011-02-20 - 2011-02-26,-55%,+113%
2011-02-27 - 2011-03-05,-53%,+113%
2011-03-06 - 2011-03-12,-55%,+119%
2011-03-13 - 2011-03-19,-55%,+116%
2011-03-20 - 2011-03-26,-55%,+135%
2011-03-27 - 2011-04-02,-53%,+113%
2011-04-03 - 2011-04-09,-53%,+129%
2011-04-10 - 2011-04-16,-51%,+129%
2011-04-17 - 2011-04-23,-55%,+113%
2011-04-24 - 2011-04-30,-56%,+90%
2011-05-01 - 2011-05-07,-57%,+100%
2011-05-08 - 2011-05-14,-55%,+126%
2011-05-15 - 2011-05-21,-55%,+116%
2011-05-22 - 2011-05-28,-53%,+116%
2011-05-29 - 2011-06-04,-56%,+100%
2011-06-05 - 2011-06-11,-56%,+103%
2011-06-12 - 2011-06-18,-55%,+110%
2011-06-19 - 2011-06-25,-55%,+123%
2011-06-26 - 2011-07-02,-57%,+119%
2011-07-03 - 2011-07-09,-58%,+113%
2011-07-10 - 2011-07-16,-56%,+110%
2011-07-17 - 2011-07-23,-57%,+100%
2011-07-24 - 2011-07-30,-56%,+106%
2011-07-31 - 2011-08-06,-58%,+113%
2011-08-07 - 2011-08-13,-57%,+113%
2011-08-14 - 2011-08-20,-58%,+110%
2011-08-21 - 2011-08-27,-57%,+103%
2011-08-28 - 2011-09-03,-58%,+97%
2011-09-04 - 2011-09-10,-59%,+103%
2011-09-11 - 2011-09-17,-55%,+110%
2011-09-18 - 2011-09-24,-56%,+100%
2011-09-25 - 2011-10-01,-56%,+106%
2011-10-02 - 2011-10-08,-58%,+103%
2011-10-09 - 2011-10-15,-56%,+103%
2011-10-16 - 2011-10-22,-55%,+106%
2011-10-23 - 2011-10-29,-56%,+103%
2011-10-30 - 2011-11-05,-57%,+100%
2011-11-06 - 2011-11-12,-56%,+116%
2011-11-13 - 2011-11-19,-57%,+113%
2011-11-20 - 2011-11-26,-57%,+97%
2011-11-27 - 2011-12-03,-57%,+110%
2011-12-04 - 2011-12-10,-57%,+113%
2011-12-11 - 2011-12-17,-56%,+116%
2011-12-18 - 2011-12-24,-60%,+94%
2011-12-25 - 2011-12-31,-65%,+32%
2012-01-01 - 2012-01-07,-61%,+90%
2012-01-08 - 2012-01-14,-59%,+106%
2012-01-15 - 2012-01-21,-59%,+103%
2012-01-22 - 2012-01-28,-59%,+100%
2012-01-29 - 2012-02-04,-58%,+106%
2012-02-05 - 2012-02-11,-58%,+110%
2012-02-12 - 2012-02-18,-57%,+116%
2012-02-19 - 2012-02-25,-57%,+110%
2012-02-26 - 2012-03-03,-58%,+126%
2012-03-04 - 2012-03-10,-57%,+123%
2012-03-11 - 2012-03-17,-57%,+119%
2012-03-18 - 2012-03-24,-58%,+123%
2012-03-25 - 2012-03-31,-57%,+116%
2012-04-01 - 2012-04-07,-59%,+113%
2012-04-08 - 2012-04-14,-58%,+103%
2012-04-15 - 2012-04-21,-57%,+113%
2012-04-22 - 2012-04-28,-58%,+123%
2012-04-29 - 2012-05-05,-60%,+103%
2012-05-06 - 2012-05-12,-58%,+113%
2012-05-13 - 2012-05-19,-58%,+97%
2012-05-20 - 2012-05-26,-56%,+123%
2012-05-27 - 2012-06-02,-59%,+110%
2012-06-03 - 2012-06-09,-58%,+110%
2012-06-10 - 2012-06-16,-59%,+123%
2012-06-17 - 2012-06-23,-59%,+135%
2012-06-24 - 2012-06-30,-59%,+113%
2012-07-01 - 2012-07-07,-61%,+119%
2012-07-08 - 2012-07-14,-60%,+116%
2012-07-15 - 2012-07-21,-61%,+116%
2012-07-22 - 2012-07-28,-60%,+113%
2012-07-29 - 2012-08-04,-61%,+106%
2012-08-05 - 2012-08-11,-60%,+119%
2012-08-12 - 2012-08-18,-62%,+123%
2012-08-19 - 2012-08-25,-60%,+119%
2012-08-26 - 2012-09-01,-60%,+110%
2012-09-02 - 2012-09-08,-59%,+106%
2012-09-09 - 2012-09-15,-58%,+123%
2012-09-16 - 2012-09-22,-58%,+123%
2012-09-23 - 2012-09-29,-59%,+119%
2012-09-30 - 2012-10-06,-59%,+110%
2012-10-07 - 2012-10-13,-59%,+113%
2012-10-14 - 2012-10-20,-60%,+123%
2012-10-21 - 2012-10-27,-59%,+126%
2012-10-28 - 2012-11-03,-60%,+103%
2012-11-04 - 2012-11-10,-59%,+113%
2012-11-11 - 2012-11-17,-60%,+116%
2012-11-18 - 2012-11-24,-61%,+97%
2012-11-25 - 2012-12-01,-60%,+113%
2012-12-02 - 2012-12-08,-60%,+106%
2012-12-09 - 2012-12-15,-60%,+106%
2012-12-16 - 2012-12-22,-62%,+106%
2012-12-23 - 2012-12-29,-69%,+35%
2012-12-30 - 2013-01-05,-68%,+55%
2013-01-06 - 2013-01-12,-61%,+103%
2013-01-13 - 2013-01-19,-59%,+113%
2013-01-20 - 2013-01-26,-59%,+116%
2013-01-27 - 2013-02-02,-60%,+116%
2013-02-03 - 2013-02-09,-60%,+116%
2013-02-10 - 2013-02-16,-61%,+113%
2013-02-17 - 2013-02-23,-60%,+113%
2013-02-24 - 2013-03-02,-60%,+123%
2013-03-03 - 2013-03-09,-59%,+126%
2013-03-10 - 2013-03-16,-60%,+126%
2013-03-17 - 2013-03-23,-59%,+126%
2013-03-24 - 2013-03-30,-62%,+106%
2013-03-31 - 2013-04-06,-61%,+103%
2013-04-07 - 2013-04-13,-60%,+123%
2013-04-14 - 2013-04-20,-60%,+129%
2013-04-21 - 2013-04-27,-60%,+132%
2013-04-28 - 2013-05-04,-64%,+110%
2013-05-05 - 2013-05-11,-62%,+103%
2013-05-12 - 2013-05-18,-60%,+126%
2013-05-19 - 2013-05-25,-61%,+123%
2013-05-26 - 2013-06-01,-62%,+110%
2013-06-02 - 2013-06-08,-60%,+126%
2013-06-09 - 2013-06-15,-61%,+110%
2013-06-16 - 2013-06-22,-61%,+123%
2013-06-23 - 2013-06-29,-61%,+116%
2013-06-30 - 2013-07-06,-62%,+119%
2013-07-07 - 2013-07-13,-62%,+123%
2013-07-14 - 2013-07-20,-64%,+139%
2013-07-21 - 2013-07-27,-64%,+129%
2013-07-28 - 2013-08-03,-64%,+123%
2013-08-04 - 2013-08-10,-65%,+123%
2013-08-11 - 2013-08-17,-64%,+116%
2013-08-18 - 2013-08-24,-64%,+113%
2013-08-25 - 2013-08-31,-62%,+126%
2013-09-01 - 2013-09-07,-62%,+119%
2013-09-08 - 2013-09-14,-61%,+116%
2013-09-15 - 2013-09-21,-62%,+119%
2013-09-22 - 2013-09-28,-61%,+129%
2013-09-29 - 2013-10-05,-61%,+119%
2013-10-06 - 2013-10-12,-60%,+135%
2013-10-13 - 2013-10-19,-60%,+132%
2013-10-20 - 2013-10-26,-61%,+135%
2013-10-27 - 2013-11-02,-62%,+116%
2013-11-03 - 2013-11-09,-61%,+142%
2013-11-10 - 2013-11-16,-60%,+148%
2013-11-17 - 2013-11-23,-60%,+223%
2013-11-24 - 2013-11-30,-62%,+132%
2013-12-01 - 2013-12-07,-62%,+132%
2013-12-08 - 2013-12-14,-61%,+135%
2013-12-15 - 2013-12-21,-64%,+129%
2013-12-22 - 2013-12-28,-69%,+42%
2013-12-29 - 2014-01-04,-70%,+52%
2014-01-05 - 2014-01-11,-64%,+132%
2014-01-12 - 2014-01-18,-61%,+135%
2014-01-19 - 2014-01-25,-61%,+132%
2014-01-26 - 2014-02-01,-62%,+129%
2014-02-02 - 2014-02-08,-64%,+119%
2014-02-09 - 2014-02-15,-61%,+135%
2014-02-16 - 2014-02-22,-61%,+152%
2014-02-23 - 2014-03-01,-61%,+148%
2014-03-02 - 2014-03-08,-61%,+148%
2014-03-09 - 2014-03-15,-60%,+145%
2014-03-16 - 2014-03-22,-62%,+158%
2014-03-23 - 2014-03-29,-61%,+155%
2014-03-30 - 2014-04-05,-61%,+155%
2014-04-06 - 2014-04-12,-61%,+148%
2014-04-13 - 2014-04-19,-62%,+139%
2014-04-20 - 2014-04-26,-61%,+132%
2014-04-27 - 2014-05-03,-64%,+126%
2014-05-04 - 2014-05-10,-61%,+142%
2014-05-11 - 2014-05-17,-61%,+142%
2014-05-18 - 2014-05-24,-62%,+145%
2014-05-25 - 2014-05-31,-65%,+113%
2014-06-01 - 2014-06-07,-62%,+129%
2014-06-08 - 2014-06-14,-64%,+126%
2014-06-15 - 2014-06-21,-64%,+135%
2014-06-22 - 2014-06-28,-64%,+139%
2014-06-29 - 2014-07-05,-66%,+132%
2014-07-06 - 2014-07-12,-65%,+126%
2014-07-13 - 2014-07-19,-64%,+129%
2014-07-20 - 2014-07-26,-64%,+139%
2014-07-27 - 2014-08-02,-66%,+126%
2014-08-03 - 2014-08-09,-62%,+165%
2014-08-10 - 2014-08-16, , 
2014-08-17 - 2014-08-23, , 
2014-08-24 - 2014-08-30, , 
2014-08-31 - 2014-09-06, , 


Top regions for maven
Region,maven
Belarus,100
Luxembourg,97
South Korea,88
Norway,74
Sri Lanka,72
Switzerland,71
China,69
India,67
Hong Kong,65
Czech Republic,65
Estonia,53
Germany,53
Sweden,52
Finland,48
Austria,48
United States,47
Belgium,46
Singapore,45
Ukraine,44
Ireland,41
France,40
Tunisia,40
Russia,38
Israel,37
Netherlands,35
Denmark,35
South Africa,33
Slovakia,33
Poland,32
Latvia,32
New Zealand,32
Australia,31
United Kingdom,31
Hungary,30
Canada,29
Spain,27
Romania,24
Taiwan,22
Bulgaria,22
Uruguay,22
Slovenia,21
Lithuania,21
Serbia,20
Argentina,20
Morocco,20
Portugal,20
Brazil,18
Philippines,17
Italy,17
Japan,16
Greece,16
Croatia,13
Malaysia,12
Ecuador,11
United Arab Emirates,10
Mexico,10
Vietnam,9
Iran,9
Peru,8
Colombia,8
Pakistan,7
Chile,7
Indonesia,6
Turkey,5
Egypt,4
Thailand,4


Top cities for maven
City,maven
Bangalore (India),100
San Jose (United States),79
Minsk (Belarus),72
Seoul (South Korea),72
Hyderabad (India),70
Beijing (China),70
Oslo (Norway),65
Shanghai (China),57
Chennai (India),51
Munich (Germany),48
Prague (Czech Republic),46
Stockholm (Sweden),45
San Francisco (United States),45
Berlin (Germany),35
Paris (France),35



Top searches for maven
maven plugin,100
maven repository,70
maven java,60
maven eclipse,55
maven dependency,50
maven project,40
download maven,35
maven pom,35
spring maven,30
maven build,30
maven test,30
apache maven,25
install maven,20
mvn,20
maven repo,20
maven tutorial,15
maven war,15
hibernate,15
hibernate maven,15
maven deploy,15
maven 2,15
maven eclipse plugin,15
maven junit,15
junit,15
maven archetype,15
maven 3,10
jetty,10
maven jetty,10
maven release,10
nexus maven,10
maven assembly,10
maven central,10
maven module,10
intellij,10
maven scope,10
maven dependency plugin,10
gwt maven,10
maven settings.xml,10
gwt,10
maven profile,5
maven surefire,5
maven jar plugin,5
gradle,5
maven site,5
maven lifecycle,5
maven proxy,5
maven javadoc,5
maven plugins,5
maven search,5



Rising searches for maven
install maven,Breakout
spring maven,Breakout
maven pom,+600%
maven dependency,+450%
maven repository,+300%
maven eclipse,+200%
maven project,+200%
maven build,+170%
maven test,+170%
maven plugin,+110%



