Web Search interest: winapi
Worldwide; 2004 - present

Interest over time
Week,winapi
2007-02-04 - 2007-02-10,-28%,-58%
2007-02-11 - 2007-02-17,-30%,-62%
2007-02-18 - 2007-02-24,-32%,-55%
2007-02-25 - 2007-03-03,-32%,-57%
2007-03-04 - 2007-03-10,-30%,-55%
2007-03-11 - 2007-03-17,-28%,-55%
2007-03-18 - 2007-03-24,-30%,-46%
2007-03-25 - 2007-03-31,-31%,-38%
2007-04-01 - 2007-04-07,-32%,-34%
2007-04-08 - 2007-04-14,-33%,-55%
2007-04-15 - 2007-04-21,-31%,-46%
2007-04-22 - 2007-04-28,-32%,-50%
2007-04-29 - 2007-05-05,-36%,-74%
2007-05-06 - 2007-05-12,-32%,-61%
2007-05-13 - 2007-05-19,-31%,-54%
2007-05-20 - 2007-05-26,-31%,-46%
2007-05-27 - 2007-06-02,-30%,-55%
2007-06-03 - 2007-06-09,-30%,-51%
2007-06-10 - 2007-06-16,-33%,-47%
2007-06-17 - 2007-06-23,-33%,-49%
2007-06-24 - 2007-06-30,-32%,-39%
2007-07-01 - 2007-07-07,-33%,-69%
2007-07-08 - 2007-07-14,-33%,-76%
2007-07-15 - 2007-07-21,-34%,-55%
2007-07-22 - 2007-07-28,-35%,-61%
2007-07-29 - 2007-08-04,-36%,-77%
2007-08-05 - 2007-08-11,-35%,-57%
2007-08-12 - 2007-08-18,-39%,-66%
2007-08-19 - 2007-08-25,-36%,-61%
2007-08-26 - 2007-09-01,-36%,-68%
2007-09-02 - 2007-09-08,-36%,-58%
2007-09-09 - 2007-09-15,-36%,-73%
2007-09-16 - 2007-09-22,-35%,-72%
2007-09-23 - 2007-09-29,-35%,-61%
2007-09-30 - 2007-10-06,-36%,-68%
2007-10-07 - 2007-10-13,-34%,-62%
2007-10-14 - 2007-10-20,-34%,-64%
2007-10-21 - 2007-10-27,-34%,-65%
2007-10-28 - 2007-11-03,-34%,-57%
2007-11-04 - 2007-11-10,-35%,-62%
2007-11-11 - 2007-11-17,-34%,-64%
2007-11-18 - 2007-11-24,-31%,-35%
2007-11-25 - 2007-12-01,-26%,-55%
2007-12-02 - 2007-12-08,-30%,-49%
2007-12-09 - 2007-12-15,-37%,-62%
2007-12-16 - 2007-12-22,-40%,-57%
2007-12-23 - 2007-12-29,-50%,-45%
2007-12-30 - 2008-01-05,-51%,-68%
2008-01-06 - 2008-01-12,-40%,-61%
2008-01-13 - 2008-01-19,-41%,-66%
2008-01-20 - 2008-01-26,-40%,-59%
2008-01-27 - 2008-02-02,-41%,-74%
2008-02-03 - 2008-02-09,-41%,-66%
2008-02-10 - 2008-02-16,-41%,-76%
2008-02-17 - 2008-02-23,-37%,-69%
2008-02-24 - 2008-03-01,-37%,-61%
2008-03-02 - 2008-03-08,-40%,-62%
2008-03-09 - 2008-03-15,-39%,-55%
2008-03-16 - 2008-03-22,-41%,-68%
2008-03-23 - 2008-03-29,-42%,-65%
2008-03-30 - 2008-04-05,-40%,-59%
2008-04-06 - 2008-04-12,-39%,-69%
2008-04-13 - 2008-04-19,-39%,-66%
2008-04-20 - 2008-04-26,-37%,-59%
2008-04-27 - 2008-05-03,-44%,-64%
2008-05-04 - 2008-05-10,-42%,-54%
2008-05-11 - 2008-05-17,-41%,-59%
2008-05-18 - 2008-05-24,-41%,-58%
2008-05-25 - 2008-05-31,-41%,-73%
2008-06-01 - 2008-06-07,-43%,-65%
2008-06-08 - 2008-06-14,-42%,-73%
2008-06-15 - 2008-06-21,-41%,-62%
2008-06-22 - 2008-06-28,-43%,-69%
2008-06-29 - 2008-07-05,-42%,-76%
2008-07-06 - 2008-07-12,-42%,-74%
2008-07-13 - 2008-07-19,-42%,-73%
2008-07-20 - 2008-07-26,-44%,-72%
2008-07-27 - 2008-08-02,-44%,-74%
2008-08-03 - 2008-08-09,-45%,-61%
2008-08-10 - 2008-08-16,-47%,-68%
2008-08-17 - 2008-08-23,-45%,-64%
2008-08-24 - 2008-08-30,-44%,-69%
2008-08-31 - 2008-09-06,-45%,-50%
2008-09-07 - 2008-09-13,-43%,-65%
2008-09-14 - 2008-09-20,-44%,-50%
2008-09-21 - 2008-09-27,-42%,-66%
2008-09-28 - 2008-10-04,-47%,-74%
2008-10-05 - 2008-10-11,-44%,-76%
2008-10-12 - 2008-10-18,-43%,-70%
2008-10-19 - 2008-10-25,-43%,-62%
2008-10-26 - 2008-11-01,-43%,-66%
2008-11-02 - 2008-11-08,-43%,-74%
2008-11-09 - 2008-11-15,-43%,-58%
2008-11-16 - 2008-11-22,-43%,-69%
2008-11-23 - 2008-11-29,-47%,-64%
2008-11-30 - 2008-12-06,-43%,-59%
2008-12-07 - 2008-12-13,-45%,-59%
2008-12-14 - 2008-12-20,-48%,-76%
2008-12-21 - 2008-12-27,-53%,-72%
2008-12-28 - 2009-01-03,-58%,-70%
2009-01-04 - 2009-01-10,-43%,-58%
2009-01-11 - 2009-01-17,-41%,-69%
2009-01-18 - 2009-01-24,-44%,-78%
2009-01-25 - 2009-01-31,-47%,-80%
2009-02-01 - 2009-02-07,-44%,-76%
2009-02-08 - 2009-02-14,-44%,-72%
2009-02-15 - 2009-02-21,-42%,-70%
2009-02-22 - 2009-02-28,-43%,-69%
2009-03-01 - 2009-03-07,-43%,-68%
2009-03-08 - 2009-03-14,-43%,-73%
2009-03-15 - 2009-03-21,-43%,-74%
2009-03-22 - 2009-03-28,-43%,-62%
2009-03-29 - 2009-04-04,-43%,-74%
2009-04-05 - 2009-04-11,-45%,-69%
2009-04-12 - 2009-04-18,-44%,-69%
2009-04-19 - 2009-04-25,-44%,-65%
2009-04-26 - 2009-05-02,-47%,-78%
2009-05-03 - 2009-05-09,-45%,-73%
2009-05-10 - 2009-05-16,-43%,-70%
2009-05-17 - 2009-05-23,-44%,-68%
2009-05-24 - 2009-05-30,-48%,-59%
2009-05-31 - 2009-06-06,-45%,-73%
2009-06-07 - 2009-06-13,-45%,-69%
2009-06-14 - 2009-06-20,-45%,-70%
2009-06-21 - 2009-06-27,-48%,-68%
2009-06-28 - 2009-07-04,-50%,-68%
2009-07-05 - 2009-07-11,-48%,-65%
2009-07-12 - 2009-07-18,-47%,-73%
2009-07-19 - 2009-07-25,-49%,-72%
2009-07-26 - 2009-08-01,-48%,-76%
2009-08-02 - 2009-08-08,-48%,-73%
2009-08-09 - 2009-08-15,-49%,-81%
2009-08-16 - 2009-08-22,-47%,-73%
2009-08-23 - 2009-08-29,-48%,-73%
2009-08-30 - 2009-09-05,-47%,-82%
2009-09-06 - 2009-09-12,-48%,-78%
2009-09-13 - 2009-09-19,-48%,-77%
2009-09-20 - 2009-09-26,-49%,-81%
2009-09-27 - 2009-10-03,-50%,-78%
2009-10-04 - 2009-10-10,-47%,-65%
2009-10-11 - 2009-10-17,-48%,-76%
2009-10-18 - 2009-10-24,-40%,-66%
2009-10-25 - 2009-10-31,-40%,-65%
2009-11-01 - 2009-11-07,-43%,-72%
2009-11-08 - 2009-11-14,-44%,-76%
2009-11-15 - 2009-11-21,-44%,-74%
2009-11-22 - 2009-11-28,-47%,-74%
2009-11-29 - 2009-12-05,-48%,-68%
2009-12-06 - 2009-12-12,-47%,-77%
2009-12-13 - 2009-12-19,-49%,-72%
2009-12-20 - 2009-12-26,-53%,-72%
2009-12-27 - 2010-01-02,-58%,-86%
2010-01-03 - 2010-01-09,-52%,-74%
2010-01-10 - 2010-01-16,-49%,-78%
2010-01-17 - 2010-01-23,-48%,-76%
2010-01-24 - 2010-01-30,-48%,-74%
2010-01-31 - 2010-02-06,-48%,-76%
2010-02-07 - 2010-02-13,-49%,-84%
2010-02-14 - 2010-02-20,-49%,-77%
2010-02-21 - 2010-02-27,-47%,-76%
2010-02-28 - 2010-03-06,-47%,-76%
2010-03-07 - 2010-03-13,-48%,-72%
2010-03-14 - 2010-03-20,-49%,-73%
2010-03-21 - 2010-03-27,-48%,-73%
2010-03-28 - 2010-04-03,-50%,-74%
2010-04-04 - 2010-04-10,-49%,-69%
2010-04-11 - 2010-04-17,-47%,-73%
2010-04-18 - 2010-04-24,-48%,-81%
2010-04-25 - 2010-05-01,-49%,-74%
2010-05-02 - 2010-05-08,-50%,-73%
2010-05-09 - 2010-05-15,-48%,-68%
2010-05-16 - 2010-05-22,-48%,-76%
2010-05-23 - 2010-05-29,-51%,-74%
2010-05-30 - 2010-06-05,-49%,-69%
2010-06-06 - 2010-06-12,-49%,-76%
2010-06-13 - 2010-06-19,-50%,-77%
2010-06-20 - 2010-06-26,-50%,-76%
2010-06-27 - 2010-07-03,-53%,-77%
2010-07-04 - 2010-07-10,-55%,-70%
2010-07-11 - 2010-07-17,-55%,-78%
2010-07-18 - 2010-07-24,-52%,-76%
2010-07-25 - 2010-07-31,-53%,-76%
2010-08-01 - 2010-08-07,-53%,-78%
2010-08-08 - 2010-08-14,-53%,-80%
2010-08-15 - 2010-08-21,-53%,-81%
2010-08-22 - 2010-08-28,-53%,-81%
2010-08-29 - 2010-09-04,-53%,-80%
2010-09-05 - 2010-09-11,-53%,-78%
2010-09-12 - 2010-09-18,-53%,-72%
2010-09-19 - 2010-09-25,-53%,-84%
2010-09-26 - 2010-10-02,-51%,-78%
2010-10-03 - 2010-10-09,-51%,-76%
2010-10-10 - 2010-10-16,-51%,-77%
2010-10-17 - 2010-10-23,-51%,-77%
2010-10-24 - 2010-10-30,-51%,-77%
2010-10-31 - 2010-11-06,-53%,-73%
2010-11-07 - 2010-11-13,-52%,-77%
2010-11-14 - 2010-11-20,-52%,-82%
2010-11-21 - 2010-11-27,-53%,-74%
2010-11-28 - 2010-12-04,-55%,-74%
2010-12-05 - 2010-12-11,-53%,-76%
2010-12-12 - 2010-12-18,-53%,-84%
2010-12-19 - 2010-12-25,-58%,-80%
2010-12-26 - 2011-01-01,-61%,-82%
2011-01-02 - 2011-01-08,-57%,-80%
2011-01-09 - 2011-01-15,-55%,-76%
2011-01-16 - 2011-01-22,-52%,-81%
2011-01-23 - 2011-01-29,-53%,-86%
2011-01-30 - 2011-02-05,-56%,-84%
2011-02-06 - 2011-02-12,-52%,-76%
2011-02-13 - 2011-02-19,-53%,-78%
2011-02-20 - 2011-02-26,-55%,-78%
2011-02-27 - 2011-03-05,-53%,-76%
2011-03-06 - 2011-03-12,-55%,-80%
2011-03-13 - 2011-03-19,-55%,-85%
2011-03-20 - 2011-03-26,-55%,-77%
2011-03-27 - 2011-04-02,-53%,-81%
2011-04-03 - 2011-04-09,-53%,-76%
2011-04-10 - 2011-04-16,-51%,-74%
2011-04-17 - 2011-04-23,-55%,-78%
2011-04-24 - 2011-04-30,-56%,-81%
2011-05-01 - 2011-05-07,-57%,-84%
2011-05-08 - 2011-05-14,-55%,-78%
2011-05-15 - 2011-05-21,-55%,-74%
2011-05-22 - 2011-05-28,-53%,-81%
2011-05-29 - 2011-06-04,-56%,-82%
2011-06-05 - 2011-06-11,-56%,-80%
2011-06-12 - 2011-06-18,-55%,-81%
2011-06-19 - 2011-06-25,-55%,-86%
2011-06-26 - 2011-07-02,-57%,-82%
2011-07-03 - 2011-07-09,-58%,-82%
2011-07-10 - 2011-07-16,-56%,-73%
2011-07-17 - 2011-07-23,-57%,-82%
2011-07-24 - 2011-07-30,-56%,-84%
2011-07-31 - 2011-08-06,-58%,-84%
2011-08-07 - 2011-08-13,-57%,-86%
2011-08-14 - 2011-08-20,-58%,-85%
2011-08-21 - 2011-08-27,-57%,-85%
2011-08-28 - 2011-09-03,-58%,-85%
2011-09-04 - 2011-09-10,-59%,-85%
2011-09-11 - 2011-09-17,-55%,-81%
2011-09-18 - 2011-09-24,-56%,-85%
2011-09-25 - 2011-10-01,-56%,-86%
2011-10-02 - 2011-10-08,-58%,-82%
2011-10-09 - 2011-10-15,-56%,-85%
2011-10-16 - 2011-10-22,-55%,-77%
2011-10-23 - 2011-10-29,-56%,-81%
2011-10-30 - 2011-11-05,-57%,-82%
2011-11-06 - 2011-11-12,-56%,-80%
2011-11-13 - 2011-11-19,-57%,-80%
2011-11-20 - 2011-11-26,-57%,-80%
2011-11-27 - 2011-12-03,-57%,-81%
2011-12-04 - 2011-12-10,-57%,-81%
2011-12-11 - 2011-12-17,-56%,-85%
2011-12-18 - 2011-12-24,-60%,-84%
2011-12-25 - 2011-12-31,-65%,-88%
2012-01-01 - 2012-01-07,-61%,-88%
2012-01-08 - 2012-01-14,-59%,-84%
2012-01-15 - 2012-01-21,-59%,-85%
2012-01-22 - 2012-01-28,-59%,-86%
2012-01-29 - 2012-02-04,-58%,-84%
2012-02-05 - 2012-02-11,-58%,-81%
2012-02-12 - 2012-02-18,-57%,-81%
2012-02-19 - 2012-02-25,-57%,-82%
2012-02-26 - 2012-03-03,-58%,-77%
2012-03-04 - 2012-03-10,-57%,-81%
2012-03-11 - 2012-03-17,-57%,-82%
2012-03-18 - 2012-03-24,-58%,-81%
2012-03-25 - 2012-03-31,-57%,-82%
2012-04-01 - 2012-04-07,-59%,-80%
2012-04-08 - 2012-04-14,-58%,-84%
2012-04-15 - 2012-04-21,-57%,-81%
2012-04-22 - 2012-04-28,-58%,-82%
2012-04-29 - 2012-05-05,-60%,-86%
2012-05-06 - 2012-05-12,-58%,-78%
2012-05-13 - 2012-05-19,-58%,-78%
2012-05-20 - 2012-05-26,-56%,-85%
2012-05-27 - 2012-06-02,-59%,-82%
2012-06-03 - 2012-06-09,-58%,-85%
2012-06-10 - 2012-06-16,-59%,-85%
2012-06-17 - 2012-06-23,-59%,-86%
2012-06-24 - 2012-06-30,-59%,-86%
2012-07-01 - 2012-07-07,-61%,-92%
2012-07-08 - 2012-07-14,-60%,-88%
2012-07-15 - 2012-07-21,-61%,-81%
2012-07-22 - 2012-07-28,-60%,-86%
2012-07-29 - 2012-08-04,-61%,-88%
2012-08-05 - 2012-08-11,-60%,-86%
2012-08-12 - 2012-08-18,-62%,-89%
2012-08-19 - 2012-08-25,-60%,-89%
2012-08-26 - 2012-09-01,-60%,-86%
2012-09-02 - 2012-09-08,-59%,-82%
2012-09-09 - 2012-09-15,-58%,-85%
2012-09-16 - 2012-09-22,-58%,-85%
2012-09-23 - 2012-09-29,-59%,-84%
2012-09-30 - 2012-10-06,-59%,-82%
2012-10-07 - 2012-10-13,-59%,-82%
2012-10-14 - 2012-10-20,-60%,-84%
2012-10-21 - 2012-10-27,-59%,-80%
2012-10-28 - 2012-11-03,-60%,-82%
2012-11-04 - 2012-11-10,-59%,-88%
2012-11-11 - 2012-11-17,-60%,-85%
2012-11-18 - 2012-11-24,-61%,-88%
2012-11-25 - 2012-12-01,-60%,-89%
2012-12-02 - 2012-12-08,-60%,-85%
2012-12-09 - 2012-12-15,-60%,-88%
2012-12-16 - 2012-12-22,-62%,-88%
2012-12-23 - 2012-12-29,-69%,-88%
2012-12-30 - 2013-01-05,-68%,-89%
2013-01-06 - 2013-01-12,-61%,-85%
2013-01-13 - 2013-01-19,-59%,-86%
2013-01-20 - 2013-01-26,-59%,-91%
2013-01-27 - 2013-02-02,-60%,-84%
2013-02-03 - 2013-02-09,-60%,-88%
2013-02-10 - 2013-02-16,-61%,-89%
2013-02-17 - 2013-02-23,-60%,-81%
2013-02-24 - 2013-03-02,-60%,-88%
2013-03-03 - 2013-03-09,-59%,-82%
2013-03-10 - 2013-03-16,-60%,-81%
2013-03-17 - 2013-03-23,-59%,-86%
2013-03-24 - 2013-03-30,-62%,-88%
2013-03-31 - 2013-04-06,-61%,-86%
2013-04-07 - 2013-04-13,-60%,-85%
2013-04-14 - 2013-04-20,-60%,-85%
2013-04-21 - 2013-04-27,-60%,-84%
2013-04-28 - 2013-05-04,-64%,-88%
2013-05-05 - 2013-05-11,-62%,-85%
2013-05-12 - 2013-05-18,-60%,-84%
2013-05-19 - 2013-05-25,-61%,-85%
2013-05-26 - 2013-06-01,-62%,-85%
2013-06-02 - 2013-06-08,-60%,-88%
2013-06-09 - 2013-06-15,-61%,-88%
2013-06-16 - 2013-06-22,-61%,-89%
2013-06-23 - 2013-06-29,-61%,-88%
2013-06-30 - 2013-07-06,-62%,-86%
2013-07-07 - 2013-07-13,-62%,-89%
2013-07-14 - 2013-07-20,-64%,-93%
2013-07-21 - 2013-07-27,-64%,-86%
2013-07-28 - 2013-08-03,-64%,-85%
2013-08-04 - 2013-08-10,-65%,-88%
2013-08-11 - 2013-08-17,-64%,-88%
2013-08-18 - 2013-08-24,-64%,-89%
2013-08-25 - 2013-08-31,-62%,-88%
2013-09-01 - 2013-09-07,-62%,-91%
2013-09-08 - 2013-09-14,-61%,-85%
2013-09-15 - 2013-09-21,-62%,-88%
2013-09-22 - 2013-09-28,-61%,-88%
2013-09-29 - 2013-10-05,-61%,-86%
2013-10-06 - 2013-10-12,-60%,-85%
2013-10-13 - 2013-10-19,-60%,-88%
2013-10-20 - 2013-10-26,-61%,-88%
2013-10-27 - 2013-11-02,-62%,-86%
2013-11-03 - 2013-11-09,-61%,-85%
2013-11-10 - 2013-11-16,-60%,-84%
2013-11-17 - 2013-11-23,-60%,-85%
2013-11-24 - 2013-11-30,-62%,-85%
2013-12-01 - 2013-12-07,-62%,-84%
2013-12-08 - 2013-12-14,-61%,-85%
2013-12-15 - 2013-12-21,-64%,-88%
2013-12-22 - 2013-12-28,-69%,-89%
2013-12-29 - 2014-01-04,-70%,-91%
2014-01-05 - 2014-01-11,-64%,-91%
2014-01-12 - 2014-01-18,-61%,-86%
2014-01-19 - 2014-01-25,-61%,-85%
2014-01-26 - 2014-02-01,-62%,-89%
2014-02-02 - 2014-02-08,-64%,-89%
2014-02-09 - 2014-02-15,-61%,-86%
2014-02-16 - 2014-02-22,-61%,-86%
2014-02-23 - 2014-03-01,-61%,-88%
2014-03-02 - 2014-03-08,-61%,-89%
2014-03-09 - 2014-03-15,-60%,-88%
2014-03-16 - 2014-03-22,-62%,-86%
2014-03-23 - 2014-03-29,-61%,-84%
2014-03-30 - 2014-04-05,-61%,-88%
2014-04-06 - 2014-04-12,-61%,-91%
2014-04-13 - 2014-04-19,-62%,-91%
2014-04-20 - 2014-04-26,-61%,-86%
2014-04-27 - 2014-05-03,-64%,-89%
2014-05-04 - 2014-05-10,-61%,-91%
2014-05-11 - 2014-05-17,-61%,-85%
2014-05-18 - 2014-05-24,-62%,-89%
2014-05-25 - 2014-05-31,-65%,-89%
2014-06-01 - 2014-06-07,-62%,-89%
2014-06-08 - 2014-06-14,-64%,-91%
2014-06-15 - 2014-06-21,-64%,-88%
2014-06-22 - 2014-06-28,-64%,-88%
2014-06-29 - 2014-07-05,-66%,-91%
2014-07-06 - 2014-07-12,-65%,-89%
2014-07-13 - 2014-07-19,-64%,-92%
2014-07-20 - 2014-07-26,-64%,-88%
2014-07-27 - 2014-08-02,-66%,-89%
2014-08-03 - 2014-08-09,-62%,-89%
2014-08-10 - 2014-08-16, , 
2014-08-17 - 2014-08-23, , 
2014-08-24 - 2014-08-30, , 
2014-08-31 - 2014-09-06, , 


Top regions for winapi
Region,winapi
Poland,100
South Korea,98
Russia,93
Ukraine,83
Japan,33
Germany,27
China,21
United Kingdom,5
United States,5


Top cities for winapi
City,winapi
Minsk (Belarus),100
Kharkiv (Ukraine),70
Saint Petersburg (Russia),67
Wroclaw (Poland),67
Gdansk (Poland),58
Seoul (South Korea),56
Moscow (Russia),56
Krakow (Poland),55
Poznan (Poland),49
Katowice (Poland),48
Lodz (Poland),47
Warsaw (Poland),39
Kiev (Ukraine),31
Prague (Czech Republic),28
Beijing (China),16



Top searches for winapi
winapi c++,100
c winapi,35
winapi tutorial,30
c# winapi,25
winapi delphi,20
winapi dll,15
winapi msdn,15
win api,15
kurs winapi,15
winapi download,10
int winapi,10
c++ winapi tutorial,10
winapi winmain,10
winmain,10
vb winapi,10
winapi thread,10
winapi button,10
java winapi,10
справочник winapi,5
win32api,5
winapi gui,5
qt winapi,5
combobox winapi,5
__stdcall,5
createfile winapi,5
programowanie winapi,5
c 言語 winapi,5
winapi functions,5
kurs c++,5
c++ winapi kurs,5
winapi listbox,5
winapi python,5
int winapi winmain,5
winapi mouse,5
winapi reference,5
dword winapi,5
программирование winapi,5
winapi menu,5
winapi threads,5



Rising searches for winapi
c# winapi,Breakout
c++ winapi tutorial,Breakout
int winapi,Breakout
kurs winapi,Breakout
winapi dll,Breakout
winapi download,Breakout
winapi msdn,Breakout
winapi c++,+170%
c winapi,+130%
winapi tutorial,+60%



