Web Search interest: linux
Worldwide; 2004 - present

Interest over time
Week,linux
2007-02-04 - 2007-02-10,-28%,-55%
2007-02-11 - 2007-02-17,-30%,-59%
2007-02-18 - 2007-02-24,-32%,-57%
2007-02-25 - 2007-03-03,-32%,-56%
2007-03-04 - 2007-03-10,-30%,-54%
2007-03-11 - 2007-03-17,-28%,-54%
2007-03-18 - 2007-03-24,-30%,-52%
2007-03-25 - 2007-03-31,-31%,-55%
2007-04-01 - 2007-04-07,-32%,-54%
2007-04-08 - 2007-04-14,-33%,-55%
2007-04-15 - 2007-04-21,-31%,-55%
2007-04-22 - 2007-04-28,-32%,-54%
2007-04-29 - 2007-05-05,-36%,-61%
2007-05-06 - 2007-05-12,-32%,-56%
2007-05-13 - 2007-05-19,-31%,-55%
2007-05-20 - 2007-05-26,-31%,-55%
2007-05-27 - 2007-06-02,-30%,-60%
2007-06-03 - 2007-06-09,-30%,-56%
2007-06-10 - 2007-06-16,-33%,-57%
2007-06-17 - 2007-06-23,-33%,-57%
2007-06-24 - 2007-06-30,-32%,-60%
2007-07-01 - 2007-07-07,-33%,-59%
2007-07-08 - 2007-07-14,-33%,-59%
2007-07-15 - 2007-07-21,-34%,-59%
2007-07-22 - 2007-07-28,-35%,-59%
2007-07-29 - 2007-08-04,-36%,-59%
2007-08-05 - 2007-08-11,-35%,-61%
2007-08-12 - 2007-08-18,-39%,-61%
2007-08-19 - 2007-08-25,-36%,-61%
2007-08-26 - 2007-09-01,-36%,-59%
2007-09-02 - 2007-09-08,-36%,-59%
2007-09-09 - 2007-09-15,-36%,-61%
2007-09-16 - 2007-09-22,-35%,-57%
2007-09-23 - 2007-09-29,-35%,-61%
2007-09-30 - 2007-10-06,-36%,-57%
2007-10-07 - 2007-10-13,-34%,-57%
2007-10-14 - 2007-10-20,-34%,-57%
2007-10-21 - 2007-10-27,-34%,-57%
2007-10-28 - 2007-11-03,-34%,-57%
2007-11-04 - 2007-11-10,-35%,-57%
2007-11-11 - 2007-11-17,-34%,-59%
2007-11-18 - 2007-11-24,-31%,-54%
2007-11-25 - 2007-12-01,-26%,-57%
2007-12-02 - 2007-12-08,-30%,-55%
2007-12-09 - 2007-12-15,-37%,-61%
2007-12-16 - 2007-12-22,-40%,-65%
2007-12-23 - 2007-12-29,-50%,-68%
2007-12-30 - 2008-01-05,-51%,-71%
2008-01-06 - 2008-01-12,-40%,-65%
2008-01-13 - 2008-01-19,-41%,-66%
2008-01-20 - 2008-01-26,-40%,-65%
2008-01-27 - 2008-02-02,-41%,-65%
2008-02-03 - 2008-02-09,-41%,-68%
2008-02-10 - 2008-02-16,-41%,-67%
2008-02-17 - 2008-02-23,-37%,-66%
2008-02-24 - 2008-03-01,-37%,-63%
2008-03-02 - 2008-03-08,-40%,-65%
2008-03-09 - 2008-03-15,-39%,-63%
2008-03-16 - 2008-03-22,-41%,-62%
2008-03-23 - 2008-03-29,-42%,-66%
2008-03-30 - 2008-04-05,-40%,-63%
2008-04-06 - 2008-04-12,-39%,-63%
2008-04-13 - 2008-04-19,-39%,-63%
2008-04-20 - 2008-04-26,-37%,-65%
2008-04-27 - 2008-05-03,-44%,-67%
2008-05-04 - 2008-05-10,-42%,-65%
2008-05-11 - 2008-05-17,-41%,-66%
2008-05-18 - 2008-05-24,-41%,-65%
2008-05-25 - 2008-05-31,-41%,-65%
2008-06-01 - 2008-06-07,-43%,-66%
2008-06-08 - 2008-06-14,-42%,-66%
2008-06-15 - 2008-06-21,-41%,-67%
2008-06-22 - 2008-06-28,-43%,-67%
2008-06-29 - 2008-07-05,-42%,-67%
2008-07-06 - 2008-07-12,-42%,-67%
2008-07-13 - 2008-07-19,-42%,-68%
2008-07-20 - 2008-07-26,-44%,-67%
2008-07-27 - 2008-08-02,-44%,-67%
2008-08-03 - 2008-08-09,-45%,-68%
2008-08-10 - 2008-08-16,-47%,-70%
2008-08-17 - 2008-08-23,-45%,-68%
2008-08-24 - 2008-08-30,-44%,-68%
2008-08-31 - 2008-09-06,-45%,-68%
2008-09-07 - 2008-09-13,-43%,-70%
2008-09-14 - 2008-09-20,-44%,-68%
2008-09-21 - 2008-09-27,-42%,-65%
2008-09-28 - 2008-10-04,-47%,-68%
2008-10-05 - 2008-10-11,-44%,-66%
2008-10-12 - 2008-10-18,-43%,-65%
2008-10-19 - 2008-10-25,-43%,-66%
2008-10-26 - 2008-11-01,-43%,-65%
2008-11-02 - 2008-11-08,-43%,-67%
2008-11-09 - 2008-11-15,-43%,-67%
2008-11-16 - 2008-11-22,-43%,-66%
2008-11-23 - 2008-11-29,-47%,-70%
2008-11-30 - 2008-12-06,-43%,-68%
2008-12-07 - 2008-12-13,-45%,-68%
2008-12-14 - 2008-12-20,-48%,-70%
2008-12-21 - 2008-12-27,-53%,-72%
2008-12-28 - 2009-01-03,-58%,-77%
2009-01-04 - 2009-01-10,-43%,-68%
2009-01-11 - 2009-01-17,-41%,-71%
2009-01-18 - 2009-01-24,-44%,-71%
2009-01-25 - 2009-01-31,-47%,-72%
2009-02-01 - 2009-02-07,-44%,-68%
2009-02-08 - 2009-02-14,-44%,-68%
2009-02-15 - 2009-02-21,-42%,-66%
2009-02-22 - 2009-02-28,-43%,-67%
2009-03-01 - 2009-03-07,-43%,-67%
2009-03-08 - 2009-03-14,-43%,-67%
2009-03-15 - 2009-03-21,-43%,-67%
2009-03-22 - 2009-03-28,-43%,-67%
2009-03-29 - 2009-04-04,-43%,-67%
2009-04-05 - 2009-04-11,-45%,-67%
2009-04-12 - 2009-04-18,-44%,-68%
2009-04-19 - 2009-04-25,-44%,-68%
2009-04-26 - 2009-05-02,-47%,-71%
2009-05-03 - 2009-05-09,-45%,-71%
2009-05-10 - 2009-05-16,-43%,-70%
2009-05-17 - 2009-05-23,-44%,-68%
2009-05-24 - 2009-05-30,-48%,-71%
2009-05-31 - 2009-06-06,-45%,-70%
2009-06-07 - 2009-06-13,-45%,-70%
2009-06-14 - 2009-06-20,-45%,-72%
2009-06-21 - 2009-06-27,-48%,-71%
2009-06-28 - 2009-07-04,-50%,-72%
2009-07-05 - 2009-07-11,-48%,-72%
2009-07-12 - 2009-07-18,-47%,-72%
2009-07-19 - 2009-07-25,-49%,-72%
2009-07-26 - 2009-08-01,-48%,-71%
2009-08-02 - 2009-08-08,-48%,-73%
2009-08-09 - 2009-08-15,-49%,-73%
2009-08-16 - 2009-08-22,-47%,-72%
2009-08-23 - 2009-08-29,-48%,-72%
2009-08-30 - 2009-09-05,-47%,-72%
2009-09-06 - 2009-09-12,-48%,-71%
2009-09-13 - 2009-09-19,-48%,-71%
2009-09-20 - 2009-09-26,-49%,-71%
2009-09-27 - 2009-10-03,-50%,-73%
2009-10-04 - 2009-10-10,-47%,-72%
2009-10-11 - 2009-10-17,-48%,-71%
2009-10-18 - 2009-10-24,-40%,-70%
2009-10-25 - 2009-10-31,-40%,-70%
2009-11-01 - 2009-11-07,-43%,-70%
2009-11-08 - 2009-11-14,-44%,-70%
2009-11-15 - 2009-11-21,-44%,-71%
2009-11-22 - 2009-11-28,-47%,-71%
2009-11-29 - 2009-12-05,-48%,-72%
2009-12-06 - 2009-12-12,-47%,-73%
2009-12-13 - 2009-12-19,-49%,-72%
2009-12-20 - 2009-12-26,-53%,-77%
2009-12-27 - 2010-01-02,-58%,-78%
2010-01-03 - 2010-01-09,-52%,-74%
2010-01-10 - 2010-01-16,-49%,-72%
2010-01-17 - 2010-01-23,-48%,-72%
2010-01-24 - 2010-01-30,-48%,-73%
2010-01-31 - 2010-02-06,-48%,-73%
2010-02-07 - 2010-02-13,-49%,-74%
2010-02-14 - 2010-02-20,-49%,-76%
2010-02-21 - 2010-02-27,-47%,-73%
2010-02-28 - 2010-03-06,-47%,-72%
2010-03-07 - 2010-03-13,-48%,-72%
2010-03-14 - 2010-03-20,-49%,-72%
2010-03-21 - 2010-03-27,-48%,-72%
2010-03-28 - 2010-04-03,-50%,-73%
2010-04-04 - 2010-04-10,-49%,-74%
2010-04-11 - 2010-04-17,-47%,-73%
2010-04-18 - 2010-04-24,-48%,-73%
2010-04-25 - 2010-05-01,-49%,-73%
2010-05-02 - 2010-05-08,-50%,-74%
2010-05-09 - 2010-05-15,-48%,-73%
2010-05-16 - 2010-05-22,-48%,-74%
2010-05-23 - 2010-05-29,-51%,-73%
2010-05-30 - 2010-06-05,-49%,-74%
2010-06-06 - 2010-06-12,-49%,-73%
2010-06-13 - 2010-06-19,-50%,-76%
2010-06-20 - 2010-06-26,-50%,-74%
2010-06-27 - 2010-07-03,-53%,-76%
2010-07-04 - 2010-07-10,-55%,-77%
2010-07-11 - 2010-07-17,-55%,-77%
2010-07-18 - 2010-07-24,-52%,-77%
2010-07-25 - 2010-07-31,-53%,-77%
2010-08-01 - 2010-08-07,-53%,-76%
2010-08-08 - 2010-08-14,-53%,-77%
2010-08-15 - 2010-08-21,-53%,-77%
2010-08-22 - 2010-08-28,-53%,-77%
2010-08-29 - 2010-09-04,-53%,-77%
2010-09-05 - 2010-09-11,-53%,-76%
2010-09-12 - 2010-09-18,-53%,-76%
2010-09-19 - 2010-09-25,-53%,-77%
2010-09-26 - 2010-10-02,-51%,-77%
2010-10-03 - 2010-10-09,-51%,-77%
2010-10-10 - 2010-10-16,-51%,-76%
2010-10-17 - 2010-10-23,-51%,-74%
2010-10-24 - 2010-10-30,-51%,-76%
2010-10-31 - 2010-11-06,-53%,-76%
2010-11-07 - 2010-11-13,-52%,-74%
2010-11-14 - 2010-11-20,-52%,-74%
2010-11-21 - 2010-11-27,-53%,-77%
2010-11-28 - 2010-12-04,-55%,-77%
2010-12-05 - 2010-12-11,-53%,-77%
2010-12-12 - 2010-12-18,-53%,-77%
2010-12-19 - 2010-12-25,-58%,-79%
2010-12-26 - 2011-01-01,-61%,-83%
2011-01-02 - 2011-01-08,-57%,-79%
2011-01-09 - 2011-01-15,-55%,-78%
2011-01-16 - 2011-01-22,-52%,-77%
2011-01-23 - 2011-01-29,-53%,-78%
2011-01-30 - 2011-02-05,-56%,-80%
2011-02-06 - 2011-02-12,-52%,-78%
2011-02-13 - 2011-02-19,-53%,-77%
2011-02-20 - 2011-02-26,-55%,-77%
2011-02-27 - 2011-03-05,-53%,-78%
2011-03-06 - 2011-03-12,-55%,-77%
2011-03-13 - 2011-03-19,-55%,-78%
2011-03-20 - 2011-03-26,-55%,-78%
2011-03-27 - 2011-04-02,-53%,-77%
2011-04-03 - 2011-04-09,-53%,-78%
2011-04-10 - 2011-04-16,-51%,-77%
2011-04-17 - 2011-04-23,-55%,-77%
2011-04-24 - 2011-04-30,-56%,-79%
2011-05-01 - 2011-05-07,-57%,-79%
2011-05-08 - 2011-05-14,-55%,-78%
2011-05-15 - 2011-05-21,-55%,-78%
2011-05-22 - 2011-05-28,-53%,-77%
2011-05-29 - 2011-06-04,-56%,-79%
2011-06-05 - 2011-06-11,-56%,-79%
2011-06-12 - 2011-06-18,-55%,-79%
2011-06-19 - 2011-06-25,-55%,-79%
2011-06-26 - 2011-07-02,-57%,-79%
2011-07-03 - 2011-07-09,-58%,-78%
2011-07-10 - 2011-07-16,-56%,-79%
2011-07-17 - 2011-07-23,-57%,-79%
2011-07-24 - 2011-07-30,-56%,-79%
2011-07-31 - 2011-08-06,-58%,-80%
2011-08-07 - 2011-08-13,-57%,-79%
2011-08-14 - 2011-08-20,-58%,-80%
2011-08-21 - 2011-08-27,-57%,-79%
2011-08-28 - 2011-09-03,-58%,-79%
2011-09-04 - 2011-09-10,-59%,-79%
2011-09-11 - 2011-09-17,-55%,-80%
2011-09-18 - 2011-09-24,-56%,-78%
2011-09-25 - 2011-10-01,-56%,-79%
2011-10-02 - 2011-10-08,-58%,-80%
2011-10-09 - 2011-10-15,-56%,-79%
2011-10-16 - 2011-10-22,-55%,-78%
2011-10-23 - 2011-10-29,-56%,-79%
2011-10-30 - 2011-11-05,-57%,-80%
2011-11-06 - 2011-11-12,-56%,-79%
2011-11-13 - 2011-11-19,-57%,-80%
2011-11-20 - 2011-11-26,-57%,-80%
2011-11-27 - 2011-12-03,-57%,-79%
2011-12-04 - 2011-12-10,-57%,-80%
2011-12-11 - 2011-12-17,-56%,-80%
2011-12-18 - 2011-12-24,-60%,-83%
2011-12-25 - 2011-12-31,-65%,-85%
2012-01-01 - 2012-01-07,-61%,-84%
2012-01-08 - 2012-01-14,-59%,-82%
2012-01-15 - 2012-01-21,-59%,-83%
2012-01-22 - 2012-01-28,-59%,-83%
2012-01-29 - 2012-02-04,-58%,-80%
2012-02-05 - 2012-02-11,-58%,-82%
2012-02-12 - 2012-02-18,-57%,-80%
2012-02-19 - 2012-02-25,-57%,-80%
2012-02-26 - 2012-03-03,-58%,-79%
2012-03-04 - 2012-03-10,-57%,-79%
2012-03-11 - 2012-03-17,-57%,-80%
2012-03-18 - 2012-03-24,-58%,-80%
2012-03-25 - 2012-03-31,-57%,-80%
2012-04-01 - 2012-04-07,-59%,-82%
2012-04-08 - 2012-04-14,-58%,-82%
2012-04-15 - 2012-04-21,-57%,-80%
2012-04-22 - 2012-04-28,-58%,-80%
2012-04-29 - 2012-05-05,-60%,-83%
2012-05-06 - 2012-05-12,-58%,-80%
2012-05-13 - 2012-05-19,-58%,-80%
2012-05-20 - 2012-05-26,-56%,-80%
2012-05-27 - 2012-06-02,-59%,-82%
2012-06-03 - 2012-06-09,-58%,-82%
2012-06-10 - 2012-06-16,-59%,-82%
2012-06-17 - 2012-06-23,-59%,-82%
2012-06-24 - 2012-06-30,-59%,-82%
2012-07-01 - 2012-07-07,-61%,-82%
2012-07-08 - 2012-07-14,-60%,-82%
2012-07-15 - 2012-07-21,-61%,-82%
2012-07-22 - 2012-07-28,-60%,-82%
2012-07-29 - 2012-08-04,-61%,-82%
2012-08-05 - 2012-08-11,-60%,-82%
2012-08-12 - 2012-08-18,-62%,-83%
2012-08-19 - 2012-08-25,-60%,-82%
2012-08-26 - 2012-09-01,-60%,-82%
2012-09-02 - 2012-09-08,-59%,-82%
2012-09-09 - 2012-09-15,-58%,-80%
2012-09-16 - 2012-09-22,-58%,-82%
2012-09-23 - 2012-09-29,-59%,-80%
2012-09-30 - 2012-10-06,-59%,-82%
2012-10-07 - 2012-10-13,-59%,-82%
2012-10-14 - 2012-10-20,-60%,-80%
2012-10-21 - 2012-10-27,-59%,-82%
2012-10-28 - 2012-11-03,-60%,-83%
2012-11-04 - 2012-11-10,-59%,-82%
2012-11-11 - 2012-11-17,-60%,-83%
2012-11-18 - 2012-11-24,-61%,-84%
2012-11-25 - 2012-12-01,-60%,-83%
2012-12-02 - 2012-12-08,-60%,-83%
2012-12-09 - 2012-12-15,-60%,-83%
2012-12-16 - 2012-12-22,-62%,-84%
2012-12-23 - 2012-12-29,-69%,-88%
2012-12-30 - 2013-01-05,-68%,-87%
2013-01-06 - 2013-01-12,-61%,-83%
2013-01-13 - 2013-01-19,-59%,-84%
2013-01-20 - 2013-01-26,-59%,-83%
2013-01-27 - 2013-02-02,-60%,-83%
2013-02-03 - 2013-02-09,-60%,-83%
2013-02-10 - 2013-02-16,-61%,-84%
2013-02-17 - 2013-02-23,-60%,-83%
2013-02-24 - 2013-03-02,-60%,-83%
2013-03-03 - 2013-03-09,-59%,-82%
2013-03-10 - 2013-03-16,-60%,-82%
2013-03-17 - 2013-03-23,-59%,-83%
2013-03-24 - 2013-03-30,-62%,-83%
2013-03-31 - 2013-04-06,-61%,-84%
2013-04-07 - 2013-04-13,-60%,-83%
2013-04-14 - 2013-04-20,-60%,-82%
2013-04-21 - 2013-04-27,-60%,-83%
2013-04-28 - 2013-05-04,-64%,-85%
2013-05-05 - 2013-05-11,-62%,-84%
2013-05-12 - 2013-05-18,-60%,-83%
2013-05-19 - 2013-05-25,-61%,-83%
2013-05-26 - 2013-06-01,-62%,-84%
2013-06-02 - 2013-06-08,-60%,-83%
2013-06-09 - 2013-06-15,-61%,-83%
2013-06-16 - 2013-06-22,-61%,-83%
2013-06-23 - 2013-06-29,-61%,-84%
2013-06-30 - 2013-07-06,-62%,-84%
2013-07-07 - 2013-07-13,-62%,-84%
2013-07-14 - 2013-07-20,-64%,-83%
2013-07-21 - 2013-07-27,-64%,-84%
2013-07-28 - 2013-08-03,-64%,-84%
2013-08-04 - 2013-08-10,-65%,-84%
2013-08-11 - 2013-08-17,-64%,-84%
2013-08-18 - 2013-08-24,-64%,-84%
2013-08-25 - 2013-08-31,-62%,-83%
2013-09-01 - 2013-09-07,-62%,-83%
2013-09-08 - 2013-09-14,-61%,-83%
2013-09-15 - 2013-09-21,-62%,-84%
2013-09-22 - 2013-09-28,-61%,-83%
2013-09-29 - 2013-10-05,-61%,-84%
2013-10-06 - 2013-10-12,-60%,-83%
2013-10-13 - 2013-10-19,-60%,-82%
2013-10-20 - 2013-10-26,-61%,-83%
2013-10-27 - 2013-11-02,-62%,-83%
2013-11-03 - 2013-11-09,-61%,-82%
2013-11-10 - 2013-11-16,-60%,-83%
2013-11-17 - 2013-11-23,-60%,-82%
2013-11-24 - 2013-11-30,-62%,-84%
2013-12-01 - 2013-12-07,-62%,-83%
2013-12-08 - 2013-12-14,-61%,-83%
2013-12-15 - 2013-12-21,-64%,-84%
2013-12-22 - 2013-12-28,-69%,-88%
2013-12-29 - 2014-01-04,-70%,-89%
2014-01-05 - 2014-01-11,-64%,-84%
2014-01-12 - 2014-01-18,-61%,-83%
2014-01-19 - 2014-01-25,-61%,-83%
2014-01-26 - 2014-02-01,-62%,-84%
2014-02-02 - 2014-02-08,-64%,-84%
2014-02-09 - 2014-02-15,-61%,-83%
2014-02-16 - 2014-02-22,-61%,-83%
2014-02-23 - 2014-03-01,-61%,-83%
2014-03-02 - 2014-03-08,-61%,-83%
2014-03-09 - 2014-03-15,-60%,-82%
2014-03-16 - 2014-03-22,-62%,-83%
2014-03-23 - 2014-03-29,-61%,-83%
2014-03-30 - 2014-04-05,-61%,-84%
2014-04-06 - 2014-04-12,-61%,-83%
2014-04-13 - 2014-04-19,-62%,-83%
2014-04-20 - 2014-04-26,-61%,-83%
2014-04-27 - 2014-05-03,-64%,-85%
2014-05-04 - 2014-05-10,-61%,-83%
2014-05-11 - 2014-05-17,-61%,-83%
2014-05-18 - 2014-05-24,-62%,-83%
2014-05-25 - 2014-05-31,-65%,-84%
2014-06-01 - 2014-06-07,-62%,-84%
2014-06-08 - 2014-06-14,-64%,-85%
2014-06-15 - 2014-06-21,-64%,-85%
2014-06-22 - 2014-06-28,-64%,-85%
2014-06-29 - 2014-07-05,-66%,-85%
2014-07-06 - 2014-07-12,-65%,-84%
2014-07-13 - 2014-07-19,-64%,-85%
2014-07-20 - 2014-07-26,-64%,-85%
2014-07-27 - 2014-08-02,-66%,-87%
2014-08-03 - 2014-08-09,-62%,-84%
2014-08-10 - 2014-08-16, , 
2014-08-17 - 2014-08-23, , 
2014-08-24 - 2014-08-30, , 
2014-08-31 - 2014-09-06, , 


Top regions for linux
Region,linux
Cuba,100
China,96
Czech Republic,43
Japan,38
India,38
Taiwan,36
Hong Kong,35
South Korea,28
Germany,25
Sri Lanka,23
Iceland,23
Singapore,22
Austria,21
Estonia,21
Finland,20
Israel,20
Switzerland,20
Russia,18
Bangladesh,17
Slovakia,17
Luxembourg,17
Sweden,17
Norway,17
Belarus,16
Italy,16
Hungary,16
Slovenia,16
United States,16
Kenya,16
Spain,16
Uruguay,15
South Africa,15
France,15
Brazil,15
Latvia,15
Portugal,15
Romania,15
Tunisia,14
Bolivia,14
Poland,14
Canada,14
Paraguay,14
Belgium,14
El Salvador,13
New Zealand,13
Netherlands,13
Costa Rica,13
Ukraine,12
Denmark,12
Bulgaria,12
Ireland,11
Lithuania,11
Ecuador,11
Australia,11
Guatemala,11
Greece,11
Iran,11
Chile,11
Philippines,11
United Kingdom,10
Pakistan,10
Moldova,10
Mexico,10
Argentina,9
Serbia,9
Colombia,9
Venezuela,9
Morocco,9
Croatia,8
Malaysia,8
Dominican Republic,7
Indonesia,7
Peru,7
Algeria,6
Vietnam,5
Kazakhstan,5
United Arab Emirates,4
Egypt,4
Thailand,4
Turkey,2
Saudi Arabia,2


Top cities for linux
City,linux
Shenzhen (China),100
Beijing (China),84
Shanghai (China),58
Nanjing (China),56
Hangzhou (China),53
Guangzhou (China),46
Bangalore (India),38
Hyderabad (India),25
Prague (Czech Republic),24
Chennai (India),23
Seoul (South Korea),18
Munich (Germany),16
Mumbai (India),14
Moscow (Russia),13
New Delhi (India),13



Top searches for linux
java linux,100
shell,85
shell linux,85
linux script,70
bash,65
linux bash,65
linux php,40
gcc,40
linux gcc,40
linux shell script,35
shell script,35
jdk linux,30
jdk,30
linux tutorial,30
linux programming,25
linux eclipse,25
perl linux,20
svn,20
linux find,20
bash script,15
linux 编程,15
linux scripting,15
linux socket,15
linux commands,15
linux time,15
java jdk,15
awk,10
linux awk,10
postfix,10
netbeans linux,10
java for linux,10
linux シェル,10
シェル,10
linux sed,10
sed,10
c# linux,10
linux read,10
jre linux,10
jre,10
linux date,10
download jdk,10
linux 命令,10
linux sendmail,10
opengl,10
opengl linux,10
sendmail,10



Rising searches for linux
linux eclipse,+130%
shell script,+80%
jdk,+70%
jdk linux,+70%
bash,+60%
linux bash,+60%
linux shell script,+60%
linux script,+50%
shell,+40%
shell linux,+40%



