Web Search interest: visual studio
Worldwide; 2004 - present

Interest over time
Week,visual studio
2007-02-04 - 2007-02-10,-28%,+19%
2007-02-11 - 2007-02-17,-30%,+15%
2007-02-18 - 2007-02-24,-32%,+12%
2007-02-25 - 2007-03-03,-32%,+14%
2007-03-04 - 2007-03-10,-30%,+17%
2007-03-11 - 2007-03-17,-28%,+17%
2007-03-18 - 2007-03-24,-30%,+15%
2007-03-25 - 2007-03-31,-31%,+19%
2007-04-01 - 2007-04-07,-32%,+10%
2007-04-08 - 2007-04-14,-33%,+10%
2007-04-15 - 2007-04-21,-31%,+17%
2007-04-22 - 2007-04-28,-32%,+8%
2007-04-29 - 2007-05-05,-36%,-2%
2007-05-06 - 2007-05-12,-32%,+14%
2007-05-13 - 2007-05-19,-31%,+14%
2007-05-20 - 2007-05-26,-31%,+12%
2007-05-27 - 2007-06-02,-30%,+8%
2007-06-03 - 2007-06-09,-30%,+8%
2007-06-10 - 2007-06-16,-33%,+7%
2007-06-17 - 2007-06-23,-33%,+12%
2007-06-24 - 2007-06-30,-32%,+2%
2007-07-01 - 2007-07-07,-33%,+0%
2007-07-08 - 2007-07-14,-33%,+12%
2007-07-15 - 2007-07-21,-34%,+10%
2007-07-22 - 2007-07-28,-35%,+14%
2007-07-29 - 2007-08-04,-36%,+14%
2007-08-05 - 2007-08-11,-35%,+12%
2007-08-12 - 2007-08-18,-39%,+10%
2007-08-19 - 2007-08-25,-36%,+3%
2007-08-26 - 2007-09-01,-36%,+8%
2007-09-02 - 2007-09-08,-36%,+8%
2007-09-09 - 2007-09-15,-36%,+12%
2007-09-16 - 2007-09-22,-35%,+14%
2007-09-23 - 2007-09-29,-35%,+12%
2007-09-30 - 2007-10-06,-36%,+12%
2007-10-07 - 2007-10-13,-34%,+12%
2007-10-14 - 2007-10-20,-34%,+12%
2007-10-21 - 2007-10-27,-34%,+14%
2007-10-28 - 2007-11-03,-34%,+12%
2007-11-04 - 2007-11-10,-35%,+17%
2007-11-11 - 2007-11-17,-34%,+19%
2007-11-18 - 2007-11-24,-31%,+63%
2007-11-25 - 2007-12-01,-26%,+59%
2007-12-02 - 2007-12-08,-30%,+46%
2007-12-09 - 2007-12-15,-37%,+24%
2007-12-16 - 2007-12-22,-40%,+25%
2007-12-23 - 2007-12-29,-50%,-12%
2007-12-30 - 2008-01-05,-51%,-5%
2008-01-06 - 2008-01-12,-40%,+22%
2008-01-13 - 2008-01-19,-41%,+20%
2008-01-20 - 2008-01-26,-40%,+24%
2008-01-27 - 2008-02-02,-41%,+19%
2008-02-03 - 2008-02-09,-41%,+22%
2008-02-10 - 2008-02-16,-41%,+19%
2008-02-17 - 2008-02-23,-37%,+29%
2008-02-24 - 2008-03-01,-37%,+25%
2008-03-02 - 2008-03-08,-40%,+24%
2008-03-09 - 2008-03-15,-39%,+22%
2008-03-16 - 2008-03-22,-41%,+15%
2008-03-23 - 2008-03-29,-42%,+19%
2008-03-30 - 2008-04-05,-40%,+19%
2008-04-06 - 2008-04-12,-39%,+15%
2008-04-13 - 2008-04-19,-39%,+19%
2008-04-20 - 2008-04-26,-37%,+19%
2008-04-27 - 2008-05-03,-44%,+10%
2008-05-04 - 2008-05-10,-42%,+15%
2008-05-11 - 2008-05-17,-41%,+7%
2008-05-18 - 2008-05-24,-41%,+8%
2008-05-25 - 2008-05-31,-41%,+7%
2008-06-01 - 2008-06-07,-43%,+7%
2008-06-08 - 2008-06-14,-42%,+8%
2008-06-15 - 2008-06-21,-41%,+5%
2008-06-22 - 2008-06-28,-43%,+7%
2008-06-29 - 2008-07-05,-42%,+3%
2008-07-06 - 2008-07-12,-42%,+7%
2008-07-13 - 2008-07-19,-42%,+0%
2008-07-20 - 2008-07-26,-44%,+2%
2008-07-27 - 2008-08-02,-44%,+2%
2008-08-03 - 2008-08-09,-45%,-2%
2008-08-10 - 2008-08-16,-47%,+19%
2008-08-17 - 2008-08-23,-45%,+12%
2008-08-24 - 2008-08-30,-44%,+8%
2008-08-31 - 2008-09-06,-45%,+7%
2008-09-07 - 2008-09-13,-43%,+12%
2008-09-14 - 2008-09-20,-44%,+7%
2008-09-21 - 2008-09-27,-42%,+8%
2008-09-28 - 2008-10-04,-47%,+7%
2008-10-05 - 2008-10-11,-44%,+10%
2008-10-12 - 2008-10-18,-43%,+10%
2008-10-19 - 2008-10-25,-43%,+7%
2008-10-26 - 2008-11-01,-43%,+10%
2008-11-02 - 2008-11-08,-43%,+5%
2008-11-09 - 2008-11-15,-43%,+5%
2008-11-16 - 2008-11-22,-43%,+5%
2008-11-23 - 2008-11-29,-47%,-7%
2008-11-30 - 2008-12-06,-43%,+3%
2008-12-07 - 2008-12-13,-45%,+2%
2008-12-14 - 2008-12-20,-48%,-3%
2008-12-21 - 2008-12-27,-53%,-20%
2008-12-28 - 2009-01-03,-58%,-32%
2009-01-04 - 2009-01-10,-43%,+0%
2009-01-11 - 2009-01-17,-41%,+2%
2009-01-18 - 2009-01-24,-44%,+2%
2009-01-25 - 2009-01-31,-47%,+0%
2009-02-01 - 2009-02-07,-44%,+5%
2009-02-08 - 2009-02-14,-44%,+7%
2009-02-15 - 2009-02-21,-42%,+10%
2009-02-22 - 2009-02-28,-43%,+7%
2009-03-01 - 2009-03-07,-43%,+3%
2009-03-08 - 2009-03-14,-43%,+0%
2009-03-15 - 2009-03-21,-43%,+2%
2009-03-22 - 2009-03-28,-43%,+0%
2009-03-29 - 2009-04-04,-43%,+0%
2009-04-05 - 2009-04-11,-45%,+0%
2009-04-12 - 2009-04-18,-44%,+0%
2009-04-19 - 2009-04-25,-44%,-2%
2009-04-26 - 2009-05-02,-47%,-7%
2009-05-03 - 2009-05-09,-45%,-2%
2009-05-10 - 2009-05-16,-43%,+0%
2009-05-17 - 2009-05-23,-44%,+2%
2009-05-24 - 2009-05-30,-48%,-5%
2009-05-31 - 2009-06-06,-45%,-7%
2009-06-07 - 2009-06-13,-45%,-3%
2009-06-14 - 2009-06-20,-45%,-8%
2009-06-21 - 2009-06-27,-48%,-12%
2009-06-28 - 2009-07-04,-50%,-14%
2009-07-05 - 2009-07-11,-48%,-12%
2009-07-12 - 2009-07-18,-47%,-12%
2009-07-19 - 2009-07-25,-49%,-10%
2009-07-26 - 2009-08-01,-48%,-8%
2009-08-02 - 2009-08-08,-48%,-7%
2009-08-09 - 2009-08-15,-49%,-10%
2009-08-16 - 2009-08-22,-47%,-8%
2009-08-23 - 2009-08-29,-48%,-8%
2009-08-30 - 2009-09-05,-47%,-8%
2009-09-06 - 2009-09-12,-48%,-3%
2009-09-13 - 2009-09-19,-48%,-3%
2009-09-20 - 2009-09-26,-49%,-8%
2009-09-27 - 2009-10-03,-50%,-8%
2009-10-04 - 2009-10-10,-47%,-3%
2009-10-11 - 2009-10-17,-48%,-7%
2009-10-18 - 2009-10-24,-40%,+2%
2009-10-25 - 2009-10-31,-40%,+3%
2009-11-01 - 2009-11-07,-43%,-2%
2009-11-08 - 2009-11-14,-44%,-5%
2009-11-15 - 2009-11-21,-44%,-5%
2009-11-22 - 2009-11-28,-47%,-8%
2009-11-29 - 2009-12-05,-48%,-7%
2009-12-06 - 2009-12-12,-47%,-10%
2009-12-13 - 2009-12-19,-49%,-14%
2009-12-20 - 2009-12-26,-53%,-25%
2009-12-27 - 2010-01-02,-58%,-36%
2010-01-03 - 2010-01-09,-52%,-17%
2010-01-10 - 2010-01-16,-49%,-14%
2010-01-17 - 2010-01-23,-48%,-7%
2010-01-24 - 2010-01-30,-48%,-12%
2010-01-31 - 2010-02-06,-48%,-8%
2010-02-07 - 2010-02-13,-49%,-8%
2010-02-14 - 2010-02-20,-49%,-10%
2010-02-21 - 2010-02-27,-47%,-7%
2010-02-28 - 2010-03-06,-47%,-8%
2010-03-07 - 2010-03-13,-48%,-7%
2010-03-14 - 2010-03-20,-49%,-5%
2010-03-21 - 2010-03-27,-48%,-8%
2010-03-28 - 2010-04-03,-50%,-12%
2010-04-04 - 2010-04-10,-49%,-12%
2010-04-11 - 2010-04-17,-47%,+20%
2010-04-18 - 2010-04-24,-48%,+3%
2010-04-25 - 2010-05-01,-49%,+0%
2010-05-02 - 2010-05-08,-50%,-7%
2010-05-09 - 2010-05-15,-48%,-3%
2010-05-16 - 2010-05-22,-48%,-10%
2010-05-23 - 2010-05-29,-51%,-10%
2010-05-30 - 2010-06-05,-49%,-12%
2010-06-06 - 2010-06-12,-49%,-10%
2010-06-13 - 2010-06-19,-50%,-14%
2010-06-20 - 2010-06-26,-50%,-14%
2010-06-27 - 2010-07-03,-53%,-20%
2010-07-04 - 2010-07-10,-55%,-22%
2010-07-11 - 2010-07-17,-55%,-22%
2010-07-18 - 2010-07-24,-52%,-24%
2010-07-25 - 2010-07-31,-53%,-22%
2010-08-01 - 2010-08-07,-53%,-22%
2010-08-08 - 2010-08-14,-53%,-22%
2010-08-15 - 2010-08-21,-53%,-22%
2010-08-22 - 2010-08-28,-53%,-24%
2010-08-29 - 2010-09-04,-53%,-24%
2010-09-05 - 2010-09-11,-53%,-24%
2010-09-12 - 2010-09-18,-53%,-22%
2010-09-19 - 2010-09-25,-53%,-20%
2010-09-26 - 2010-10-02,-51%,-22%
2010-10-03 - 2010-10-09,-51%,-19%
2010-10-10 - 2010-10-16,-51%,-22%
2010-10-17 - 2010-10-23,-51%,-19%
2010-10-24 - 2010-10-30,-51%,-20%
2010-10-31 - 2010-11-06,-53%,-25%
2010-11-07 - 2010-11-13,-52%,-24%
2010-11-14 - 2010-11-20,-52%,-25%
2010-11-21 - 2010-11-27,-53%,-32%
2010-11-28 - 2010-12-04,-55%,-31%
2010-12-05 - 2010-12-11,-53%,-29%
2010-12-12 - 2010-12-18,-53%,-29%
2010-12-19 - 2010-12-25,-58%,-41%
2010-12-26 - 2011-01-01,-61%,-49%
2011-01-02 - 2011-01-08,-57%,-36%
2011-01-09 - 2011-01-15,-55%,-31%
2011-01-16 - 2011-01-22,-52%,-29%
2011-01-23 - 2011-01-29,-53%,-29%
2011-01-30 - 2011-02-05,-56%,-32%
2011-02-06 - 2011-02-12,-52%,-29%
2011-02-13 - 2011-02-19,-53%,-27%
2011-02-20 - 2011-02-26,-55%,-29%
2011-02-27 - 2011-03-05,-53%,-29%
2011-03-06 - 2011-03-12,-55%,-25%
2011-03-13 - 2011-03-19,-55%,-29%
2011-03-20 - 2011-03-26,-55%,-29%
2011-03-27 - 2011-04-02,-53%,-29%
2011-04-03 - 2011-04-09,-53%,-25%
2011-04-10 - 2011-04-16,-51%,-31%
2011-04-17 - 2011-04-23,-55%,-32%
2011-04-24 - 2011-04-30,-56%,-36%
2011-05-01 - 2011-05-07,-57%,-37%
2011-05-08 - 2011-05-14,-55%,-34%
2011-05-15 - 2011-05-21,-55%,-31%
2011-05-22 - 2011-05-28,-53%,-32%
2011-05-29 - 2011-06-04,-56%,-37%
2011-06-05 - 2011-06-11,-56%,-36%
2011-06-12 - 2011-06-18,-55%,-34%
2011-06-19 - 2011-06-25,-55%,-34%
2011-06-26 - 2011-07-02,-57%,-37%
2011-07-03 - 2011-07-09,-58%,-36%
2011-07-10 - 2011-07-16,-56%,-36%
2011-07-17 - 2011-07-23,-57%,-37%
2011-07-24 - 2011-07-30,-56%,-37%
2011-07-31 - 2011-08-06,-58%,-39%
2011-08-07 - 2011-08-13,-57%,-39%
2011-08-14 - 2011-08-20,-58%,-41%
2011-08-21 - 2011-08-27,-57%,-39%
2011-08-28 - 2011-09-03,-58%,-39%
2011-09-04 - 2011-09-10,-59%,-37%
2011-09-11 - 2011-09-17,-55%,-29%
2011-09-18 - 2011-09-24,-56%,-32%
2011-09-25 - 2011-10-01,-56%,-36%
2011-10-02 - 2011-10-08,-58%,-36%
2011-10-09 - 2011-10-15,-56%,-34%
2011-10-16 - 2011-10-22,-55%,-34%
2011-10-23 - 2011-10-29,-56%,-36%
2011-10-30 - 2011-11-05,-57%,-37%
2011-11-06 - 2011-11-12,-56%,-39%
2011-11-13 - 2011-11-19,-57%,-39%
2011-11-20 - 2011-11-26,-57%,-41%
2011-11-27 - 2011-12-03,-57%,-41%
2011-12-04 - 2011-12-10,-57%,-44%
2011-12-11 - 2011-12-17,-56%,-42%
2011-12-18 - 2011-12-24,-60%,-47%
2011-12-25 - 2011-12-31,-65%,-58%
2012-01-01 - 2012-01-07,-61%,-49%
2012-01-08 - 2012-01-14,-59%,-42%
2012-01-15 - 2012-01-21,-59%,-42%
2012-01-22 - 2012-01-28,-59%,-41%
2012-01-29 - 2012-02-04,-58%,-39%
2012-02-05 - 2012-02-11,-58%,-41%
2012-02-12 - 2012-02-18,-57%,-41%
2012-02-19 - 2012-02-25,-57%,-39%
2012-02-26 - 2012-03-03,-58%,-31%
2012-03-04 - 2012-03-10,-57%,-34%
2012-03-11 - 2012-03-17,-57%,-36%
2012-03-18 - 2012-03-24,-58%,-41%
2012-03-25 - 2012-03-31,-57%,-41%
2012-04-01 - 2012-04-07,-59%,-42%
2012-04-08 - 2012-04-14,-58%,-42%
2012-04-15 - 2012-04-21,-57%,-41%
2012-04-22 - 2012-04-28,-58%,-41%
2012-04-29 - 2012-05-05,-60%,-47%
2012-05-06 - 2012-05-12,-58%,-41%
2012-05-13 - 2012-05-19,-58%,-42%
2012-05-20 - 2012-05-26,-56%,-42%
2012-05-27 - 2012-06-02,-59%,-44%
2012-06-03 - 2012-06-09,-58%,-42%
2012-06-10 - 2012-06-16,-59%,-46%
2012-06-17 - 2012-06-23,-59%,-44%
2012-06-24 - 2012-06-30,-59%,-44%
2012-07-01 - 2012-07-07,-61%,-47%
2012-07-08 - 2012-07-14,-60%,-44%
2012-07-15 - 2012-07-21,-61%,-44%
2012-07-22 - 2012-07-28,-60%,-46%
2012-07-29 - 2012-08-04,-61%,-46%
2012-08-05 - 2012-08-11,-60%,-47%
2012-08-12 - 2012-08-18,-62%,-42%
2012-08-19 - 2012-08-25,-60%,-39%
2012-08-26 - 2012-09-01,-60%,-42%
2012-09-02 - 2012-09-08,-59%,-41%
2012-09-09 - 2012-09-15,-58%,-36%
2012-09-16 - 2012-09-22,-58%,-36%
2012-09-23 - 2012-09-29,-59%,-37%
2012-09-30 - 2012-10-06,-59%,-41%
2012-10-07 - 2012-10-13,-59%,-41%
2012-10-14 - 2012-10-20,-60%,-39%
2012-10-21 - 2012-10-27,-59%,-41%
2012-10-28 - 2012-11-03,-60%,-42%
2012-11-04 - 2012-11-10,-59%,-42%
2012-11-11 - 2012-11-17,-60%,-44%
2012-11-18 - 2012-11-24,-61%,-47%
2012-11-25 - 2012-12-01,-60%,-42%
2012-12-02 - 2012-12-08,-60%,-46%
2012-12-09 - 2012-12-15,-60%,-46%
2012-12-16 - 2012-12-22,-62%,-51%
2012-12-23 - 2012-12-29,-69%,-63%
2012-12-30 - 2013-01-05,-68%,-61%
2013-01-06 - 2013-01-12,-61%,-46%
2013-01-13 - 2013-01-19,-59%,-46%
2013-01-20 - 2013-01-26,-59%,-47%
2013-01-27 - 2013-02-02,-60%,-42%
2013-02-03 - 2013-02-09,-60%,-44%
2013-02-10 - 2013-02-16,-61%,-46%
2013-02-17 - 2013-02-23,-60%,-42%
2013-02-24 - 2013-03-02,-60%,-42%
2013-03-03 - 2013-03-09,-59%,-42%
2013-03-10 - 2013-03-16,-60%,-42%
2013-03-17 - 2013-03-23,-59%,-44%
2013-03-24 - 2013-03-30,-62%,-49%
2013-03-31 - 2013-04-06,-61%,-47%
2013-04-07 - 2013-04-13,-60%,-41%
2013-04-14 - 2013-04-20,-60%,-46%
2013-04-21 - 2013-04-27,-60%,-44%
2013-04-28 - 2013-05-04,-64%,-49%
2013-05-05 - 2013-05-11,-62%,-49%
2013-05-12 - 2013-05-18,-60%,-47%
2013-05-19 - 2013-05-25,-61%,-47%
2013-05-26 - 2013-06-01,-62%,-49%
2013-06-02 - 2013-06-08,-60%,-47%
2013-06-09 - 2013-06-15,-61%,-47%
2013-06-16 - 2013-06-22,-61%,-46%
2013-06-23 - 2013-06-29,-61%,-42%
2013-06-30 - 2013-07-06,-62%,-46%
2013-07-07 - 2013-07-13,-62%,-47%
2013-07-14 - 2013-07-20,-64%,-44%
2013-07-21 - 2013-07-27,-64%,-46%
2013-07-28 - 2013-08-03,-64%,-49%
2013-08-04 - 2013-08-10,-65%,-49%
2013-08-11 - 2013-08-17,-64%,-49%
2013-08-18 - 2013-08-24,-64%,-47%
2013-08-25 - 2013-08-31,-62%,-47%
2013-09-01 - 2013-09-07,-62%,-47%
2013-09-08 - 2013-09-14,-61%,-42%
2013-09-15 - 2013-09-21,-62%,-42%
2013-09-22 - 2013-09-28,-61%,-42%
2013-09-29 - 2013-10-05,-61%,-44%
2013-10-06 - 2013-10-12,-60%,-39%
2013-10-13 - 2013-10-19,-60%,-36%
2013-10-20 - 2013-10-26,-61%,-34%
2013-10-27 - 2013-11-02,-62%,-36%
2013-11-03 - 2013-11-09,-61%,-36%
2013-11-10 - 2013-11-16,-60%,-32%
2013-11-17 - 2013-11-23,-60%,-34%
2013-11-24 - 2013-11-30,-62%,-41%
2013-12-01 - 2013-12-07,-62%,-39%
2013-12-08 - 2013-12-14,-61%,-42%
2013-12-15 - 2013-12-21,-64%,-44%
2013-12-22 - 2013-12-28,-69%,-61%
2013-12-29 - 2014-01-04,-70%,-61%
2014-01-05 - 2014-01-11,-64%,-44%
2014-01-12 - 2014-01-18,-61%,-41%
2014-01-19 - 2014-01-25,-61%,-41%
2014-01-26 - 2014-02-01,-62%,-42%
2014-02-02 - 2014-02-08,-64%,-42%
2014-02-09 - 2014-02-15,-61%,-39%
2014-02-16 - 2014-02-22,-61%,-37%
2014-02-23 - 2014-03-01,-61%,-37%
2014-03-02 - 2014-03-08,-61%,-37%
2014-03-09 - 2014-03-15,-60%,-39%
2014-03-16 - 2014-03-22,-62%,-41%
2014-03-23 - 2014-03-29,-61%,-39%
2014-03-30 - 2014-04-05,-61%,-39%
2014-04-06 - 2014-04-12,-61%,-37%
2014-04-13 - 2014-04-19,-62%,-41%
2014-04-20 - 2014-04-26,-61%,-42%
2014-04-27 - 2014-05-03,-64%,-44%
2014-05-04 - 2014-05-10,-61%,-41%
2014-05-11 - 2014-05-17,-61%,-39%
2014-05-18 - 2014-05-24,-62%,-41%
2014-05-25 - 2014-05-31,-65%,-46%
2014-06-01 - 2014-06-07,-62%,-42%
2014-06-08 - 2014-06-14,-64%,-46%
2014-06-15 - 2014-06-21,-64%,-46%
2014-06-22 - 2014-06-28,-64%,-46%
2014-06-29 - 2014-07-05,-66%,-46%
2014-07-06 - 2014-07-12,-65%,-42%
2014-07-13 - 2014-07-19,-64%,-44%
2014-07-20 - 2014-07-26,-64%,-44%
2014-07-27 - 2014-08-02,-66%,-47%
2014-08-03 - 2014-08-09,-62%,-39%
2014-08-10 - 2014-08-16, , 
2014-08-17 - 2014-08-23, , 
2014-08-24 - 2014-08-30, , 
2014-08-31 - 2014-09-06, , 


Top regions for visual studio
Region,visual studio
Cuba,100
Sri Lanka,65
India,64
Iceland,58
South Korea,56
Israel,55
Singapore,53
Czech Republic,47
South Africa,46
Malta,44
Pakistan,43
Sweden,42
Mongolia,39
Nicaragua,38
Hong Kong,38
Philippines,38
Nepal,38
Norway,37
Denmark,37
United States,36
New Zealand,36
Taiwan,36
Ethiopia,36
China,36
Costa Rica,35
Germany,34
Macedonia (FYROM),34
Belarus,34
Bangladesh,34
Austria,34
Honduras,33
Lebanon,33
Japan,32
Portugal,32
El Salvador,32
Canada,32
Mauritius,32
Switzerland,31
Bolivia,31
Slovenia,30
Tunisia,30
United Kingdom,30
Russia,30
Australia,29
Estonia,29
Kenya,28
Netherlands,28
Côte d’Ivoire,28
Belgium,28
Jamaica,27
Luxembourg,27
Cambodia,27
Iran,27
Romania,26
Finland,26
Ireland,25
Guatemala,25
Hungary,25
Armenia,25
Bulgaria,24
Dominican Republic,24
Peru,24
Cyprus,24
Malaysia,23
Georgia,23
Serbia,23
Slovakia,23
Ghana,23
Ukraine,23
Ecuador,23
Mexico,22
Panama,22
Croatia,22
Uruguay,22
Jordan,22
Syria,22
Latvia,21
Poland,21
Egypt,20
Greece,20
United Arab Emirates,20
Lithuania,20
Vietnam,19
Morocco,19
Puerto Rico,19
Trinidad and Tobago,19
Moldova,19
Bahrain,18
Italy,18
Bosnia and Herzegovina,18
Spain,18
Oman,17
Colombia,17
Nigeria,17
Chile,16
France,16
Brazil,16
Palestine,14
Argentina,14
Qatar,13
Paraguay,13
Kuwait,12
Indonesia,12
Turkey,12
Thailand,10
Algeria,10
Saudi Arabia,9
Venezuela,9
Kazakhstan,8
Iraq,7


Top cities for visual studio
City,visual studio
Bangalore (India),100
Hyderabad (India),92
Chennai (India),89
Seoul (South Korea),67
Mumbai (India),57
Singapore (Singapore),56
Beijing (China),51
Tel Aviv (Israel),49
Stockholm (Sweden),49
New Delhi (India),48
Seattle (United States),46
Montreal (Canada),45
Munich (Germany),43
Moscow (Russia),42
Pune (India),40



Top searches for visual studio
visual studio 2008,100
visual studio 2010,80
visual studio 2005,70
microsoft visual studio,60
visual studio express,60
download visual studio,60
visual c#,40
visual studio c++,35
visual c++,35
visual studio c#,35
c#,35
c++,35
windows visual studio,35
.net,30
visual studio .net,30
visual studio 2012,30
visual basic studio,20
visual basic,20
visual studio 2013,20
visual studio sp1,20
free visual studio,20
visual studio tutorial,15
visual studio c,15
visual c,15
msdn visual studio,10
msdn,10
visual studio professional,10
visual studio 2003,10
visual studio 6.0,10
visual studio 6,10
visual studio net,10
visual studio tools,10
visual studio sdk,10
microsoft visual c++,5
.net framework,5
visual studio torrent,5
visual studio ultimate,5
visual studio 8,5
visual c++ express,5
ms visual studio,5
visual basic 2008,5
visual studio plugin,5
visual studio java,5
wpf,5
visual studio debugger,5
team foundation server,5
descargar visual studio,5
visual studio online,5
visual studio pro,5
qt visual studio,5



Rising searches for visual studio
visual studio 2008,Breakout
visual studio 2010,Breakout
visual studio 2012,Breakout
visual studio 2013,Breakout
visual studio sp1,Breakout
visual studio express,+800%
visual studio 2005,+100%
windows visual studio,+100%
c#,+70%
visual c#,+70%



